Trainer 236,Pokemon 1,Pokemon 2,Pokemon 3,Pokemon 4,Pokemon 5,Pokemon 6
Species,MEOWSTIC,HERDIER,LUXIO,NONE,NONE,NONE
Level,24,24,24,,,
Ability,KEEN_EYE,INTIMIDATE,RIVALRY,,,
Held Item,NONE,NONE,NONE,,,
Move 1,COVET,WORK_UP,CHARGE,,,
Move 2,PSYBEAM,RETALIATE,SPARK,,,
Move 3,MAGICAL_LEAF,BITE,BITE,,,
Move 4,CONFUSION,TACKLE,TACKLE,,,
Optional Move 1,MEAN_LOOK,LEER,LEER,,,
Optional Move 2,SCRATCH,ODOR_SLEUTH,THUNDER_SHOCK,,,
Optional Move 3,LEER,BABY_DOLL_EYES,ROAR,,,
Optional Move 4,FAKE_OUT,TOXIC,TOXIC,,,
Optional Move 5,DISARMING_VOICE,HIDDEN_POWER,HIDDEN_POWER,,,
Optional Move 6,QUICK_GUARD,SUNNY_DAY,SUNNY_DAY,,,
Optional Move 7,HELPING_HAND,PROTECT,LIGHT_SCREEN,,,
Optional Move 8,CHARM,RAIN_DANCE,PROTECT,,,
Optional Move 9,LIGHT_SCREEN,FRUSTRATION,RAIN_DANCE,,,
Optional Move 10,CALM_MIND,THUNDERBOLT,FRUSTRATION,,,
Optional Move 11,TOXIC,RETURN,IRON_TAIL,,,
Optional Move 12,HIDDEN_POWER,DIG,THUNDERBOLT,,,
Optional Move 13,SUNNY_DAY,SHADOW_BALL,THUNDER,,,
Optional Move 14,HYPER_BEAM,DOUBLE_TEAM,RETURN,,,
Optional Move 15,PROTECT,SHOCK_WAVE,DOUBLE_TEAM,,,
Optional Move 16,RAIN_DANCE,ROCK_TOMB,SHOCK_WAVE,,,
Optional Move 17,SAFEGUARD,AERIAL_ACE,FACADE,,,
Optional Move 18,FRUSTRATION,FACADE,SECRET_POWER,,,
Optional Move 19,IRON_TAIL,SECRET_POWER,REST,,,
Optional Move 20,THUNDERBOLT,REST,ATTRACT,,,
Optional Move 21,RETURN,ATTRACT,THIEF,,,
Optional Move 22,DIG,ENDURE,CHARGE_BEAM,,,
Optional Move 23,SHADOW_BALL,PAYBACK,ENDURE,,,
Optional Move 24,DOUBLE_TEAM,THUNDER_WAVE,FLASH,,,
Optional Move 25,SHOCK_WAVE,SLEEP_TALK,CAPTIVATE,,,
Optional Move 26,TORMENT,SWAGGER,SLEEP_TALK,,,
Optional Move 27,FACADE,SUBSTITUTE,NATURAL_GIFT,,,
Optional Move 28,SECRET_POWER,,SUBSTITUTE,,,
Optional Move 29,REST,,,,,
Optional Move 30,ATTRACT,,,,,
Optional Move 31,SKILL_SWAP,,,,,
Optional Move 32,SNATCH,,,,,
Optional Move 33,ENERGY_BALL,,,,,
Optional Move 34,CHARGE_BEAM,,,,,
Optional Move 35,ENDURE,,,,,
Optional Move 36,PAYBACK,,,,,
Optional Move 37,RECYCLE,,,,,
Optional Move 38,GIGA_IMPACT,,,,,
Optional Move 39,FLASH,,,,,
Optional Move 40,THUNDER_WAVE,,,,,
Optional Move 41,PSYCH_UP,,,,,
Optional Move 42,DARK_PULSE,,,,,
Optional Move 43,SLEEP_TALK,,,,,
Optional Move 44,DREAM_EATER,,,,,
Optional Move 45,SWAGGER,,,,,
Optional Move 46,SUBSTITUTE,,,,,
Optional Move 47,TRICK_ROOM,,,,,
