Trainer 298,Pokemon 1,Pokemon 2,Pokemon 3,Pokemon 4,Pokemon 5,Pokemon 6
Species,SLOWPOKE,DARUMAKA,VOLTORB,NONE,NONE,NONE
Level,31,31,31,,,
Ability,OBLIVIOUS,HUSTLE,SOUNDPROOF,,,
Held Item,NONE,NONE,NONE,,,
Move 1,ZEN_HEADBUTT,ICE_PUNCH,CHARGE,,,
Move 2,SURF,WORK_UP,SPARK,,,
Move 3,HEADBUTT,ICE_FANG,SWIFT,,,
Move 4,CURSE,HEADBUTT,CHARGE_BEAM,,,
Optional Move 1,TACKLE,EMBER,TACKLE,,,
Optional Move 2,GROWL,TACKLE,SONIC_BOOM,,,
Optional Move 3,WATER_GUN,ROLLOUT,EERIE_IMPULSE,,,
Optional Move 4,YAWN,BITE,ROLLOUT,,,
Optional Move 5,CONFUSION,INCINERATE,SCREECH,,,
Optional Move 6,DISABLE,RAGE,ELECTRO_BALL,,,
Optional Move 7,WATER_PULSE,FIRE_FANG,SELF_DESTRUCT,,,
Optional Move 8,AMNESIA,TAUNT,LIGHT_SCREEN,,,
Optional Move 9,SAFEGUARD,FACADE,TOXIC,,,
Optional Move 10,BELLY_DRUM,FIRE_PUNCH,HIDDEN_POWER,,,
Optional Move 11,FUTURE_SIGHT,UPROAR,TAUNT,,,
Optional Move 12,STOMP,ENCORE,PROTECT,,,
Optional Move 13,MUD_SPORT,ENDURE,RAIN_DANCE,,,
Optional Move 14,SLEEP_TALK,FLAME_WHEEL,FRUSTRATION,,,
Optional Move 15,SNORE,FOCUS_ENERGY,THUNDERBOLT,,,
Optional Move 16,ME_FIRST,FOCUS_PUNCH,THUNDER,,,
Optional Move 17,BLOCK,HAMMER_ARM,RETURN,,,
Optional Move 18,CALM_MIND,SLEEP_TALK,DOUBLE_TEAM,,,
Optional Move 19,TOXIC,TAKE_DOWN,SHOCK_WAVE,,,
Optional Move 20,HAIL,YAWN,TORMENT,,,
Optional Move 21,HIDDEN_POWER,ROAR,FACADE,,,
Optional Move 22,SUNNY_DAY,TOXIC,SECRET_POWER,,,
Optional Move 23,ICE_BEAM,HIDDEN_POWER,REST,,,
Optional Move 24,BLIZZARD,SUNNY_DAY,THIEF,,,
Optional Move 25,LIGHT_SCREEN,PROTECT,ENERGY_BALL,,,
Optional Move 26,PROTECT,FRUSTRATION,ENDURE,,,
Optional Move 27,FRUSTRATION,SOLAR_BEAM,RECYCLE,,,
Optional Move 28,IRON_TAIL,RETURN,FLASH,,,
Optional Move 29,EARTHQUAKE,DIG,THUNDER_WAVE,,,
Optional Move 30,RETURN,BRICK_BREAK,SLEEP_TALK,,,
Optional Move 31,DIG,DOUBLE_TEAM,NATURAL_GIFT,,,
Optional Move 32,SHADOW_BALL,FLAMETHROWER,SWAGGER,,,
Optional Move 33,DOUBLE_TEAM,FIRE_BLAST,SUBSTITUTE,,,
Optional Move 34,FLAMETHROWER,ROCK_TOMB,,,,
Optional Move 35,FIRE_BLAST,SECRET_POWER,,,,
Optional Move 36,FACADE,REST,,,,
Optional Move 37,SECRET_POWER,ATTRACT,,,,
Optional Move 38,REST,THIEF,,,,
Optional Move 39,ATTRACT,SNATCH,,,,
Optional Move 40,SKILL_SWAP,FLING,,,,
Optional Move 41,BRINE,WILL_O_WISP,,,,
Optional Move 42,ENDURE,GYRO_BALL,,,,
Optional Move 43,RECYCLE,ROCK_SLIDE,,,,
Optional Move 44,FLASH,GRASS_KNOT,,,,
Optional Move 45,AVALANCHE,SWAGGER,,,,
Optional Move 46,THUNDER_WAVE,U_TURN,,,,
Optional Move 47,CAPTIVATE,SUBSTITUTE,,,,
Optional Move 48,NATURAL_GIFT,,,,,
Optional Move 49,DREAM_EATER,,,,,
Optional Move 50,GRASS_KNOT,,,,,
Optional Move 51,SWAGGER,,,,,
Optional Move 52,SUBSTITUTE,,,,,
Optional Move 53,TRICK_ROOM,,,,,
