Trainer 419,Pokemon 1,Pokemon 2,Pokemon 3,Pokemon 4,Pokemon 5,Pokemon 6
Species,SWOOBAT,DUNSPARCE,FARFETCHD,LIEPARD,NONE,NONE
Level,40,40,40,40,,
Ability,UNAWARE,SERENE_GRACE,STEADFAST,LIMBER,,
Held Item,NONE,NONE,NONE,NONE,,
Move 1,PSYCHIC,HYPER_DRILL,BRICK_BREAK,HONE_CLAWS,,
Move 2,ASSURANCE,DRILL_RUN,KNOCK_OFF,SLASH,,
Move 3,AMNESIA,DRAGON_RUSH,DETECT,ASSURANCE,,
Move 4,AIR_SLASH,ROOST,BRUTAL_SWING,PURSUIT,,
Optional Move 1,GUST,DEFENSE_CURL,PECK,SCRATCH,,
Optional Move 2,ATTRACT,FLAIL,SAND_ATTACK,GROWL,,
Optional Move 3,CONFUSION,MUD_SLAP,BRAVE_BIRD,SAND_ATTACK,,
Optional Move 4,ENDEAVOR,ROLLOUT,POISON_JAB,FAKE_OUT,,
Optional Move 5,ODOR_SLEUTH,GLARE,LEER,ASSIST,,
Optional Move 6,HEART_STAMP,SCREECH,FURY_CUTTER,FURY_SWIPES,,
Optional Move 7,AIR_CUTTER,ANCIENT_POWER,FURY_ATTACK,TORMENT,,
Optional Move 8,IMPRISON,YAWN,AERIAL_ACE,TAUNT,,
Optional Move 9,CALM_MIND,BIDE,CUT,TOXIC,,
Optional Move 10,TOXIC,ROCK_SLIDE,AIR_CUTTER,HIDDEN_POWER,,
Optional Move 11,HIDDEN_POWER,BITE,SLASH,SUNNY_DAY,,
Optional Move 12,TAUNT,HEADBUTT,NIGHT_SLASH,HYPER_BEAM,,
Optional Move 13,HYPER_BEAM,ASTONISH,SWORDS_DANCE,PROTECT,,
Optional Move 14,LIGHT_SCREEN,CURSE,ACROBATICS,RAIN_DANCE,,
Optional Move 15,PROTECT,TRUMP_CARD,FALSE_SWIPE,FRUSTRATION,,
Optional Move 16,RAIN_DANCE,MAGIC_COAT,STEEL_WING,IRON_TAIL,,
Optional Move 17,GIGA_DRAIN,SNORE,FORESIGHT,RETURN,,
Optional Move 18,SAFEGUARD,AGILITY,MIRROR_MOVE,SHADOW_BALL,,
Optional Move 19,FRUSTRATION,CALM_MIND,GUST,DOUBLE_TEAM,,
Optional Move 20,RETURN,TOXIC,QUICK_ATTACK,AERIAL_ACE,,
Optional Move 21,SHADOW_BALL,HIDDEN_POWER,FLAIL,FACADE,,
Optional Move 22,DOUBLE_TEAM,SUNNY_DAY,FEATHER_DANCE,SECRET_POWER,,
Optional Move 23,REFLECT,ICE_BEAM,CURSE,REST,,
Optional Move 24,SHOCK_WAVE,BLIZZARD,COVET,ATTRACT,,
Optional Move 25,AERIAL_ACE,HYPER_BEAM,MUD_SLAP,THIEF,,
Optional Move 26,TORMENT,PROTECT,TOXIC,ENDURE,,
Optional Move 27,FACADE,RAIN_DANCE,HIDDEN_POWER,EMBARGO,,
Optional Move 28,SECRET_POWER,FRUSTRATION,SUNNY_DAY,SHADOW_CLAW,,
Optional Move 29,REST,SOLAR_BEAM,PROTECT,PAYBACK,,
Optional Move 30,THIEF,IRON_TAIL,FRUSTRATION,GIGA_IMPACT,,
Optional Move 31,SKILL_SWAP,THUNDERBOLT,IRON_TAIL,THUNDER_WAVE,,
Optional Move 32,ROOST,THUNDER,RETURN,PSYCH_UP,,
Optional Move 33,ENERGY_BALL,EARTHQUAKE,DOUBLE_TEAM,CAPTIVATE,,
Optional Move 34,ENDURE,RETURN,FACADE,DARK_PULSE,,
Optional Move 35,EMBARGO,DIG,SECRET_POWER,SLEEP_TALK,,
Optional Move 36,GIGA_IMPACT,SHADOW_BALL,REST,DREAM_EATER,,
Optional Move 37,FLASH,DOUBLE_TEAM,ATTRACT,GRASS_KNOT,,
Optional Move 38,THUNDER_WAVE,SHOCK_WAVE,THIEF,SWAGGER,,
Optional Move 39,GYRO_BALL,FLAMETHROWER,ROOST,U_TURN,,
Optional Move 40,PSYCH_UP,SANDSTORM,ENDURE,SUBSTITUTE,,
Optional Move 41,CAPTIVATE,FIRE_BLAST,PSYCH_UP,,,
Optional Move 42,SLEEP_TALK,ROCK_TOMB,CAPTIVATE,,,
Optional Move 43,DREAM_EATER,FACADE,SLEEP_TALK,,,
Optional Move 44,SWAGGER,SECRET_POWER,NATURAL_GIFT,,,
Optional Move 45,U_TURN,REST,SWAGGER,,,
Optional Move 46,SUBSTITUTE,ATTRACT,PLUCK,,,
Optional Move 47,TRICK_ROOM,THIEF,U_TURN,,,
Optional Move 48,,ENDURE,SUBSTITUTE,,,
Optional Move 49,,GIGA_IMPACT,,,,
Optional Move 50,,STONE_EDGE,,,,
Optional Move 51,,THUNDER_WAVE,,,,
Optional Move 52,,GYRO_BALL,,,,
Optional Move 53,,STEALTH_ROCK,,,,
Optional Move 54,,PSYCH_UP,,,,
Optional Move 55,,CAPTIVATE,,,,
Optional Move 56,,SLEEP_TALK,,,,
Optional Move 57,,NATURAL_GIFT,,,,
Optional Move 58,,POISON_JAB,,,,
Optional Move 59,,DREAM_EATER,,,,
Optional Move 60,,SWAGGER,,,,
Optional Move 61,,SUBSTITUTE,,,,
