Trainer 438,Pokemon 1,Pokemon 2,Pokemon 3,Pokemon 4,Pokemon 5,Pokemon 6
Species,BOLTUND,CHARJABUG,GRAVELER,PLUSLE,MINUN,NONE
Level,43,43,43,43,43,
Ability,STRONG_JAW,BATTERY,MAGNET_PULL,PLUS,MINUS,
Held Item,NONE,NONE,NONE,NONE,NONE,
Move 1,CRUNCH,X_SCISSOR,THUNDER_PUNCH,DISCHARGE,DISCHARGE,
Move 2,CHARGE,CRUNCH,DISCHARGE,LAST_RESORT,CHARGE,
Move 3,SPARK,CHARGE,SPARK,CHARGE,THUNDER,
Move 4,BITE,SPARK,ROCK_THROW,THUNDER,SPARK,
Optional Move 1,ELECTRIFY,VICE_GRIP,TACKLE,NUZZLE,NUZZLE,
Optional Move 2,TACKLE,MUD_SLAP,DEFENSE_CURL,PLAY_NICE,PLAY_NICE,
Optional Move 3,TAIL_WHIP,STRING_SHOT,MUD_SPORT,GROWL,GROWL,
Optional Move 4,NUZZLE,BUG_BITE,ROCK_POLISH,THUNDER_WAVE,THUNDER_WAVE,
Optional Move 5,ROAR,BITE,ROLLOUT,QUICK_ATTACK,QUICK_ATTACK,
Optional Move 6,CHARM,ACROBATICS,MAGNITUDE,HELPING_HAND,HELPING_HAND,
Optional Move 7,TOXIC,STICKY_WEB,SMACK_DOWN,SPARK,ENCORE,
Optional Move 8,HIDDEN_POWER,DIG,BULLDOZE,ENCORE,SWITCHEROO,
Optional Move 9,HYPER_BEAM,TOXIC,SELF_DESTRUCT,BESTOW,SWIFT,
Optional Move 10,PROTECT,HIDDEN_POWER,STEALTH_ROCK,SWIFT,ELECTRO_BALL,
Optional Move 11,FRUSTRATION,LIGHT_SCREEN,ROCK_BLAST,ELECTRO_BALL,COPYCAT,
Optional Move 12,THUNDERBOLT,PROTECT,EARTHQUAKE,COPYCAT,FAKE_TEARS,
Optional Move 13,THUNDER,RAIN_DANCE,FOCUS_PUNCH,CHARM,BATON_PASS,
Optional Move 14,RETURN,FRUSTRATION,TOXIC,BATON_PASS,AGILITY,
Optional Move 15,DIG,THUNDERBOLT,HIDDEN_POWER,AGILITY,TRUMP_CARD,
Optional Move 16,DOUBLE_TEAM,THUNDER,SUNNY_DAY,SUBSTITUTE,SUBSTITUTE,
Optional Move 17,FACADE,RETURN,PROTECT,WISH,WISH,
Optional Move 18,SECRET_POWER,DOUBLE_TEAM,FRUSTRATION,SING,SING,
Optional Move 19,REST,SHOCK_WAVE,RETURN,SWEET_KISS,SWEET_KISS,
Optional Move 20,ATTRACT,FACADE,DIG,TOXIC,TOXIC,
Optional Move 21,ENDURE,SECRET_POWER,BRICK_BREAK,HIDDEN_POWER,HIDDEN_POWER,
Optional Move 22,GIGA_IMPACT,REST,DOUBLE_TEAM,LIGHT_SCREEN,LIGHT_SCREEN,
Optional Move 23,THUNDER_WAVE,ATTRACT,FLAMETHROWER,PROTECT,PROTECT,
Optional Move 24,SLEEP_TALK,CHARGE_BEAM,SANDSTORM,RAIN_DANCE,RAIN_DANCE,
Optional Move 25,SUBSTITUTE,ENDURE,FIRE_BLAST,FRUSTRATION,FRUSTRATION,
Optional Move 26,,THUNDER_WAVE,ROCK_TOMB,IRON_TAIL,IRON_TAIL,
Optional Move 27,,SLEEP_TALK,FACADE,THUNDERBOLT,THUNDERBOLT,
Optional Move 28,,POISON_JAB,SECRET_POWER,RETURN,RETURN,
Optional Move 29,,SWAGGER,REST,DOUBLE_TEAM,DOUBLE_TEAM,
Optional Move 30,,SUBSTITUTE,ATTRACT,SHOCK_WAVE,SHOCK_WAVE,
Optional Move 31,,,FOCUS_BLAST,FACADE,FACADE,
Optional Move 32,,,FLING,SECRET_POWER,SECRET_POWER,
Optional Move 33,,,ENDURE,REST,REST,
Optional Move 34,,,GYRO_BALL,ATTRACT,ATTRACT,
Optional Move 35,,,CAPTIVATE,SKILL_SWAP,FLING,
Optional Move 36,,,ROCK_SLIDE,FLING,CHARGE_BEAM,
Optional Move 37,,,SLEEP_TALK,CHARGE_BEAM,ENDURE,
Optional Move 38,,,NATURAL_GIFT,ENDURE,FLASH,
Optional Move 39,,,SWAGGER,FLASH,CAPTIVATE,
Optional Move 40,,,SUBSTITUTE,CAPTIVATE,SLEEP_TALK,
Optional Move 41,,,,SLEEP_TALK,NATURAL_GIFT,
Optional Move 42,,,,NATURAL_GIFT,GRASS_KNOT,
Optional Move 43,,,,GRASS_KNOT,SWAGGER,
Optional Move 44,,,,SWAGGER,,
