Trainer 484,Pokemon 1,Pokemon 2,Pokemon 3,Pokemon 4,Pokemon 5,Pokemon 6
Species,FLETCHINDER,QWILFISH,CRAWDAUNT,GRAVELER,SPIDOPS,NONE
Level,47,47,47,47,47,
Ability,FLAME_BODY,POISON_POINT,HYPER_CUTTER,ROCK_HEAD,INSOMNIA,
Held Item,NONE,NONE,NONE,NONE,NONE,
Move 1,AGILITY,BRINE,CRUNCH,EARTHQUAKE,THROAT_CHOP,
Move 2,AERIAL_ACE,STOCKPILE,KNOCK_OFF,BULLDOZE,CIRCLE_THROW,
Move 3,ACROBATICS,BITE,RAZOR_SHELL,ROCK_POLISH,STRUGGLE_BUG,
Move 4,FLAME_CHARGE,BARB_BARRAGE,NIGHT_SLASH,ROCK_THROW,HEADBUTT,
Optional Move 1,EMBER,POISON_STING,SWIFT,TACKLE,SILK_TRAP,
Optional Move 2,FEINT,TACKLE,WATER_GUN,DEFENSE_CURL,STRING_SHOT,
Optional Move 3,PECK,FELL_STINGER,HARDEN,MUD_SPORT,TACKLE,
Optional Move 4,GROWL,HYDRO_PUMP,LEER,ROLLOUT,ASSURANCE,
Optional Move 5,QUICK_ATTACK,DESTINY_BOND,TAUNT,MAGNITUDE,FEINT,
Optional Move 6,TACKLE,WATER_GUN,BUBBLE,SMACK_DOWN,BUG_BITE,
Optional Move 7,FLAIL,SPIKES,VICE_GRIP,SELF_DESTRUCT,BLOCK,
Optional Move 8,RAZOR_WIND,HARDEN,BUBBLE_BEAM,STEALTH_ROCK,COUNTER,
Optional Move 9,NATURAL_GIFT,MINIMIZE,DOUBLE_HIT,ROCK_BLAST,STICKY_WEB,
Optional Move 10,ROOST,BUBBLE,PROTECT,EXPLOSION,GASTRO_ACID,
Optional Move 11,TAILWIND,ROLLOUT,SWORDS_DANCE,FOCUS_PUNCH,TOXIC,
Optional Move 12,ME_FIRST,REVENGE,WATER_PULSE,TOXIC,BULLET_SEED,
Optional Move 13,TOXIC,TOXIC_SPIKES,TOXIC,HIDDEN_POWER,HIDDEN_POWER,
Optional Move 14,HIDDEN_POWER,PIN_MISSILE,HAIL,SUNNY_DAY,SUNNY_DAY,
Optional Move 15,SUNNY_DAY,SPIT_UP,HIDDEN_POWER,PROTECT,TAUNT,
Optional Move 16,TAUNT,POISON_JAB,ICE_BEAM,FRUSTRATION,PROTECT,
Optional Move 17,PROTECT,TAKE_DOWN,BLIZZARD,RETURN,RAIN_DANCE,
Optional Move 18,RAIN_DANCE,FLAIL,HYPER_BEAM,DIG,GIGA_DRAIN,
Optional Move 19,FRUSTRATION,HAZE,RAIN_DANCE,BRICK_BREAK,FRUSTRATION,
Optional Move 20,RETURN,BUBBLE_BEAM,FRUSTRATION,DOUBLE_TEAM,RETURN,
Optional Move 21,DOUBLE_TEAM,SUPERSONIC,RETURN,FLAMETHROWER,BRICK_BREAK,
Optional Move 22,FLAMETHROWER,ASTONISH,DIG,SANDSTORM,DOUBLE_TEAM,
Optional Move 23,FIRE_BLAST,SIGNAL_BEAM,BRICK_BREAK,FIRE_BLAST,ROCK_TOMB,
Optional Move 24,FACADE,AQUA_JET,DOUBLE_TEAM,ROCK_TOMB,AERIAL_ACE,
Optional Move 25,SECRET_POWER,WATER_PULSE,SLUDGE_BOMB,FACADE,FACADE,
Optional Move 26,REST,HAIL,ROCK_TOMB,SECRET_POWER,SECRET_POWER,
Optional Move 27,ATTRACT,HIDDEN_POWER,FACADE,REST,REST,
Optional Move 28,THIEF,TAUNT,SECRET_POWER,ATTRACT,ATTRACT,
Optional Move 29,SNATCH,ICE_BEAM,REST,FOCUS_BLAST,THIEF,
Optional Move 30,ENDURE,BLIZZARD,ATTRACT,FLING,FALSE_SWIPE,
Optional Move 31,WILL_O_WISP,PROTECT,THIEF,ENDURE,FLING,
Optional Move 32,SWORDS_DANCE,RAIN_DANCE,FALSE_SWIPE,GYRO_BALL,ENDURE,
Optional Move 33,SLEEP_TALK,FRUSTRATION,FLING,CAPTIVATE,GIGA_IMPACT,
Optional Move 34,SWAGGER,RETURN,ENDURE,ROCK_SLIDE,X_SCISSOR,
Optional Move 35,U_TURN,SHADOW_BALL,PAYBACK,SLEEP_TALK,SLEEP_TALK,
Optional Move 36,SUBSTITUTE,DOUBLE_TEAM,GIGA_IMPACT,NATURAL_GIFT,POISON_JAB,
Optional Move 37,,SHOCK_WAVE,AVALANCHE,SWAGGER,GRASS_KNOT,
Optional Move 38,,SLUDGE_BOMB,CAPTIVATE,SUBSTITUTE,U_TURN,
Optional Move 39,,FACADE,DARK_PULSE,,SUBSTITUTE,
Optional Move 40,,SECRET_POWER,ROCK_SLIDE,,,
Optional Move 41,,REST,X_SCISSOR,,,
Optional Move 42,,ATTRACT,SLEEP_TALK,,,
Optional Move 43,,ENDURE,NATURAL_GIFT,,,
Optional Move 44,,EXPLOSION,SWAGGER,,,
Optional Move 45,,PAYBACK,SUBSTITUTE,,,
Optional Move 46,,GIGA_IMPACT,,,,
Optional Move 47,,THUNDER_WAVE,,,,
Optional Move 48,,GYRO_BALL,,,,
Optional Move 49,,SWORDS_DANCE,,,,
Optional Move 50,,CAPTIVATE,,,,
Optional Move 51,,SLEEP_TALK,,,,
Optional Move 52,,NATURAL_GIFT,,,,
Optional Move 53,,SWAGGER,,,,
Optional Move 54,,SUBSTITUTE,,,,
