Trainer 518,Pokemon 1,Pokemon 2,Pokemon 3,Pokemon 4,Pokemon 5,Pokemon 6
Species,STOUTLAND,TAUROS,ALCREMIE,GROVYLE,TOGEDEMARU,NONE
Level,51,51,51,51,51,
Ability,INTIMIDATE,INTIMIDATE,SWEET_VEIL,OVERGROW,IRON_BARBS,
Held Item,NONE,NONE,NONE,NONE,NONE,
Move 1,PLAY_ROUGH,THRASH,DAZZLING_GLEAM,ENERGY_BALL,ZING_ZAP,
Move 2,WORK_UP,ASSURANCE,ACID_ARMOR,X_SCISSOR,CHARGE,
Move 3,CRUNCH,RAGING_BULL,DRAINING_KISS,AGILITY,ROLLOUT,
Move 4,RETALIATE,DOUBLE_KICK,TACKLE,LEAF_BLADE,DISCHARGE,
Optional Move 1,ICE_FANG,TACKLE,DECORATE,FURY_CUTTER,NUZZLE,
Optional Move 2,FIRE_FANG,TAIL_WHIP,AROMATIC_MIST,FALSE_SWIPE,TACKLE,
Optional Move 3,THUNDER_FANG,WORK_UP,SWEET_KISS,POUND,THUNDER_SHOCK,
Optional Move 4,TACKLE,PAYBACK,SWEET_SCENT,LEER,DEFENSE_CURL,
Optional Move 5,LEER,HORN_ATTACK,AROMATHERAPY,LEAFAGE,SPARK,
Optional Move 6,BITE,SCARY_FACE,ATTRACT,QUICK_ATTACK,MAGNET_RISE,
Optional Move 7,ODOR_SLEUTH,ZEN_HEADBUTT,RECOVER,ABSORB,FELL_STINGER,
Optional Move 8,BABY_DOLL_EYES,REST,MISTY_TERRAIN,MEGA_DRAIN,PIN_MISSILE,
Optional Move 9,TAKE_DOWN,SWAGGER,ENTRAINMENT,PURSUIT,ELECTRIC_TERRAIN,
Optional Move 10,HELPING_HAND,TOXIC,CALM_MIND,ASSURANCE,WILD_CHARGE,
Optional Move 11,ROAR,HIDDEN_POWER,TOXIC,DETECT,TOXIC,
Optional Move 12,REVERSAL,SUNNY_DAY,HIDDEN_POWER,GIGA_DRAIN,HIDDEN_POWER,
Optional Move 13,TOXIC,ICE_BEAM,HYPER_BEAM,SLAM,HYPER_BEAM,
Optional Move 14,HIDDEN_POWER,BLIZZARD,LIGHT_SCREEN,QUICK_GUARD,PROTECT,
Optional Move 15,SUNNY_DAY,HYPER_BEAM,PROTECT,DOUBLE_TEAM,FRUSTRATION,
Optional Move 16,HYPER_BEAM,PROTECT,GIGA_DRAIN,ENDEAVOR,IRON_TAIL,
Optional Move 17,PROTECT,RAIN_DANCE,SAFEGUARD,FOCUS_PUNCH,THUNDER,
Optional Move 18,RAIN_DANCE,FRUSTRATION,FRUSTRATION,TOXIC,RETURN,
Optional Move 19,FRUSTRATION,SOLAR_BEAM,SOLAR_BEAM,BULLET_SEED,DOUBLE_TEAM,
Optional Move 20,THUNDERBOLT,IRON_TAIL,RETURN,HIDDEN_POWER,REFLECT,
Optional Move 21,THUNDER,THUNDERBOLT,PSYCHIC,SUNNY_DAY,SHOCK_WAVE,
Optional Move 22,RETURN,THUNDER,DOUBLE_TEAM,PROTECT,FACADE,
Optional Move 23,DIG,EARTHQUAKE,FACADE,SAFEGUARD,SECRET_POWER,
Optional Move 24,SHADOW_BALL,RETURN,SECRET_POWER,FRUSTRATION,REST,
Optional Move 25,DOUBLE_TEAM,DIG,REST,SOLAR_BEAM,ATTRACT,
Optional Move 26,SHOCK_WAVE,SHADOW_BALL,ENERGY_BALL,IRON_TAIL,THIEF,
Optional Move 27,ROCK_TOMB,DOUBLE_TEAM,FLING,RETURN,FLING,
Optional Move 28,AERIAL_ACE,SHOCK_WAVE,ENDURE,DIG,CHARGE_BEAM,
Optional Move 29,FACADE,FLAMETHROWER,DRAIN_PUNCH,BRICK_BREAK,ENDURE,
Optional Move 30,SECRET_POWER,SANDSTORM,GIGA_IMPACT,ROCK_TOMB,PAYBACK,
Optional Move 31,REST,FIRE_BLAST,PSYCH_UP,AERIAL_ACE,GIGA_IMPACT,
Optional Move 32,ATTRACT,ROCK_TOMB,SLEEP_TALK,FACADE,THUNDER_WAVE,
Optional Move 33,ENDURE,FACADE,SUBSTITUTE,SECRET_POWER,GYRO_BALL,
Optional Move 34,PAYBACK,SECRET_POWER,,REST,SLEEP_TALK,
Optional Move 35,THUNDER_WAVE,ATTRACT,,ATTRACT,POISON_JAB,
Optional Move 36,SLEEP_TALK,THIEF,,THIEF,GRASS_KNOT,
Optional Move 37,SWAGGER,ENDURE,,FLING,SWAGGER,
Optional Move 38,SUBSTITUTE,STONE_EDGE,,ENDURE,U_TURN,
Optional Move 39,,CAPTIVATE,,DRAIN_PUNCH,SUBSTITUTE,
Optional Move 40,,ROCK_SLIDE,,FLASH,,
Optional Move 41,,SLEEP_TALK,,SWORDS_DANCE,,
Optional Move 42,,NATURAL_GIFT,,CAPTIVATE,,
Optional Move 43,,SUBSTITUTE,,ROCK_SLIDE,,
Optional Move 44,,,,SLEEP_TALK,,
Optional Move 45,,,,NATURAL_GIFT,,
Optional Move 46,,,,GRASS_KNOT,,
Optional Move 47,,,,SWAGGER,,
Optional Move 48,,,,SUBSTITUTE,,
