Trainer 533,Pokemon 1,Pokemon 2,Pokemon 3,Pokemon 4,Pokemon 5,Pokemon 6
Species,GALLADE,VESPIQUEN,LOPUNNY,PILOSWINE,TANGELA,EMPOLEON
Level,52,52,52,52,52,52
Ability,STEADFAST,PRESSURE,CUTE_CHARM,OBLIVIOUS,CHLOROPHYLL,TORRENT
Held Item,NONE,NONE,NONE,NONE,NONE,NONE
Move 1,FUTURE_SIGHT,ATTACK_ORDER,JUMP_KICK,EARTHQUAKE,POWER_WHIP,DRILL_PECK
Move 2,LEAF_BLADE,POWER_GEM,AGILITY,AMNESIA,KNOCK_OFF,BUBBLE_BEAM
Move 3,NIGHT_SLASH,AIR_SLASH,BOUNCE,ICE_FANG,ANCIENT_POWER,BRINE
Move 4,CLOSE_COMBAT,SWAGGER,HEADBUTT,MUD_BOMB,GIGA_DRAIN,METAL_CLAW
Optional Move 1,SLASH,SLASH,RETURN,FURY_ATTACK,ABSORB,AQUA_JET
Optional Move 2,GROWL,STRUGGLE_BUG,MIRROR_COAT,ANCIENT_POWER,BIND,TACKLE
Optional Move 3,DISARMING_VOICE,BUG_BITE,MAGIC_COAT,TACKLE,INGRAIN,GROWL
Optional Move 4,HYPNOSIS,SWEET_SCENT,SPLASH,MUD_SLAP,CONSTRICT,BUBBLE
Optional Move 5,DRAINING_KISS,GUST,POUND,POWDER_SNOW,VINE_WHIP,SWORDS_DANCE
Optional Move 6,IMPRISON,POISON_STING,DEFENSE_CURL,FLAIL,GROWTH,PECK
Optional Move 7,PSYBEAM,CONFUSE_RAY,BABY_DOLL_EYES,PECK,STUN_SPORE,SWAGGER
Optional Move 8,LIFE_DEW,FELL_STINGER,HEALING_WISH,ODOR_SLEUTH,MEGA_DRAIN,FURY_ATTACK
Optional Move 9,CHARM,DESTINY_BOND,ROTOTILLER,MUD_SPORT,POISON_POWDER,WHIRLPOOL
Optional Move 10,CALM_MIND,FURY_CUTTER,FORESIGHT,ICE_SHARD,SLEEP_POWDER,MIST
Optional Move 11,PSYCHIC,AROMATIC_MIST,ENDURE,ENDURE,NATURAL_GIFT,WATER_PULSE
Optional Move 12,DREAM_EATER,PURSUIT,QUICK_ATTACK,ICY_WIND,SLAM,ROAR
Optional Move 13,LEER,FURY_SWIPES,DOUBLE_KICK,MIST,TICKLE,TOXIC
Optional Move 14,FURY_CUTTER,AROMATHERAPY,AFTER_YOU,TAKE_DOWN,WRING_OUT,HAIL
Optional Move 15,DOUBLE_TEAM,DEFEND_ORDER,BATON_PASS,ROAR,GRASSY_TERRAIN,HIDDEN_POWER
Optional Move 16,CONFUSION,HEAL_ORDER,CHARM,TOXIC,FLAIL,ICE_BEAM
Optional Move 17,STORED_POWER,TOXIC,DIZZY_PUNCH,HAIL,CONFUSION,BLIZZARD
Optional Move 18,TELEPORT,CAPTIVATE,FLATTER,HIDDEN_POWER,REFLECT,HYPER_BEAM
Optional Move 19,AERIAL_ACE,HIDDEN_POWER,ENTRAINMENT,ICE_BEAM,AMNESIA,PROTECT
Optional Move 20,HELPING_HAND,SUNNY_DAY,FOCUS_PUNCH,HYPER_BEAM,LEECH_SEED,RAIN_DANCE
Optional Move 21,FEINT,TAUNT,WATER_PULSE,PROTECT,NATURE_POWER,FRUSTRATION
Optional Move 22,SWORDS_DANCE,HYPER_BEAM,TOXIC,RAIN_DANCE,ENDEAVOR,EARTHQUAKE
Optional Move 23,FALSE_SWIPE,PROTECT,HIDDEN_POWER,FRUSTRATION,LEAF_STORM,RETURN
Optional Move 24,HEAL_PULSE,RAIN_DANCE,SUNNY_DAY,RETURN,POWER_SWAP,BRICK_BREAK
