Trainer 546,Pokemon 1,Pokemon 2,Pokemon 3,Pokemon 4,Pokemon 5,Pokemon 6
Species,CORVIKNIGHT,APPLETUN,BOLTUND,SIZZLIPEDE,KLEAVOR,INTELEON
Level,52,52,52,52,52,52
Ability,PRESSURE,RIPEN,STRONG_JAW,FLASH_FIRE,SWARM,TORRENT
Held Item,NONE,NONE,NONE,NONE,NONE,NONE
Move 1,DRILL_PECK,ENERGY_BALL,CRUNCH,FIRE_LASH,X_SCISSOR,SNIPE_SHOT
Move 2,IRON_DEFENSE,DRAGON_PULSE,CHARGE,CRUNCH,DOUBLE_TEAM,SOAK
Move 3,STEEL_WING,IRON_DEFENSE,SPARK,COIL,ROCK_SLIDE,U_TURN
Move 4,PLUCK,APPLE_ACID,BITE,LUNGE,SLASH,LIQUIDATION
Optional Move 1,METAL_SOUND,HEADBUTT,ELECTRIFY,EMBER,STONE_AXE,ACROBATICS
Optional Move 2,PECK,RECYCLE,TACKLE,SMOKESCREEN,LEER,POUND
Optional Move 3,LEER,WITHDRAW,TAIL_WHIP,WRAP,QUICK_ATTACK,GROWL
Optional Move 4,POWER_TRIP,ASTONISH,NUZZLE,BITE,FURY_CUTTER,WATER_GUN
Optional Move 5,HONE_CLAWS,GROWTH,ROAR,FLAME_WHEEL,FALSE_SWIPE,BIND
Optional Move 6,FURY_ATTACK,SWEET_SCENT,CHARM,BUG_BITE,SMACK_DOWN,WATER_PULSE
Optional Move 7,TAUNT,CURSE,WILD_CHARGE,SLAM,DOUBLE_HIT,TEARFUL_LOOK
Optional Move 8,SCARY_FACE,STOMP,TOXIC,FIRE_SPIN,FOCUS_ENERGY,SUCKER_PUNCH
Optional Move 9,SWAGGER,LEECH_SEED,HIDDEN_POWER,TOXIC,AGILITY,TOXIC
Optional Move 10,BRAVE_BIRD,PROTECT,HYPER_BEAM,HIDDEN_POWER,SWORDS_DANCE,HIDDEN_POWER
Optional Move 11,TOXIC,BULLET_SEED,PROTECT,SUNNY_DAY,CALM_MIND,TAUNT
Optional Move 12,BULK_UP,RECOVER,FRUSTRATION,PROTECT,TOXIC,ICE_BEAM
Optional Move 13,HIDDEN_POWER,BODY_SLAM,THUNDERBOLT,FRUSTRATION,HIDDEN_POWER,BLIZZARD
Optional Move 14,SUNNY_DAY,TOXIC,THUNDER,RETURN,SUNNY_DAY,HYPER_BEAM
Optional Move 15,HYPER_BEAM,HIDDEN_POWER,RETURN,DOUBLE_TEAM,HYPER_BEAM,LIGHT_SCREEN
Optional Move 16,LIGHT_SCREEN,SUNNY_DAY,DIG,FACADE,LIGHT_SCREEN,PROTECT
Optional Move 17,PROTECT,HYPER_BEAM,DOUBLE_TEAM,SECRET_POWER,PROTECT,SAFEGUARD
Optional Move 18,RAIN_DANCE,LIGHT_SCREEN,FACADE,REST,RAIN_DANCE,FRUSTRATION
Optional Move 19,FRUSTRATION,RAIN_DANCE,SECRET_POWER,ATTRACT,FRUSTRATION,RETURN
Optional Move 20,RETURN,GIGA_DRAIN,REST,ENDURE,RETURN,SHADOW_BALL
Optional Move 21,DOUBLE_TEAM,SAFEGUARD,ATTRACT,SLEEP_TALK,BRICK_BREAK,DOUBLE_TEAM
Optional Move 22,REFLECT,FRUSTRATION,ENDURE,SUBSTITUTE,SANDSTORM,REFLECT
Optional Move 23,AERIAL_ACE,SOLAR_BEAM,GIGA_IMPACT,,ROCK_TOMB,FACADE
Optional Move 24,FACADE,EARTHQUAKE,THUNDER_WAVE,,AERIAL_ACE,SECRET_POWER
Optional Move 25,SECRET_POWER,RETURN,SLEEP_TALK,,FACADE,REST
Optional Move 26,REST,DOUBLE_TEAM,SUBSTITUTE,,SECRET_POWER,ATTRACT
Optional Move 27,ATTRACT,REFLECT,,,REST,FLING
Optional Move 28,THIEF,FACADE,,,ATTRACT,ENDURE
Optional Move 29,ENDURE,SECRET_POWER,,,THIEF,GIGA_IMPACT
Optional Move 30,PAYBACK,REST,,,ENDURE,SWORDS_DANCE
Optional Move 31,GIGA_IMPACT,ATTRACT,,,SILVER_WIND,PSYCH_UP
Optional Move 32,SLEEP_TALK,ENDURE,,,GIGA_IMPACT,DARK_PULSE
Optional Move 33,U_TURN,PAYBACK,,,STONE_EDGE,SLEEP_TALK
Optional Move 34,SUBSTITUTE,GIGA_IMPACT,,,STEALTH_ROCK,SUBSTITUTE
Optional Move 35,FLASH_CANNON,GYRO_BALL,,,SLEEP_TALK,
Optional Move 36,,SLEEP_TALK,,,U_TURN,
Optional Move 37,,GRASS_KNOT,,,SUBSTITUTE,
Optional Move 38,,SUBSTITUTE,,,,
