Trainer 611,Pokemon 1,Pokemon 2,Pokemon 3,Pokemon 4,Pokemon 5,Pokemon 6
Species,NINETALES,ARCANINE,HOUNDOOM,NONE,NONE,NONE
Level,52,52,52,,,
Ability,FLASH_FIRE,INTIMIDATE,SOLAR_POWER,,,
Held Item,NONE,NONE,NONE,,,
Move 1,FIRE_BLAST,FLAMETHROWER,FLAMETHROWER,,,
Move 2,EXTRASENSORY,PLAY_ROUGH,NASTY_PLOT,,,
Move 3,INFERNO,AGILITY,INFERNO,,,
Move 4,NASTY_PLOT,REVERSAL,FOUL_PLAY,,,
Optional Move 1,INCINERATE,EXTREME_SPEED,THUNDER_FANG,,,
Optional Move 2,SPITE,BITE,LEER,,,
Optional Move 3,CONFUSE_RAY,CRUNCH,EMBER,,,
Optional Move 4,WILL_O_WISP,EMBER,HOWL,,,
Optional Move 5,FLAMETHROWER,FIRE_FANG,SMOG,,,
Optional Move 6,IMPRISON,FLAME_WHEEL,ROAR,,,
Optional Move 7,FIRE_SPIN,FLARE_BLITZ,BITE,,,
Optional Move 8,SAFEGUARD,HELPING_HAND,ODOR_SLEUTH,,,
Optional Move 9,GRUDGE,HOWL,BEAT_UP,,,
Optional Move 10,EMBER,LEER,FIRE_FANG,,,
Optional Move 11,TAIL_WHIP,RETALIATE,FEINT_ATTACK,,,
Optional Move 12,DISABLE,ROAR,EMBARGO,,,
Optional Move 13,QUICK_ATTACK,TAKE_DOWN,TOXIC,,,
Optional Move 14,CALM_MIND,TOXIC,HIDDEN_POWER,,,
Optional Move 15,ROAR,HIDDEN_POWER,SUNNY_DAY,,,
Optional Move 16,TOXIC,SUNNY_DAY,TAUNT,,,
Optional Move 17,HIDDEN_POWER,HYPER_BEAM,HYPER_BEAM,,,
Optional Move 18,SUNNY_DAY,PROTECT,PROTECT,,,
Optional Move 19,BLIZZARD,SAFEGUARD,RAIN_DANCE,,,
Optional Move 20,HYPER_BEAM,FRUSTRATION,FRUSTRATION,,,
Optional Move 21,PROTECT,SOLAR_BEAM,SOLAR_BEAM,,,
Optional Move 22,FRUSTRATION,IRON_TAIL,IRON_TAIL,,,
Optional Move 23,SOLAR_BEAM,RETURN,RETURN,,,
Optional Move 24,IRON_TAIL,DIG,SHADOW_BALL,,,
Optional Move 25,RETURN,DOUBLE_TEAM,DOUBLE_TEAM,,,
Optional Move 26,DIG,FIRE_BLAST,SLUDGE_BOMB,,,
Optional Move 27,SHADOW_BALL,AERIAL_ACE,FIRE_BLAST,,,
Optional Move 28,DOUBLE_TEAM,FACADE,TORMENT,,,
Optional Move 29,FACADE,SECRET_POWER,FACADE,,,
Optional Move 30,SECRET_POWER,REST,SECRET_POWER,,,
Optional Move 31,REST,ATTRACT,REST,,,
Optional Move 32,ATTRACT,THIEF,ATTRACT,,,
Optional Move 33,OVERHEAT,OVERHEAT,THIEF,,,
Optional Move 34,ENERGY_BALL,ENDURE,SNATCH,,,
Optional Move 35,ENDURE,DRAGON_PULSE,OVERHEAT,,,
Optional Move 36,PAYBACK,WILL_O_WISP,ENDURE,,,
Optional Move 37,GIGA_IMPACT,GIGA_IMPACT,WILL_O_WISP,,,
Optional Move 38,PSYCH_UP,CAPTIVATE,PAYBACK,,,
Optional Move 39,CAPTIVATE,SLEEP_TALK,GIGA_IMPACT,,,
Optional Move 40,DARK_PULSE,NATURAL_GIFT,CAPTIVATE,,,
Optional Move 41,SLEEP_TALK,SWAGGER,DARK_PULSE,,,
Optional Move 42,NATURAL_GIFT,SUBSTITUTE,SLEEP_TALK,,,
Optional Move 43,DREAM_EATER,,NATURAL_GIFT,,,
Optional Move 44,SWAGGER,,DREAM_EATER,,,
Optional Move 45,SUBSTITUTE,,SWAGGER,,,
Optional Move 46,,,SUBSTITUTE,,,
