Trainer 688,Pokemon 1,Pokemon 2,Pokemon 3,Pokemon 4,Pokemon 5,Pokemon 6
Species,MAMOSWINE,URSALUNA,DONPHAN,GIGALITH,GARCHOMP,NONE
Level,58,58,58,58,58,
Ability,OBLIVIOUS,GUTS,STURDY,STURDY,PRESSURE,
Held Item,NONE,NONE,NONE,NONE,NONE,
Move 1,EARTHQUAKE,THRASH,EARTHQUAKE,STONE_EDGE,DRAGON_CLAW,
Move 2,THRASH,PLAY_ROUGH,KNOCK_OFF,IRON_DEFENSE,CRUNCH,
Move 3,AMNESIA,HIGH_HORSEPOWER,FIRE_FANG,MUD_SLAP,SAND_ATTACK,
Move 4,BLIZZARD,REST,SLAM,ROCK_SLIDE,DIG,
Optional Move 1,DOUBLE_HIT,HEADLONG_RUSH,FURY_ATTACK,POWER_GEM,DUAL_CHOP,
Optional Move 2,ICE_FANG,MOONLIGHT,THUNDER_FANG,SAND_ATTACK,SAND_TOMB,
Optional Move 3,ANCIENT_POWER,COVET,HORN_ATTACK,TACKLE,TACKLE,
Optional Move 4,TACKLE,FAKE_TEARS,BULLDOZE,HARDEN,DRAGON_BREATH,
Optional Move 5,MUD_SLAP,LEER,GROWL,STEALTH_ROCK,FIRE_FANG,
Optional Move 6,POWDER_SNOW,LICK,DEFENSE_CURL,HEADBUTT,DRAGON_RAGE,
Optional Move 7,FLAIL,SCRATCH,RAPID_SPIN,SMACK_DOWN,SANDSTORM,
Optional Move 8,FURY_ATTACK,FURY_SWIPES,ROLLOUT,ROCK_BLAST,BULLDOZE,
Optional Move 9,SCARY_FACE,PAYBACK,ASSURANCE,SANDSTORM,BITE,
Optional Move 10,PECK,SWEET_SCENT,MAGNITUDE,EXPLOSION,SLASH,
Optional Move 11,ODOR_SLEUTH,SLASH,SCARY_FACE,TOXIC,TAKE_DOWN,
Optional Move 12,MUD_SPORT,PLAY_NICE,GIGA_IMPACT,HIDDEN_POWER,TOXIC,
Optional Move 13,ICE_SHARD,SCARY_FACE,ROAR,HYPER_BEAM,HIDDEN_POWER,
Optional Move 14,MUD_BOMB,SNORE,TOXIC,PROTECT,SUNNY_DAY,
Optional Move 15,ENDURE,FOCUS_PUNCH,HIDDEN_POWER,FRUSTRATION,HYPER_BEAM,
Optional Move 16,HAIL,ROAR,SUNNY_DAY,SOLAR_BEAM,PROTECT,
Optional Move 17,MIST,TOXIC,HYPER_BEAM,EARTHQUAKE,RAIN_DANCE,
Optional Move 18,ICY_WIND,BULK_UP,PROTECT,RETURN,FRUSTRATION,
Optional Move 19,TAKE_DOWN,HIDDEN_POWER,RAIN_DANCE,DOUBLE_TEAM,IRON_TAIL,
Optional Move 20,ROAR,SUNNY_DAY,FRUSTRATION,ROCK_TOMB,EARTHQUAKE,
Optional Move 21,TOXIC,TAUNT,IRON_TAIL,FACADE,RETURN,
Optional Move 22,HIDDEN_POWER,HYPER_BEAM,RETURN,SECRET_POWER,BRICK_BREAK,
Optional Move 23,ICE_BEAM,PROTECT,DIG,REST,DOUBLE_TEAM,
Optional Move 24,HYPER_BEAM,RAIN_DANCE,DOUBLE_TEAM,ATTRACT,FLAMETHROWER,
Optional Move 25,PROTECT,FRUSTRATION,SANDSTORM,ENDURE,FIRE_BLAST,
Optional Move 26,RAIN_DANCE,EARTHQUAKE,ROCK_TOMB,GIGA_IMPACT,ROCK_TOMB,
Optional Move 27,FRUSTRATION,RETURN,FACADE,ROCK_POLISH,AERIAL_ACE,
Optional Move 28,RETURN,DIG,SECRET_POWER,SLEEP_TALK,FACADE,
Optional Move 29,DIG,BRICK_BREAK,REST,SWAGGER,SECRET_POWER,
Optional Move 30,DOUBLE_TEAM,DOUBLE_TEAM,ATTRACT,SUBSTITUTE,REST,
Optional Move 31,REFLECT,ROCK_TOMB,THIEF,FLASH_CANNON,ATTRACT,
Optional Move 32,SANDSTORM,AERIAL_ACE,ENDURE,,FALSE_SWIPE,
Optional Move 33,ROCK_TOMB,FACADE,ROCK_POLISH,,FLING,
Optional Move 34,FACADE,SECRET_POWER,STONE_EDGE,,ENDURE,
Optional Move 35,SECRET_POWER,ATTRACT,GYRO_BALL,,DRAGON_PULSE,
Optional Move 36,REST,THIEF,STEALTH_ROCK,,SHADOW_CLAW,
Optional Move 37,ATTRACT,FLING,CAPTIVATE,,GIGA_IMPACT,
Optional Move 38,GIGA_IMPACT,ENDURE,ROCK_SLIDE,,STONE_EDGE,
Optional Move 39,STONE_EDGE,DRAIN_PUNCH,SLEEP_TALK,,SWORDS_DANCE,
Optional Move 40,AVALANCHE,SHADOW_CLAW,NATURAL_GIFT,,STEALTH_ROCK,
Optional Move 41,STEALTH_ROCK,GIGA_IMPACT,POISON_JAB,,CAPTIVATE,
Optional Move 42,CAPTIVATE,STONE_EDGE,SWAGGER,,ROCK_SLIDE,
Optional Move 43,ROCK_SLIDE,AVALANCHE,SUBSTITUTE,,SLEEP_TALK,
Optional Move 44,SLEEP_TALK,SWORDS_DANCE,,,NATURAL_GIFT,
Optional Move 45,NATURAL_GIFT,ROCK_SLIDE,,,POISON_JAB,
Optional Move 46,SWAGGER,SLEEP_TALK,,,SWAGGER,
Optional Move 47,SUBSTITUTE,SUBSTITUTE,,,SUBSTITUTE,
