Trainer 706,Pokemon 1,Pokemon 2,Pokemon 3,Pokemon 4,Pokemon 5,Pokemon 6
Species,LAMPENT,SANDYGAST,ZOROARK,DUSCLOPS,RUNERIGUS,NONE
Level,60,60,60,60,60,
Ability,FLASH_FIRE,WATER_COMPACTION,ILLUSION,PRESSURE,WANDERING_SPIRIT,
Held Item,NONE,NONE,NONE,NONE,NONE,
Move 1,SHADOW_BALL,EARTH_POWER,SHADOW_BALL,SHADOW_BALL,EARTHQUAKE,
Move 2,CONFUSE_RAY,SHADOW_BALL,FOUL_PLAY,FUTURE_SIGHT,SHADOW_BALL,
Move 3,HEX,IRON_DEFENSE,U_TURN,CONFUSE_RAY,CURSE,
Move 4,INFERNO,GIGA_DRAIN,SCRATCH,SHADOW_PUNCH,SHADOW_CLAW,
Optional Move 1,ASTONISH,ABSORB,NIGHT_SLASH,FIRE_PUNCH,SCARY_FACE,
Optional Move 2,SMOG,HARDEN,LEER,ICE_PUNCH,ASTONISH,
Optional Move 3,EMBER,ASTONISH,TORMENT,THUNDER_PUNCH,PROTECT,
Optional Move 4,MINIMIZE,SAND_TOMB,HONE_CLAWS,GRAVITY,HAZE,
Optional Move 5,FIRE_SPIN,SAND_ATTACK,NIGHT_DAZE,BIND,NIGHT_SHADE,
Optional Move 6,WILL_O_WISP,MEGA_DRAIN,IMPRISON,ASTONISH,DISABLE,
Optional Move 7,FLAME_BURST,BULLDOZE,PURSUIT,LEER,BRUTAL_SWING,
Optional Move 8,NIGHT_SHADE,HYPNOSIS,FURY_SWIPES,DISABLE,CRAFTY_SHIELD,
Optional Move 9,IMPRISON,SHORE_UP,FEINT_ATTACK,SHADOW_SNEAK,HEX,
Optional Move 10,CURSE,SANDSTORM,SCARY_FACE,NIGHT_SHADE,MEAN_LOOK,
Optional Move 11,MEMENTO,TOXIC,TAUNT,FORESIGHT,SLAM,
Optional Move 12,PAIN_SPLIT,HIDDEN_POWER,KNOCK_OFF,PURSUIT,POWER_SPLIT,
Optional Move 13,CALM_MIND,SUNNY_DAY,FAKE_TEARS,WILL_O_WISP,GUARD_SPLIT,
Optional Move 14,TOXIC,PROTECT,AGILITY,CURSE,CALM_MIND,
Optional Move 15,HIDDEN_POWER,RAIN_DANCE,EMBARGO,HEX,TOXIC,
Optional Move 16,SUNNY_DAY,FRUSTRATION,PUNISHMENT,PAYBACK,HIDDEN_POWER,
Optional Move 17,TAUNT,EARTHQUAKE,NASTY_PLOT,MEAN_LOOK,TAUNT,
Optional Move 18,PROTECT,RETURN,CALM_MIND,FOCUS_PUNCH,HYPER_BEAM,
Optional Move 19,RAIN_DANCE,PSYCHIC,ROAR,CALM_MIND,RAIN_DANCE,
Optional Move 20,SAFEGUARD,DOUBLE_TEAM,TOXIC,TOXIC,SAFEGUARD,
Optional Move 21,FRUSTRATION,SLUDGE_BOMB,HIDDEN_POWER,HIDDEN_POWER,FRUSTRATION,
Optional Move 22,SOLAR_BEAM,ROCK_TOMB,SUNNY_DAY,SUNNY_DAY,RETURN,
Optional Move 23,RETURN,FACADE,HYPER_BEAM,TAUNT,PSYCHIC,
Optional Move 24,PSYCHIC,SECRET_POWER,PROTECT,ICE_BEAM,DOUBLE_TEAM,
Optional Move 25,DOUBLE_TEAM,REST,RAIN_DANCE,BLIZZARD,SANDSTORM,
Optional Move 26,SHOCK_WAVE,ATTRACT,FRUSTRATION,HYPER_BEAM,ROCK_TOMB,
Optional Move 27,FLAMETHROWER,SKILL_SWAP,RETURN,PROTECT,FACADE,
Optional Move 28,FIRE_BLAST,ENERGY_BALL,DIG,RAIN_DANCE,SECRET_POWER,
Optional Move 29,FACADE,BRINE,PSYCHIC,FRUSTRATION,REST,
Optional Move 30,SECRET_POWER,FLING,BRICK_BREAK,EARTHQUAKE,ATTRACT,
Optional Move 31,REST,ENDURE,DOUBLE_TEAM,RETURN,THIEF,
Optional Move 32,ATTRACT,RECYCLE,FLAMETHROWER,PSYCHIC,SKILL_SWAP,
Optional Move 33,THIEF,ROCK_POLISH,SLUDGE_BOMB,BRICK_BREAK,ENERGY_BALL,
Optional Move 34,ENERGY_BALL,STONE_EDGE,AERIAL_ACE,DOUBLE_TEAM,ENDURE,
Optional Move 35,ENDURE,STEALTH_ROCK,FACADE,ROCK_TOMB,DRAGON_PULSE,
Optional Move 36,EMBARGO,ROCK_SLIDE,SECRET_POWER,TORMENT,WILL_O_WISP,
Optional Move 37,PAYBACK,SLEEP_TALK,REST,FACADE,PAYBACK,
Optional Move 38,FLASH,SWAGGER,ATTRACT,SECRET_POWER,GIGA_IMPACT,
Optional Move 39,PSYCH_UP,SUBSTITUTE,THIEF,REST,STONE_EDGE,
Optional Move 40,CAPTIVATE,FLASH_CANNON,SNATCH,ATTRACT,STEALTH_ROCK,
Optional Move 41,DARK_PULSE,,FOCUS_BLAST,THIEF,DARK_PULSE,
Optional Move 42,SLEEP_TALK,,FLING,SKILL_SWAP,ROCK_SLIDE,
Optional Move 43,DREAM_EATER,,ENDURE,SNATCH,SLEEP_TALK,
Optional Move 44,SWAGGER,,SHADOW_CLAW,FLING,GRASS_KNOT,
Optional Move 45,SUBSTITUTE,,PAYBACK,CHARGE_BEAM,SUBSTITUTE,
Optional Move 46,TRICK_ROOM,,GIGA_IMPACT,ENDURE,,
Optional Move 47,,,SWORDS_DANCE,EMBARGO,,
Optional Move 48,,,PSYCH_UP,GIGA_IMPACT,,
Optional Move 49,,,CAPTIVATE,FLASH,,
Optional Move 50,,,DARK_PULSE,PSYCH_UP,,
Optional Move 51,,,SLEEP_TALK,CAPTIVATE,,
Optional Move 52,,,GRASS_KNOT,DARK_PULSE,,
Optional Move 53,,,SWAGGER,ROCK_SLIDE,,
Optional Move 54,,,SUBSTITUTE,SLEEP_TALK,,
Optional Move 55,,,,NATURAL_GIFT,,
Optional Move 56,,,,DREAM_EATER,,
Optional Move 57,,,,SWAGGER,,
Optional Move 58,,,,SUBSTITUTE,,
Optional Move 59,,,,TRICK_ROOM,,
