Trainer 728,Pokemon 1,Pokemon 2,Pokemon 3,Pokemon 4,Pokemon 5,Pokemon 6
Species,QWILFISH,TOXAPEX,SWAMPERT,SEISMITOAD,WHISCASH,NONE
Level,64,64,64,64,64,
Ability,POISON_POINT,MERCILESS,TORRENT,SWIFT_SWIM,OBLIVIOUS,
Held Item,NONE,NONE,NONE,NONE,NONE,
Move 1,CRUNCH,LIQUIDATION,HYDRO_PUMP,HYDRO_PUMP,EARTHQUAKE,
Move 2,BRINE,BANEFUL_BUNKER,SURF,UPROAR,BELCH,
Move 3,BITE,BITE,EARTHQUAKE,ACID,THRASH,
Move 4,BARB_BARRAGE,POISON_JAB,AMNESIA,MUD_SHOT,AQUA_TAIL,
Optional Move 1,POISON_STING,POISON_STING,MUD_SHOT,DRAIN_PUNCH,ZEN_HEADBUTT,
Optional Move 2,TACKLE,PECK,HAMMER_ARM,GASTRO_ACID,TICKLE,
Optional Move 3,FELL_STINGER,WIDE_GUARD,TACKLE,ECHOED_VOICE,MUD_SLAP,
Optional Move 4,HYDRO_PUMP,TOXIC_SPIKES,GROWL,GROWL,WATER_GUN,
Optional Move 5,DESTINY_BOND,VENOSHOCK,WATER_GUN,SUPERSONIC,REST,
Optional Move 6,WATER_GUN,RECOVER,ROCK_SMASH,BUBBLE,SNORE,
Optional Move 7,SPIKES,SPIKE_CANNON,MUD_SLAP,ROUND,MUD_SPORT,
Optional Move 8,HARDEN,PIN_MISSILE,ROCK_THROW,BUBBLE_BEAM,WATER_SPORT,
Optional Move 9,MINIMIZE,TOXIC,FORESIGHT,AQUA_RING,MUD_BOMB,
Optional Move 10,BUBBLE,VENOM_DRENCH,SUPERSONIC,FLAIL,WATER_PULSE,
Optional Move 11,ROLLOUT,WATER_PULSE,BIDE,MUDDY_WATER,AMNESIA,
Optional Move 12,REVENGE,HAIL,WATER_PULSE,RAIN_DANCE,MAGNITUDE,
Optional Move 13,TOXIC_SPIKES,HIDDEN_POWER,PROTECT,HYPER_VOICE,MUDDY_WATER,
Optional Move 14,PIN_MISSILE,ICE_BEAM,MUD_BOMB,FOCUS_PUNCH,FUTURE_SIGHT,
Optional Move 15,STOCKPILE,BLIZZARD,ROCK_SLIDE,WATER_PULSE,FISSURE,
Optional Move 16,SPIT_UP,HYPER_BEAM,TAKE_DOWN,TOXIC,TOXIC,
Optional Move 17,POISON_JAB,PROTECT,MUDDY_WATER,HAIL,HAIL,
Optional Move 18,TAKE_DOWN,RAIN_DANCE,SCREECH,HIDDEN_POWER,HIDDEN_POWER,
Optional Move 19,AQUA_TAIL,SAFEGUARD,ENDEAVOR,HYPER_BEAM,SUNNY_DAY,
Optional Move 20,TOXIC,FRUSTRATION,FOCUS_PUNCH,PROTECT,ICE_BEAM,
Optional Move 21,ACUPRESSURE,RETURN,ROAR,FRUSTRATION,BLIZZARD,
Optional Move 22,FLAIL,DOUBLE_TEAM,TOXIC,EARTHQUAKE,HYPER_BEAM,
Optional Move 23,HAZE,SLUDGE_BOMB,HAIL,RETURN,PROTECT,
Optional Move 24,BUBBLE_BEAM,FACADE,BULK_UP,DIG,RAIN_DANCE,
Optional Move 25,SUPERSONIC,SECRET_POWER,HIDDEN_POWER,BRICK_BREAK,FRUSTRATION,
Optional Move 26,ASTONISH,REST,ICE_BEAM,DOUBLE_TEAM,RETURN,
Optional Move 27,SIGNAL_BEAM,ATTRACT,BLIZZARD,SLUDGE_BOMB,DOUBLE_TEAM,
Optional Move 28,AQUA_JET,SNATCH,HYPER_BEAM,ROCK_TOMB,SANDSTORM,
Optional Move 29,WATER_PULSE,BRINE,RAIN_DANCE,FACADE,ROCK_TOMB,
Optional Move 30,HAIL,ENDURE,FRUSTRATION,SECRET_POWER,AERIAL_ACE,
Optional Move 31,HIDDEN_POWER,PAYBACK,IRON_TAIL,REST,FACADE,
Optional Move 32,TAUNT,SLEEP_TALK,RETURN,ATTRACT,SECRET_POWER,
Optional Move 33,ICE_BEAM,SWAGGER,DIG,FLING,ATTRACT,
Optional Move 34,BLIZZARD,SUBSTITUTE,BRICK_BREAK,ENDURE,ENDURE,
Optional Move 35,PROTECT,,DOUBLE_TEAM,PAYBACK,GIGA_IMPACT,
Optional Move 36,RAIN_DANCE,,ROCK_TOMB,GIGA_IMPACT,STONE_EDGE,
Optional Move 37,FRUSTRATION,,FACADE,STEALTH_ROCK,STEALTH_ROCK,
Optional Move 38,RETURN,,SECRET_POWER,ROCK_SLIDE,CAPTIVATE,
Optional Move 39,SHADOW_BALL,,REST,SLEEP_TALK,ROCK_SLIDE,
Optional Move 40,DOUBLE_TEAM,,ATTRACT,POISON_JAB,SLEEP_TALK,
Optional Move 41,SHOCK_WAVE,,FOCUS_BLAST,GRASS_KNOT,NATURAL_GIFT,
Optional Move 42,SLUDGE_BOMB,,FLING,SWAGGER,SWAGGER,
Optional Move 43,FACADE,,ENDURE,SUBSTITUTE,SUBSTITUTE,
Optional Move 44,SECRET_POWER,,GIGA_IMPACT,,,
Optional Move 45,REST,,STONE_EDGE,,,
Optional Move 46,ATTRACT,,AVALANCHE,,,
Optional Move 47,ENDURE,,STEALTH_ROCK,,,
Optional Move 48,EXPLOSION,,CAPTIVATE,,,
Optional Move 49,PAYBACK,,SLEEP_TALK,,,
Optional Move 50,GIGA_IMPACT,,NATURAL_GIFT,,,
Optional Move 51,THUNDER_WAVE,,POISON_JAB,,,
Optional Move 52,GYRO_BALL,,SWAGGER,,,
Optional Move 53,SWORDS_DANCE,,SUBSTITUTE,,,
Optional Move 54,CAPTIVATE,,,,,
Optional Move 55,SLEEP_TALK,,,,,
Optional Move 56,NATURAL_GIFT,,,,,
Optional Move 57,SWAGGER,,,,,
Optional Move 58,SUBSTITUTE,,,,,
