Trainer 764,Pokemon 1,Pokemon 2,Pokemon 3,Pokemon 4,Pokemon 5,Pokemon 6
Species,DUSCLOPS,CURSOLA,TREVENANT,ORICORIO,NONE,NONE
Level,67,67,67,67,,
Ability,PRESSURE,WEAK_ARMOR,NATURAL_CURE,DANCER,,
Held Item,NONE,NONE,NONE,NONE,,
Move 1,SHADOW_BALL,POWER_GEM,HORN_LEECH,AIR_SLASH,,
Move 2,FUTURE_SIGHT,SPITE,CONFUSE_RAY,REVELATION_DANCE,,
Move 3,CONFUSE_RAY,HEX,SHADOW_CLAW,AGILITY,,
Move 4,SHADOW_PUNCH,ANCIENT_POWER,HEX,HURRICANE,,
Optional Move 1,FIRE_PUNCH,PERISH_SONG,ASTONISH,POUND,,
Optional Move 2,ICE_PUNCH,TACKLE,TACKLE,GROWL,,
Optional Move 3,THUNDER_PUNCH,HARDEN,BRANCH_POKE,PECK,,
Optional Move 4,GRAVITY,ASTONISH,LEECH_SEED,HELPING_HAND,,
Optional Move 5,BIND,DISABLE,GROWTH,AIR_CUTTER,,
Optional Move 6,ASTONISH,CURSE,FEINT_ATTACK,BATON_PASS,,
Optional Move 7,LEER,STRENGTH_SAP,WILL_O_WISP,FEATHER_DANCE,,
Optional Move 8,DISABLE,NIGHT_SHADE,INGRAIN,DOUBLE_SLAP,,
Optional Move 9,SHADOW_SNEAK,GRUDGE,CURSE,TEETER_DANCE,,
Optional Move 10,NIGHT_SHADE,MIRROR_COAT,PHANTOM_FORCE,ROOST,,
Optional Move 11,FORESIGHT,WATER_PULSE,DESTINY_BOND,CAPTIVATE,,
Optional Move 12,PURSUIT,CALM_MIND,FORESTS_CURSE,MIRROR_MOVE,,
Optional Move 13,WILL_O_WISP,TOXIC,WOOD_HAMMER,CALM_MIND,,
Optional Move 14,CURSE,HAIL,CALM_MIND,TOXIC,,
Optional Move 15,HEX,HIDDEN_POWER,TOXIC,HIDDEN_POWER,,
Optional Move 16,PAYBACK,SUNNY_DAY,HIDDEN_POWER,SUNNY_DAY,,
Optional Move 17,MEAN_LOOK,ICE_BEAM,SUNNY_DAY,TAUNT,,
Optional Move 18,FOCUS_PUNCH,BLIZZARD,HYPER_BEAM,PROTECT,,
Optional Move 19,CALM_MIND,HYPER_BEAM,PROTECT,RAIN_DANCE,,
Optional Move 20,TOXIC,LIGHT_SCREEN,RAIN_DANCE,SAFEGUARD,,
Optional Move 21,HIDDEN_POWER,PROTECT,GIGA_DRAIN,FRUSTRATION,,
Optional Move 22,SUNNY_DAY,RAIN_DANCE,SAFEGUARD,RETURN,,
Optional Move 23,TAUNT,GIGA_DRAIN,FRUSTRATION,DOUBLE_TEAM,,
Optional Move 24,ICE_BEAM,SAFEGUARD,SOLAR_BEAM,SANDSTORM,,
Optional Move 25,BLIZZARD,FRUSTRATION,EARTHQUAKE,AERIAL_ACE,,
Optional Move 26,HYPER_BEAM,EARTHQUAKE,RETURN,FACADE,,
Optional Move 27,PROTECT,RETURN,DIG,SECRET_POWER,,
Optional Move 28,RAIN_DANCE,DIG,PSYCHIC,REST,,
Optional Move 29,FRUSTRATION,PSYCHIC,SHADOW_BALL,ATTRACT,,
Optional Move 30,EARTHQUAKE,SHADOW_BALL,DOUBLE_TEAM,STEEL_WING,,
Optional Move 31,RETURN,DOUBLE_TEAM,REFLECT,ENDURE,,
Optional Move 32,PSYCHIC,REFLECT,FACADE,EMBARGO,,
Optional Move 33,BRICK_BREAK,SANDSTORM,SECRET_POWER,SWORDS_DANCE,,
Optional Move 34,DOUBLE_TEAM,ROCK_TOMB,REST,PSYCH_UP,,
Optional Move 35,ROCK_TOMB,FACADE,ATTRACT,SLEEP_TALK,,
Optional Move 36,TORMENT,SECRET_POWER,THIEF,SWAGGER,,
Optional Move 37,FACADE,REST,SKILL_SWAP,PLUCK,,
Optional Move 38,SECRET_POWER,ATTRACT,FOCUS_BLAST,U_TURN,,
Optional Move 39,REST,BRINE,ENERGY_BALL,SUBSTITUTE,,
Optional Move 40,ATTRACT,ENDURE,ENDURE,,,
Optional Move 41,THIEF,GIGA_IMPACT,DRAIN_PUNCH,,,
Optional Move 42,SKILL_SWAP,STONE_EDGE,GIGA_IMPACT,,,
Optional Move 43,SNATCH,STEALTH_ROCK,DARK_PULSE,,,
Optional Move 44,FLING,ROCK_SLIDE,ROCK_SLIDE,,,
Optional Move 45,CHARGE_BEAM,SLEEP_TALK,X_SCISSOR,,,
Optional Move 46,ENDURE,SUBSTITUTE,SLEEP_TALK,,,
Optional Move 47,EMBARGO,,POISON_JAB,,,
Optional Move 48,GIGA_IMPACT,,DREAM_EATER,,,
Optional Move 49,FLASH,,GRASS_KNOT,,,
Optional Move 50,PSYCH_UP,,SWAGGER,,,
Optional Move 51,CAPTIVATE,,SUBSTITUTE,,,
Optional Move 52,DARK_PULSE,,TRICK_ROOM,,,
Optional Move 53,ROCK_SLIDE,,,,,
Optional Move 54,SLEEP_TALK,,,,,
Optional Move 55,NATURAL_GIFT,,,,,
Optional Move 56,DREAM_EATER,,,,,
Optional Move 57,SWAGGER,,,,,
Optional Move 58,SUBSTITUTE,,,,,
Optional Move 59,TRICK_ROOM,,,,,
