Trainer 765,Pokemon 1,Pokemon 2,Pokemon 3,Pokemon 4,Pokemon 5,Pokemon 6
Species,COFAGRIGUS,DRIFBLIM,MAROWAK,DHELMISE,FROSLASS,NONE
Level,67,67,67,67,67,
Ability,MUMMY,AFTERMATH,CURSED_BODY,STEELWORKER,SNOW_CLOAK,
Held Item,NONE,NONE,NONE,NONE,NONE,
Move 1,SHADOW_BALL,SHADOW_BALL,SHADOW_BONE,POWER_WHIP,SHADOW_BALL,
Move 2,DARK_PULSE,OMINOUS_WIND,THRASH,ANCHOR_SHOT,CRUNCH,
Move 3,OMINOUS_WIND,HEX,STOMPING_TANTRUM,RAPID_SPIN,WAKE_UP_SLAP,
Move 4,HEX,GUST,FLARE_BLITZ,SHADOW_BALL,BLIZZARD,
Optional Move 1,SHADOW_CLAW,PHANTOM_FORCE,MUD_SLAP,ABSORB,HEX,
Optional Move 2,SCARY_FACE,STRENGTH_SAP,GROWL,SWITCHEROO,OMINOUS_WIND,
Optional Move 3,ASTONISH,MINIMIZE,TAIL_WHIP,GROWTH,DESTINY_BOND,
Optional Move 4,PROTECT,ASTONISH,FALSE_SWIPE,ASTONISH,PROTECT,
Optional Move 5,HAZE,FOCUS_ENERGY,BONE_CLUB,WRAP,BITE,
Optional Move 6,NIGHT_SHADE,CONSTRICT,HEADBUTT,MEGA_DRAIN,ICE_FANG,
Optional Move 7,DISABLE,PAYBACK,LEER,GYRO_BALL,HEADBUTT,
Optional Move 8,WILL_O_WISP,STOCKPILE,RAGE,GIGA_DRAIN,POWDER_SNOW,
Optional Move 9,CRAFTY_SHIELD,SWALLOW,FLING,WHIRLPOOL,ASTONISH,
Optional Move 10,CURSE,SPIT_UP,FOCUS_ENERGY,METAL_SOUND,LEER,
Optional Move 11,MEAN_LOOK,SELF_DESTRUCT,BONEMERANG,HEAVY_SLAM,DOUBLE_TEAM,
Optional Move 12,GRUDGE,DESTINY_BOND,RETALIATE,SLAM,ICE_SHARD,
Optional Move 13,POWER_SPLIT,BATON_PASS,ENDEAVOR,ENERGY_BALL,ICY_WIND,
Optional Move 14,GUARD_SPLIT,AMNESIA,BONE_RUSH,PHANTOM_FORCE,DRAINING_KISS,
Optional Move 15,DESTINY_BOND,TAILWIND,DOUBLE_EDGE,TOXIC,FROST_BREATH,
Optional Move 16,CALM_MIND,EXPLOSION,FOCUS_PUNCH,HIDDEN_POWER,CONFUSE_RAY,
Optional Move 17,TOXIC,CALM_MIND,TOXIC,SUNNY_DAY,WILL_O_WISP,
Optional Move 18,HIDDEN_POWER,TOXIC,HIDDEN_POWER,HYPER_BEAM,CAPTIVATE,
Optional Move 19,HYPER_BEAM,HIDDEN_POWER,SUNNY_DAY,PROTECT,HAIL,
Optional Move 20,RAIN_DANCE,SUNNY_DAY,ICE_BEAM,RAIN_DANCE,AURORA_VEIL,
Optional Move 21,SAFEGUARD,HYPER_BEAM,BLIZZARD,FRUSTRATION,WATER_PULSE,
Optional Move 22,FRUSTRATION,PROTECT,HYPER_BEAM,SOLAR_BEAM,TOXIC,
Optional Move 23,RETURN,RAIN_DANCE,PROTECT,EARTHQUAKE,HIDDEN_POWER,
Optional Move 24,PSYCHIC,FRUSTRATION,FRUSTRATION,RETURN,TAUNT,
Optional Move 25,DOUBLE_TEAM,THUNDERBOLT,IRON_TAIL,BRICK_BREAK,ICE_BEAM,
Optional Move 26,SHOCK_WAVE,THUNDER,EARTHQUAKE,DOUBLE_TEAM,HYPER_BEAM,
Optional Move 27,FACADE,RETURN,RETURN,AERIAL_ACE,LIGHT_SCREEN,
Optional Move 28,SECRET_POWER,PSYCHIC,DIG,FACADE,RAIN_DANCE,
Optional Move 29,REST,DOUBLE_TEAM,BRICK_BREAK,SECRET_POWER,SAFEGUARD,
Optional Move 30,ATTRACT,SHOCK_WAVE,DOUBLE_TEAM,REST,FRUSTRATION,
Optional Move 31,THIEF,AERIAL_ACE,FLAMETHROWER,THIEF,THUNDERBOLT,
Optional Move 32,SKILL_SWAP,FACADE,SANDSTORM,BRINE,THUNDER,
Optional Move 33,ENERGY_BALL,SECRET_POWER,FIRE_BLAST,ENDURE,RETURN,
Optional Move 34,ENDURE,REST,ROCK_TOMB,EMBARGO,PSYCHIC,
Optional Move 35,EMBARGO,ATTRACT,AERIAL_ACE,SHADOW_CLAW,REFLECT,
Optional Move 36,PAYBACK,THIEF,FACADE,PAYBACK,SHOCK_WAVE,
Optional Move 37,FLASH,SKILL_SWAP,SECRET_POWER,GIGA_IMPACT,TORMENT,
Optional Move 38,PSYCH_UP,FLING,REST,SWORDS_DANCE,FACADE,
Optional Move 39,SLEEP_TALK,ENDURE,ATTRACT,ROCK_SLIDE,SECRET_POWER,
Optional Move 40,DREAM_EATER,WILL_O_WISP,THIEF,SLEEP_TALK,REST,
Optional Move 41,GRASS_KNOT,SILVER_WIND,FOCUS_BLAST,GRASS_KNOT,ATTRACT,
Optional Move 42,SWAGGER,EMBARGO,ENDURE,SWAGGER,SNATCH,
Optional Move 43,SUBSTITUTE,RECYCLE,GIGA_IMPACT,SUBSTITUTE,FLING,
Optional Move 44,TRICK_ROOM,GIGA_IMPACT,STONE_EDGE,FLASH_CANNON,ENDURE,
Optional Move 45,,FLASH,SWORDS_DANCE,,EMBARGO,
Optional Move 46,,THUNDER_WAVE,STEALTH_ROCK,,PAYBACK,
Optional Move 47,,GYRO_BALL,CAPTIVATE,,GIGA_IMPACT,
Optional Move 48,,CAPTIVATE,ROCK_SLIDE,,FLASH,
Optional Move 49,,SLEEP_TALK,SLEEP_TALK,,AVALANCHE,
Optional Move 50,,NATURAL_GIFT,NATURAL_GIFT,,THUNDER_WAVE,
Optional Move 51,,DREAM_EATER,SWAGGER,,PSYCH_UP,
Optional Move 52,,SWAGGER,SUBSTITUTE,,SLEEP_TALK,
Optional Move 53,,SUBSTITUTE,,,NATURAL_GIFT,
Optional Move 54,,TRICK_ROOM,,,DREAM_EATER,
Optional Move 55,,,,,SWAGGER,
Optional Move 56,,,,,SUBSTITUTE,
