Trainer 774,Pokemon 1,Pokemon 2,Pokemon 3,Pokemon 4,Pokemon 5,Pokemon 6
Species,LANTURN,ZEBSTRIKA,TSAREENA,DRAGAPULT,SILVALLY,AMPHAROS
Level,66,66,66,66,66,66
Ability,VOLT_ABSORB,LIGHTNING_ROD,LEAF_GUARD,CLEAR_BODY,RKS_SYSTEM,MOLD_BREAKER
Held Item,NONE,NONE,NONE,NONE,NONE,NONE
Move 1,HYDRO_PUMP,DISCHARGE,POWER_WHIP,DRAGON_RUSH,MULTI_ATTACK,DRAGON_PULSE
Move 2,SIGNAL_BEAM,THRASH,HIGH_JUMP_KICK,SUCKER_PUNCH,IRON_HEAD,POWER_GEM
Move 3,CHARGE,CHARGE,TROP_KICK,U_TURN,SCARY_FACE,CHARGE
Move 4,DISCHARGE,SPARK,SWAGGER,PHANTOM_FORCE,AIR_SLASH,ZAP_CANNON
Optional Move 1,SPIT_UP,ION_DELUGE,FLAIL,DRAGON_DARTS,EXPLOSION,THUNDER_PUNCH
Optional Move 2,SWALLOW,QUICK_ATTACK,PLAY_NICE,DRAGON_BREATH,THUNDER_FANG,MAGNETIC_FLUX
Optional Move 3,STOCKPILE,TAIL_WHIP,SPLASH,ASTONISH,ICE_FANG,ION_DELUGE
Optional Move 4,EERIE_IMPULSE,THUNDER_WAVE,RAPID_SPIN,INFESTATION,FIRE_FANG,FIRE_PUNCH
Optional Move 5,WATER_GUN,SHOCK_WAVE,RAZOR_LEAF,QUICK_ATTACK,POISON_FANG,TACKLE
Optional Move 6,SUPERSONIC,FLAME_CHARGE,PUNISHMENT,BITE,IMPRISON,GROWL
Optional Move 7,ELECTRO_BALL,PURSUIT,DOUBLE_SLAP,LOCK_ON,TACKLE,THUNDER_WAVE
Optional Move 8,THUNDER_WAVE,STOMP,SWEET_SCENT,ASSURANCE,BITE,THUNDER_SHOCK
Optional Move 9,SPOTLIGHT,AGILITY,MAGICAL_LEAF,HEX,AERIAL_ACE,COTTON_SPORE
Optional Move 10,BUBBLE,WILD_CHARGE,STOMP,AGILITY,HEAL_BLOCK,TAKE_DOWN
Optional Move 11,BUBBLE_BEAM,ROAR,TEETER_DANCE,DOUBLE_HIT,RAGE,ELECTRO_BALL
Optional Move 12,CONFUSE_RAY,TOXIC,AROMATIC_MIST,DRAGON_DANCE,PURSUIT,CONFUSE_RAY
Optional Move 13,SPARK,HIDDEN_POWER,CAPTIVATE,TAKE_DOWN,CRUSH_CLAW,DISCHARGE
Optional Move 14,FLAIL,SUNNY_DAY,AROMATHERAPY,DRAGON_CLAW,METAL_SOUND,COTTON_GUARD
Optional Move 15,AQUA_RING,HYPER_BEAM,LEAF_STORM,TOXIC,DOUBLE_HIT,SIGNAL_BEAM
Optional Move 16,TAKE_DOWN,LIGHT_SCREEN,TOXIC,HIDDEN_POWER,X_SCISSOR,LIGHT_SCREEN
Optional Move 17,ION_DELUGE,PROTECT,BULLET_SEED,SUNNY_DAY,TAKE_DOWN,THUNDER
Optional Move 18,WATER_PULSE,RAIN_DANCE,HIDDEN_POWER,HYPER_BEAM,CRUNCH,FOCUS_PUNCH
Optional Move 19,TOXIC,FRUSTRATION,SUNNY_DAY,LIGHT_SCREEN,TRI_ATTACK,ROAR
Optional Move 20,HAIL,THUNDERBOLT,TAUNT,PROTECT,PUNISHMENT,TOXIC
Optional Move 21,HIDDEN_POWER,THUNDER,HYPER_BEAM,FRUSTRATION,DOUBLE_EDGE,HIDDEN_POWER
Optional Move 22,ICE_BEAM,RETURN,LIGHT_SCREEN,THUNDERBOLT,DRAGON_CLAW,SUNNY_DAY
Optional Move 23,BLIZZARD,DOUBLE_TEAM,PROTECT,THUNDER,ROAR,HYPER_BEAM
Optional Move 24,HYPER_BEAM,FACADE,GIGA_DRAIN,RETURN,TOXIC,PROTECT
Optional Move 25,PROTECT,SECRET_POWER,SAFEGUARD,SHADOW_BALL,HAIL,RAIN_DANCE
Optional Move 26,RAIN_DANCE,REST,FRUSTRATION,DOUBLE_TEAM,HIDDEN_POWER,SAFEGUARD
Optional Move 27,FRUSTRATION,ATTRACT,SOLAR_BEAM,REFLECT,SUNNY_DAY,FRUSTRATION
Optional Move 28,THUNDERBOLT,SNATCH,RETURN,FLAMETHROWER,ICE_BEAM,IRON_TAIL
Optional Move 29,THUNDER,OVERHEAT,DOUBLE_TEAM,FIRE_BLAST,HYPER_BEAM,THUNDERBOLT
Optional Move 30,RETURN,CHARGE_BEAM,REFLECT,FACADE,PROTECT,RETURN
Optional Move 31,DOUBLE_TEAM,ENDURE,FACADE,SECRET_POWER,RAIN_DANCE,DIG
Optional Move 32,SHOCK_WAVE,GIGA_IMPACT,SECRET_POWER,REST,FRUSTRATION,BRICK_BREAK
Optional Move 33,FACADE,FLASH,REST,ATTRACT,THUNDERBOLT,DOUBLE_TEAM
Optional Move 34,SECRET_POWER,SLEEP_TALK,ATTRACT,THIEF,RETURN,REFLECT
Optional Move 35,REST,SWAGGER,ENERGY_BALL,STEEL_WING,SHADOW_BALL,SHOCK_WAVE
Optional Move 36,ATTRACT,SUBSTITUTE,FLING,BRINE,DOUBLE_TEAM,FACADE
Optional Move 37,BRINE,,ENDURE,ENDURE,SANDSTORM,SECRET_POWER
Optional Move 38,CHARGE_BEAM,,GIGA_IMPACT,DRAGON_PULSE,FACADE,REST
Optional Move 39,ENDURE,,SLEEP_TALK,WILL_O_WISP,SECRET_POWER,ATTRACT
Optional Move 40,GIGA_IMPACT,,GRASS_KNOT,GIGA_IMPACT,REST,FOCUS_BLAST
Optional Move 41,FLASH,,U_TURN,THUNDER_WAVE,STEEL_WING,FLING
Optional Move 42,CAPTIVATE,,SUBSTITUTE,SLEEP_TALK,ENDURE,CHARGE_BEAM
Optional Move 43,SLEEP_TALK,,,SUBSTITUTE,SHADOW_CLAW,ENDURE
Optional Move 44,NATURAL_GIFT,,,,PAYBACK,GIGA_IMPACT
Optional Move 45,SWAGGER,,,,GIGA_IMPACT,FLASH
Optional Move 46,SUBSTITUTE,,,,THUNDER_WAVE,CAPTIVATE
Optional Move 47,,,,,SWORDS_DANCE,SLEEP_TALK
Optional Move 48,,,,,ROCK_SLIDE,NATURAL_GIFT
Optional Move 49,,,,,SLEEP_TALK,SWAGGER
Optional Move 50,,,,,SWAGGER,SUBSTITUTE
Optional Move 51,,,,,U_TURN,
Optional Move 52,,,,,SUBSTITUTE,
Optional Move 53,,,,,FLASH_CANNON,
