Trainer 776,Pokemon 1,Pokemon 2,Pokemon 3,Pokemon 4,Pokemon 5,Pokemon 6
Species,JELLICENT,EXCADRILL,TANGROWTH,GENGAR,DRIFBLIM,SWAMPERT
Level,66,66,66,66,66,66
Ability,WATER_ABSORB,SAND_RUSH,CHLOROPHYLL,CURSED_BODY,AFTERMATH,SWIFT_SWIM
Held Item,NONE,NONE,NONE,NONE,NONE,NONE
Move 1,WATER_SPOUT,EARTHQUAKE,POWER_WHIP,SHADOW_BALL,SHADOW_BALL,HYDRO_PUMP
Move 2,SHADOW_BALL,DRILL_RUN,KNOCK_OFF,DREAM_EATER,PHANTOM_FORCE,SURF
Move 3,HEX,DIG,ANCIENT_POWER,CONFUSE_RAY,HEX,EARTHQUAKE
Move 4,ACID_ARMOR,METAL_CLAW,GIGA_DRAIN,DARK_PULSE,GUST,AMNESIA
Optional Move 1,ABSORB,HORN_DRILL,BLOCK,SHADOW_PUNCH,STRENGTH_SAP,MUD_SHOT
Optional Move 2,WATER_GUN,MUD_SLAP,ABSORB,PERISH_SONG,MINIMIZE,HAMMER_ARM
Optional Move 3,POISON_STING,RAPID_SPIN,BIND,REFLECT_TYPE,ASTONISH,TACKLE
Optional Move 4,NIGHT_SHADE,SCRATCH,STUN_SPORE,LICK,FOCUS_ENERGY,GROWL
Optional Move 5,WRING_OUT,HONE_CLAWS,GROWTH,HYPNOSIS,CONSTRICT,WATER_GUN
Optional Move 6,BUBBLE,ROTOTILLER,INGRAIN,MEAN_LOOK,PAYBACK,ROCK_SMASH
Optional Move 7,WATER_SPORT,MUD_SPORT,CONSTRICT,SPITE,OMINOUS_WIND,MUD_SLAP
Optional Move 8,BUBBLE_BEAM,FURY_SWIPES,VINE_WHIP,CURSE,STOCKPILE,ROCK_THROW
Optional Move 9,WATER_PULSE,CRUSH_CLAW,MEGA_DRAIN,PAYBACK,SWALLOW,FORESIGHT
Optional Move 10,RECOVER,SLASH,POISON_POWDER,NIGHT_SHADE,SPIT_UP,SUPERSONIC
Optional Move 11,RAIN_DANCE,ROCK_SLIDE,SLEEP_POWDER,SUCKER_PUNCH,SELF_DESTRUCT,BIDE
Optional Move 12,BRINE,SANDSTORM,NATURAL_GIFT,HEX,DESTINY_BOND,WATER_PULSE
Optional Move 13,OMINOUS_WIND,SWORDS_DANCE,SLAM,DESTINY_BOND,BATON_PASS,PROTECT
Optional Move 14,WHIRLPOOL,FISSURE,TICKLE,NIGHTMARE,AMNESIA,MUD_BOMB
Optional Move 15,HYDRO_PUMP,TOXIC,WRING_OUT,FOCUS_PUNCH,TAILWIND,ROCK_SLIDE
Optional Move 16,DESTINY_BOND,HIDDEN_POWER,GRASSY_TERRAIN,TOXIC,EXPLOSION,TAKE_DOWN
Optional Move 17,TOXIC,SUNNY_DAY,TOXIC,HIDDEN_POWER,CALM_MIND,MUDDY_WATER
Optional Move 18,HAIL,HYPER_BEAM,BULLET_SEED,SUNNY_DAY,TOXIC,SCREECH
Optional Move 19,HIDDEN_POWER,PROTECT,HIDDEN_POWER,TAUNT,HIDDEN_POWER,ENDEAVOR
Optional Move 20,TAUNT,FRUSTRATION,SUNNY_DAY,HYPER_BEAM,SUNNY_DAY,FOCUS_PUNCH
Optional Move 21,ICE_BEAM,RETURN,HYPER_BEAM,PROTECT,HYPER_BEAM,ROAR
Optional Move 22,BLIZZARD,BRICK_BREAK,PROTECT,RAIN_DANCE,PROTECT,TOXIC
Optional Move 23,HYPER_BEAM,DOUBLE_TEAM,FRUSTRATION,GIGA_DRAIN,RAIN_DANCE,HAIL
Optional Move 24,PROTECT,ROCK_TOMB,SOLAR_BEAM,FRUSTRATION,FRUSTRATION,BULK_UP
Optional Move 25,GIGA_DRAIN,AERIAL_ACE,EARTHQUAKE,THUNDERBOLT,THUNDERBOLT,HIDDEN_POWER
Optional Move 26,SAFEGUARD,FACADE,RETURN,THUNDER,THUNDER,ICE_BEAM
Optional Move 27,FRUSTRATION,SECRET_POWER,BRICK_BREAK,RETURN,RETURN,BLIZZARD
Optional Move 28,RETURN,REST,DOUBLE_TEAM,PSYCHIC,PSYCHIC,HYPER_BEAM
Optional Move 29,PSYCHIC,ATTRACT,REFLECT,BRICK_BREAK,DOUBLE_TEAM,RAIN_DANCE
Optional Move 30,DOUBLE_TEAM,FOCUS_BLAST,SHOCK_WAVE,DOUBLE_TEAM,SHOCK_WAVE,FRUSTRATION
Optional Move 31,SHOCK_WAVE,FLING,SLUDGE_BOMB,SLUDGE_BOMB,AERIAL_ACE,IRON_TAIL
Optional Move 32,SLUDGE_BOMB,ENDURE,ROCK_TOMB,TORMENT,FACADE,RETURN
Optional Move 33,FACADE,SHADOW_CLAW,AERIAL_ACE,FACADE,SECRET_POWER,DIG
Optional Move 34,SECRET_POWER,GIGA_IMPACT,FACADE,SECRET_POWER,REST,BRICK_BREAK
Optional Move 35,REST,STEALTH_ROCK,SECRET_POWER,REST,ATTRACT,DOUBLE_TEAM
Optional Move 36,ATTRACT,X_SCISSOR,REST,ATTRACT,THIEF,ROCK_TOMB
Optional Move 37,ENERGY_BALL,SLEEP_TALK,ATTRACT,THIEF,SKILL_SWAP,FACADE
Optional Move 38,ENDURE,POISON_JAB,THIEF,SKILL_SWAP,FLING,SECRET_POWER
Optional Move 39,WILL_O_WISP,SWAGGER,FOCUS_BLAST,SNATCH,ENDURE,REST
Optional Move 40,GIGA_IMPACT,SUBSTITUTE,ENERGY_BALL,FOCUS_BLAST,WILL_O_WISP,ATTRACT
Optional Move 41,FLASH,,FLING,ENERGY_BALL,SILVER_WIND,FOCUS_BLAST
Optional Move 42,PSYCH_UP,,ENDURE,FLING,EMBARGO,FLING
Optional Move 43,DARK_PULSE,,PAYBACK,ENDURE,RECYCLE,ENDURE
Optional Move 44,SLEEP_TALK,,GIGA_IMPACT,DRAIN_PUNCH,GIGA_IMPACT,GIGA_IMPACT
Optional Move 45,DREAM_EATER,,FLASH,WILL_O_WISP,FLASH,STONE_EDGE
Optional Move 46,SWAGGER,,SWORDS_DANCE,EMBARGO,THUNDER_WAVE,AVALANCHE
Optional Move 47,SUBSTITUTE,,PSYCH_UP,EXPLOSION,GYRO_BALL,STEALTH_ROCK
Optional Move 48,TRICK_ROOM,,CAPTIVATE,SHADOW_CLAW,CAPTIVATE,CAPTIVATE
Optional Move 49,,,ROCK_SLIDE,GIGA_IMPACT,SLEEP_TALK,SLEEP_TALK
Optional Move 50,,,SLEEP_TALK,THUNDER_WAVE,NATURAL_GIFT,NATURAL_GIFT
Optional Move 51,,,POISON_JAB,PSYCH_UP,DREAM_EATER,POISON_JAB
