Trainer 81,Pokemon 1,Pokemon 2,Pokemon 3,Pokemon 4,Pokemon 5,Pokemon 6
Species,LITWICK,ZIGZAGOON,ROCKRUFF,NONE,NONE,NONE
Level,11,11,11,,,
Ability,FLASH_FIRE,PICKUP,KEEN_EYE,,,
Held Item,NONE,NONE,NONE,,,
Move 1,ASTONISH,LEER,DOUBLE_TEAM,,,
Move 2,CONFUSE_RAY,SNARL,TACKLE,,,
Move 3,EMBER,TACKLE,LEER,,,
Move 4,SMOG,SAND_ATTACK,SAND_ATTACK,,,
Optional Move 1,MINIMIZE,GROWL,TOXIC,,,
Optional Move 2,ACID,TAIL_WHIP,HIDDEN_POWER,,,
Optional Move 3,ACID_ARMOR,HEADBUTT,TAUNT,,,
Optional Move 4,CAPTIVATE,CHARM,PROTECT,,,
Optional Move 5,ENDURE,PURSUIT,FRUSTRATION,,,
Optional Move 6,HAZE,SUBSTITUTE,RETURN,,,
Optional Move 7,HEAT_WAVE,TICKLE,DIG,,,
Optional Move 8,CALM_MIND,TRICK,SANDSTORM,,,
Optional Move 9,TOXIC,HELPING_HAND,FACADE,,,
Optional Move 10,HIDDEN_POWER,MUD_SLAP,SECRET_POWER,,,
Optional Move 11,SUNNY_DAY,WATER_PULSE,REST,,,
Optional Move 12,TAUNT,TOXIC,ATTRACT,,,
Optional Move 13,PROTECT,HIDDEN_POWER,ENDURE,,,
Optional Move 14,RAIN_DANCE,SUNNY_DAY,ROCK_POLISH,,,
Optional Move 15,SAFEGUARD,ICE_BEAM,SWORDS_DANCE,,,
Optional Move 16,FRUSTRATION,BLIZZARD,SLEEP_TALK,,,
Optional Move 17,SOLAR_BEAM,PROTECT,SWAGGER,,,
Optional Move 18,RETURN,RAIN_DANCE,SUBSTITUTE,,,
Optional Move 19,PSYCHIC,FRUSTRATION,,,,
Optional Move 20,DOUBLE_TEAM,IRON_TAIL,,,,
Optional Move 21,SHOCK_WAVE,THUNDERBOLT,,,,
Optional Move 22,FLAMETHROWER,THUNDER,,,,
Optional Move 23,FIRE_BLAST,RETURN,,,,
Optional Move 24,FACADE,DIG,,,,
Optional Move 25,SECRET_POWER,SHADOW_BALL,,,,
Optional Move 26,REST,DOUBLE_TEAM,,,,
Optional Move 27,ATTRACT,SHOCK_WAVE,,,,
Optional Move 28,THIEF,FACADE,,,,
Optional Move 29,ENERGY_BALL,SECRET_POWER,,,,
Optional Move 30,EMBARGO,ATTRACT,,,,
Optional Move 31,PAYBACK,THIEF,,,,
Optional Move 32,FLASH,CHARGE_BEAM,,,,
Optional Move 33,PSYCH_UP,ENDURE,,,,
Optional Move 34,DARK_PULSE,THUNDER_WAVE,,,,
Optional Move 35,SLEEP_TALK,CAPTIVATE,,,,
Optional Move 36,DREAM_EATER,SLEEP_TALK,,,,
Optional Move 37,SWAGGER,NATURAL_GIFT,,,,
Optional Move 38,SUBSTITUTE,GRASS_KNOT,,,,
Optional Move 39,TRICK_ROOM,SWAGGER,,,,
