Trainer 831,Pokemon 1,Pokemon 2,Pokemon 3,Pokemon 4,Pokemon 5,Pokemon 6
Species,INFERNAPE,OBSTAGOON,ROTOM_WASH,TORNADUS,HYDREIGON,SABLEYE
Level,70,70,70,70,70,70
Ability,BLAZE,RECKLESS,LEVITATE,PRANKSTER,LEVITATE,PRESSURE
Held Item,NONE,NONE,NONE,NONE,NONE,NONE
Move 1,CALM_MIND,CROSS_CHOP,DISCHARGE,AIR_SLASH,OUTRAGE,FOUL_PLAY
Move 2,FLAME_WHEEL,HONE_CLAWS,UPROAR,THRASH,NASTY_PLOT,POWER_GEM
Move 3,ACROBATICS,HEADBUTT,HEX,SWAGGER,DRAGON_RUSH,KNOCK_OFF
Move 4,CLOSE_COMBAT,NIGHT_SLASH,CHARGE,HAMMER_ARM,CRUNCH,SHADOW_BALL
Optional Move 1,MACH_PUNCH,OBSTRUCT,ASTONISH,ASTONISH,TACKLE,LEER
Optional Move 2,FLARE_BLITZ,SUBMISSION,DOUBLE_TEAM,GUST,DOUBLE_HIT,SCRATCH
Optional Move 3,SCRATCH,SWITCHEROO,TRICK,LEER,TRI_ATTACK,FORESIGHT
Optional Move 4,LEER,PIN_MISSILE,THUNDER_WAVE,BITE,FOCUS_ENERGY,ASTONISH
Optional Move 5,EMBER,BABY_DOLL_EYES,THUNDER_SHOCK,AIR_CUTTER,DRAGON_BREATH,SHADOW_SNEAK
Optional Move 6,TAUNT,TACKLE,CONFUSE_RAY,AGILITY,BITE,NIGHT_SHADE
Optional Move 7,FURY_SWIPES,LEER,SHOCK_WAVE,TAILWIND,HYPER_VOICE,DISABLE
Optional Move 8,FEINT,SAND_ATTACK,OMINOUS_WIND,CRUNCH,DRAGON_RAGE,FAKE_OUT
Optional Move 9,PUNISHMENT,LICK,ELECTRO_BALL,EXTRASENSORY,ROAR,DETECT
Optional Move 10,FIRE_SPIN,SNARL,SUBSTITUTE,UPROAR,ASSURANCE,CONFUSE_RAY
Optional Move 11,FOCUS_PUNCH,FURY_SWIPES,TOXIC,RAIN_DANCE,HEADBUTT,FURY_SWIPES
Optional Move 12,ROAR,REST,HIDDEN_POWER,HURRICANE,SLAM,FEINT_ATTACK
Optional Move 13,TOXIC,TAKE_DOWN,SUNNY_DAY,TOXIC,WORK_UP,PUNISHMENT
Optional Move 14,BULK_UP,SCARY_FACE,LIGHT_SCREEN,BULK_UP,DRAGON_PULSE,SHADOW_CLAW
Optional Move 15,HIDDEN_POWER,COUNTER,PROTECT,HIDDEN_POWER,SCARY_FACE,QUASH
Optional Move 16,SUNNY_DAY,TAUNT,RAIN_DANCE,SUNNY_DAY,BODY_SLAM,ZEN_HEADBUTT
Optional Move 17,HYPER_BEAM,DOUBLE_EDGE,FRUSTRATION,TAUNT,TOXIC,MEAN_LOOK
