Trainer 871,Pokemon 1,Pokemon 2,Pokemon 3,Pokemon 4,Pokemon 5,Pokemon 6
Species,INCINEROAR,CALYREX,GHOLDENGO,SANDY_SHOCKS,STARAPTOR,BEEDRILL
Level,76,76,76,76,76,76
Ability,BLAZE,UNNERVE,GOOD_AS_GOLD,PROTOSYNTHESIS,INTIMIDATE,ADAPTABILITY
Held Item,NONE,NONE,NONE,NONE,NONE,NONE
Move 1,FLAMETHROWER,ENERGY_BALL,MAKE_IT_RAIN,EARTH_POWER,DOUBLE_TEAM,POISON_JAB
Move 2,THRASH,PSYCHIC,SHADOW_BALL,DISCHARGE,CLOSE_COMBAT,ASSURANCE
Move 3,CROSS_CHOP,AROMATHERAPY,NASTY_PLOT,ELECTRIC_TERRAIN,AERIAL_ACE,VENOSHOCK
Move 4,DARKEST_LARIAT,PSYSHOCK,POWER_GEM,SPARK,TAKE_DOWN,FELL_STINGER
Optional Move 1,THROAT_CHOP,POUND,ASTONISH,SUNNY_DAY,TACKLE,TWINEEDLE
Optional Move 2,BULK_UP,MEGA_DRAIN,TACKLE,SUPERSONIC,GROWL,FURY_ATTACK
Optional Move 3,SCRATCH,CONFUSION,NIGHT_SHADE,THUNDER_SHOCK,QUICK_ATTACK,RAGE
Optional Move 4,GROWL,GROWTH,CONFUSE_RAY,THUNDER_WAVE,WING_ATTACK,PURSUIT
Optional Move 5,EMBER,LIFE_DEW,SUBSTITUTE,BULLDOZE,ENDEAVOR,FOCUS_ENERGY
Optional Move 6,LICK,GIGA_DRAIN,METAL_SOUND,CHARGE_BEAM,WHIRLWIND,TOXIC_SPIKES
Optional Move 7,LEER,HELPING_HAND,RECOVER,TRI_ATTACK,AGILITY,PIN_MISSILE
Optional Move 8,ROAR,LEECH_SEED,MEMENTO,SCREECH,BRAVE_BIRD,AGILITY
Optional Move 9,DOUBLE_KICK,HEAL_PULSE,FOCUS_PUNCH,HEAVY_SLAM,FINAL_GAMBIT,ENDEAVOR
Optional Move 10,BITE,CALM_MIND,TOXIC,METAL_SOUND,TOXIC,TOXIC
Optional Move 11,FIRE_FANG,TOXIC,HIDDEN_POWER,MIRROR_COAT,HIDDEN_POWER,HIDDEN_POWER
Optional Move 12,FURY_SWIPES,BULLET_SEED,HYPER_BEAM,TOXIC,SUNNY_DAY,SUNNY_DAY
Optional Move 13,SWAGGER,HIDDEN_POWER,LIGHT_SCREEN,HIDDEN_POWER,HYPER_BEAM,HYPER_BEAM
Optional Move 14,SCARY_FACE,HYPER_BEAM,PROTECT,HYPER_BEAM,PROTECT,PROTECT
Optional Move 15,FLARE_BLITZ,LIGHT_SCREEN,FRUSTRATION,LIGHT_SCREEN,RAIN_DANCE,GIGA_DRAIN
Optional Move 16,OUTRAGE,PROTECT,THUNDERBOLT,PROTECT,FRUSTRATION,FRUSTRATION
Optional Move 17,FOCUS_PUNCH,RAIN_DANCE,THUNDER,FRUSTRATION,RETURN,SOLAR_BEAM
Optional Move 18,TOXIC,SAFEGUARD,RETURN,THUNDERBOLT,FACADE,RETURN
Optional Move 19,HIDDEN_POWER,FRUSTRATION,PSYCHIC,THUNDER,SECRET_POWER,BRICK_BREAK
Optional Move 20,SUNNY_DAY,RETURN,DOUBLE_TEAM,EARTHQUAKE,REST,DOUBLE_TEAM
Optional Move 21,TAUNT,DOUBLE_TEAM,REFLECT,RETURN,ATTRACT,SLUDGE_BOMB
