Trainer 897,Pokemon 1,Pokemon 2,Pokemon 3,Pokemon 4,Pokemon 5,Pokemon 6
Species,PORYGON_Z,CINDERACE,RILLABOOM,MAGNEZONE,MACHAMP,CHARIZARD
Level,74,74,74,74,74,74
Ability,ADAPTABILITY,BLAZE,OVERGROW,MAGNET_PULL,GUTS,PRESSURE
Held Item,NONE,NONE,NONE,NONE,NONE,NONE
Move 1,TRI_ATTACK,PYRO_BALL,DRUM_BEATING,FLASH_CANNON,CROSS_CHOP,HEAT_WAVE
Move 2,DISCHARGE,AGILITY,BOOMBURST,TRI_ATTACK,STRENGTH,DRAGON_CLAW
Move 3,NASTY_PLOT,DOUBLE_KICK,KNOCK_OFF,BARRIER,BULK_UP,GROWL
Move 4,PSYBEAM,HEADBUTT,UPROAR,ZAP_CANNON,KNOCK_OFF,DRAGON_BREATH
Optional Move 1,TRICK_ROOM,FEINT,DOUBLE_HIT,ELECTRIC_TERRAIN,WIDE_GUARD,AIR_SLASH
Optional Move 2,DEFENSE_CURL,TACKLE,GRASSY_TERRAIN,MAGNETIC_FLUX,LOW_KICK,WING_ATTACK
Optional Move 3,TACKLE,GROWL,NOBLE_ROAR,MIRROR_COAT,LEER,SCRATCH
Optional Move 4,CONVERSION,EMBER,SCRATCH,THUNDER_SHOCK,FOCUS_ENERGY,EMBER
Optional Move 5,RECYCLE,QUICK_ATTACK,GROWL,TACKLE,REVENGE,SMOKESCREEN
Optional Move 6,MAGNET_RISE,FLAME_CHARGE,BRANCH_POKE,SUPERSONIC,KARATE_CHOP,FLARE_BLITZ
Optional Move 7,ZAP_CANNON,COUNTER,TAUNT,THUNDER_WAVE,FORESIGHT,SHADOW_CLAW
Optional Move 8,MAGIC_COAT,BOUNCE,RAZOR_LEAF,MAGNET_BOMB,LOW_SWEEP,DRAGON_RAGE
Optional Move 9,CONVERSION_2,DOUBLE_EDGE,SCREECH,SONIC_BOOM,VITAL_THROW,FIRE_FANG
Optional Move 10,THUNDER_SHOCK,COURT_CHANGE,SLAM,ELECTRO_BALL,WAKE_UP_SLAP,SCARY_FACE
Optional Move 11,AGILITY,TOXIC,WOOD_HAMMER,SPARK,SEISMIC_TOSS,SLASH
Optional Move 12,RECOVER,BULK_UP,ENDEAVOR,MIRROR_SHOT,DUAL_CHOP,FLAME_BURST
Optional Move 13,SIGNAL_BEAM,HIDDEN_POWER,FOCUS_PUNCH,SCREECH,SCARY_FACE,FLAMETHROWER
Optional Move 14,EMBARGO,SUNNY_DAY,TOXIC,LIGHT_SCREEN,SUBMISSION,FIRE_SPIN
Optional Move 15,LOCK_ON,TAUNT,BULK_UP,GYRO_BALL,DYNAMIC_PUNCH,INFERNO
Optional Move 16,HYPER_BEAM,HYPER_BEAM,BULLET_SEED,METAL_SOUND,DOUBLE_EDGE,FOCUS_PUNCH
Optional Move 17,TOXIC,PROTECT,HIDDEN_POWER,MAGNET_RISE,FOCUS_PUNCH,ROAR
Optional Move 18,HIDDEN_POWER,FRUSTRATION,SUNNY_DAY,DISCHARGE,TOXIC,TOXIC
Optional Move 19,SUNNY_DAY,RETURN,HYPER_BEAM,LOCK_ON,HIDDEN_POWER,HIDDEN_POWER
Optional Move 20,ICE_BEAM,SHADOW_BALL,PROTECT,TOXIC,SUNNY_DAY,SUNNY_DAY
Optional Move 21,BLIZZARD,DOUBLE_TEAM,GIGA_DRAIN,HIDDEN_POWER,HYPER_BEAM,HYPER_BEAM
Optional Move 22,PROTECT,FLAMETHROWER,FRUSTRATION,SUNNY_DAY,LIGHT_SCREEN,PROTECT
Optional Move 23,RAIN_DANCE,FIRE_BLAST,SOLAR_BEAM,HYPER_BEAM,PROTECT,FRUSTRATION
Optional Move 24,FRUSTRATION,FACADE,EARTHQUAKE,PROTECT,RAIN_DANCE,SOLAR_BEAM
Optional Move 25,SOLAR_BEAM,SECRET_POWER,RETURN,RAIN_DANCE,FRUSTRATION,IRON_TAIL
Optional Move 26,IRON_TAIL,REST,BRICK_BREAK,FRUSTRATION,EARTHQUAKE,EARTHQUAKE
Optional Move 27,THUNDERBOLT,ATTRACT,DOUBLE_TEAM,THUNDERBOLT,RETURN,RETURN
Optional Move 28,THUNDER,OVERHEAT,FACADE,THUNDER,DIG,DIG
Optional Move 29,RETURN,FOCUS_BLAST,SECRET_POWER,RETURN,BRICK_BREAK,BRICK_BREAK
Optional Move 30,PSYCHIC,FLING,REST,DOUBLE_TEAM,DOUBLE_TEAM,DOUBLE_TEAM
Optional Move 31,SHADOW_BALL,ENDURE,ATTRACT,REFLECT,FLAMETHROWER,SANDSTORM
Optional Move 32,DOUBLE_TEAM,WILL_O_WISP,THIEF,SHOCK_WAVE,FIRE_BLAST,FIRE_BLAST
Optional Move 33,SHOCK_WAVE,GIGA_IMPACT,FOCUS_BLAST,SANDSTORM,ROCK_TOMB,ROCK_TOMB
Optional Move 34,FACADE,SWORDS_DANCE,ENERGY_BALL,FACADE,FACADE,AERIAL_ACE
Optional Move 35,SECRET_POWER,SLEEP_TALK,FALSE_SWIPE,SECRET_POWER,SECRET_POWER,FACADE
Optional Move 36,REST,U_TURN,FLING,REST,REST,SECRET_POWER
