Trainer 903,Pokemon 1,Pokemon 2,Pokemon 3,Pokemon 4,Pokemon 5,Pokemon 6
Species,URSALUNA,PHEROMOSA,MAGMORTAR,ARTICUNO,ARCHALUDON,BLASTOISE
Level,76,76,76,76,76,76
Ability,GUTS,BEAST_BOOST,FLAME_BODY,PRESSURE,STAMINA,MEGA_LAUNCHER
Held Item,NONE,NONE,NONE,NONE,NONE,NONE
Move 1,THRASH,HIGH_JUMP_KICK,FIRE_BLAST,ICE_BEAM,FLASH_CANNON,HYDRO_PUMP
Move 2,PLAY_ROUGH,BUG_BUZZ,THUNDER_PUNCH,ANCIENT_POWER,IRON_DEFENSE,FLASH_CANNON
Move 3,HAMMER_ARM,LUNGE,SUNNY_DAY,BLIZZARD,DRAGON_CLAW,AQUA_TAIL
Move 4,HEADLONG_RUSH,QUIVER_DANCE,LOW_KICK,HURRICANE,BREAKING_SWIPE,SHELL_SMASH
Optional Move 1,MOONLIGHT,FEINT,SMOG,GUST,ELECTRO_SHOT,TACKLE
Optional Move 2,COVET,RAPID_SPIN,LEER,MIST,LEER,TAIL_WHIP
Optional Move 3,FAKE_TEARS,QUICK_GUARD,EMBER,POWDER_SNOW,METAL_CLAW,WATER_GUN
Optional Move 4,LEER,LOW_KICK,SMOKESCREEN,ICE_SHARD,ROCK_SMASH,WITHDRAW
Optional Move 5,LICK,LEER,FEINT_ATTACK,AGILITY,HONE_CLAWS,BUBBLE
Optional Move 6,SCRATCH,DOUBLE_KICK,CLEAR_SMOG,REFLECT,METAL_SOUND,RAPID_SPIN
Optional Move 7,FURY_SWIPES,SWIFT,FIRE_SPIN,FREEZE_DRY,DRAGON_TAIL,BITE
Optional Move 8,PAYBACK,BUG_BITE,FLAME_WHEEL,MIND_READER,FOCUS_ENERGY,WATER_PULSE
Optional Move 9,SWEET_SCENT,SILVER_WIND,CONFUSE_RAY,TAILWIND,METAL_BURST,PROTECT
Optional Move 10,SLASH,STOMP,FLAME_BURST,HAIL,HYPER_BEAM,RAIN_DANCE
Optional Move 11,PLAY_NICE,JUMP_KICK,SCARY_FACE,ROOST,ROAR,IRON_DEFENSE
Optional Move 12,SCARY_FACE,TRIPLE_KICK,FIRE_PUNCH,WATER_PULSE,TOXIC,SKULL_BASH
Optional Move 13,REST,AGILITY,LAVA_PLUME,ROAR,HIDDEN_POWER,FOCUS_PUNCH
Optional Move 14,SNORE,BOUNCE,FLAMETHROWER,TOXIC,LIGHT_SCREEN,ROAR
Optional Move 15,HIGH_HORSEPOWER,ME_FIRST,HYPER_BEAM,HIDDEN_POWER,PROTECT,TOXIC
Optional Move 16,FOCUS_PUNCH,SPEED_SWAP,FOCUS_PUNCH,SUNNY_DAY,FRUSTRATION,HAIL
Optional Move 17,ROAR,TOXIC,ROAR,HYPER_BEAM,SOLAR_BEAM,HIDDEN_POWER
Optional Move 18,TOXIC,HIDDEN_POWER,TOXIC,LIGHT_SCREEN,THUNDER,ICE_BEAM
Optional Move 19,BULK_UP,TAUNT,HIDDEN_POWER,PROTECT,EARTHQUAKE,BLIZZARD
Optional Move 20,HIDDEN_POWER,ICE_BEAM,TAUNT,RAIN_DANCE,RETURN,HYPER_BEAM
Optional Move 21,SUNNY_DAY,BLIZZARD,PROTECT,FRUSTRATION,BRICK_BREAK,FRUSTRATION
Optional Move 22,TAUNT,HYPER_BEAM,FRUSTRATION,RETURN,DOUBLE_TEAM,IRON_TAIL
Optional Move 23,HYPER_BEAM,PROTECT,SOLAR_BEAM,DOUBLE_TEAM,REFLECT,EARTHQUAKE
Optional Move 24,PROTECT,FRUSTRATION,IRON_TAIL,SANDSTORM,ROCK_TOMB,RETURN
Optional Move 25,RAIN_DANCE,RETURN,THUNDERBOLT,AERIAL_ACE,FACADE,DIG
Optional Move 26,FRUSTRATION,BRICK_BREAK,EARTHQUAKE,FACADE,SECRET_POWER,BRICK_BREAK
Optional Move 27,EARTHQUAKE,DOUBLE_TEAM,RETURN,SECRET_POWER,REST,DOUBLE_TEAM
Optional Move 28,RETURN,SHOCK_WAVE,PSYCHIC,REST,ATTRACT,ROCK_TOMB
Optional Move 29,DIG,TORMENT,BRICK_BREAK,STEEL_WING,ENDURE,FACADE
Optional Move 30,BRICK_BREAK,FACADE,DOUBLE_TEAM,ENDURE,DRAGON_PULSE,SECRET_POWER
Optional Move 31,DOUBLE_TEAM,SECRET_POWER,ROCK_TOMB,GIGA_IMPACT,GIGA_IMPACT,REST
Optional Move 32,ROCK_TOMB,REST,TORMENT,AVALANCHE,STONE_EDGE,ATTRACT
Optional Move 33,AERIAL_ACE,SNATCH,FACADE,SLEEP_TALK,THUNDER_WAVE,FOCUS_BLAST
Optional Move 34,FACADE,ROOST,SECRET_POWER,NATURAL_GIFT,GYRO_BALL,BRINE
Optional Move 35,SECRET_POWER,FOCUS_BLAST,REST,SWAGGER,SWORDS_DANCE,FLING
Optional Move 36,ATTRACT,FALSE_SWIPE,ATTRACT,PLUCK,STEALTH_ROCK,ENDURE
Optional Move 37,THIEF,FLING,THIEF,U_TURN,DARK_PULSE,DRAGON_PULSE
Optional Move 38,FLING,ENDURE,OVERHEAT,SUBSTITUTE,ROCK_SLIDE,GIGA_IMPACT
Optional Move 39,ENDURE,GIGA_IMPACT,FOCUS_BLAST,,SLEEP_TALK,AVALANCHE
Optional Move 40,DRAIN_PUNCH,SLEEP_TALK,FLING,,SUBSTITUTE,GYRO_BALL
Optional Move 41,SHADOW_CLAW,POISON_JAB,ENDURE,,,CAPTIVATE
Optional Move 42,GIGA_IMPACT,SWAGGER,WILL_O_WISP,,,DARK_PULSE
Optional Move 43,STONE_EDGE,U_TURN,GIGA_IMPACT,,,ROCK_SLIDE
Optional Move 44,AVALANCHE,SUBSTITUTE,CAPTIVATE,,,SLEEP_TALK
Optional Move 45,SWORDS_DANCE,,ROCK_SLIDE,,,NATURAL_GIFT
Optional Move 46,ROCK_SLIDE,,SLEEP_TALK,,,SWAGGER
Optional Move 47,SLEEP_TALK,,NATURAL_GIFT,,,SUBSTITUTE
Optional Move 48,SUBSTITUTE,,POISON_JAB,,,
Optional Move 49,,,SWAGGER,,,
Optional Move 50,,,SUBSTITUTE,,,
