Trainer 909,Pokemon 1,Pokemon 2,Pokemon 3,Pokemon 4,Pokemon 5,Pokemon 6
Species,AMPHAROS,IRON_THORNS,ZERAORA,NONE,NONE,NONE
Level,78,78,78,,,
Ability,MOLD_BREAKER,QUARK_DRIVE,VOLT_ABSORB,,,
Held Item,NONE,NONE,NONE,,,
Move 1,DRAGON_PULSE,ROCK_SLIDE,PLASMA_FISTS,,,
Move 2,POWER_GEM,EARTHQUAKE,CHARGE,,,
Move 3,CHARGE,CHARGE,THUNDER_PUNCH,,,
Move 4,ZAP_CANNON,WILD_CHARGE,DISCHARGE,,,
Optional Move 1,THUNDER_PUNCH,ELECTRIC_TERRAIN,POWER_UP_PUNCH,,,
Optional Move 2,MAGNETIC_FLUX,FIRE_FANG,FAKE_OUT,,,
Optional Move 3,ION_DELUGE,ICE_FANG,SCRATCH,,,
Optional Move 4,FIRE_PUNCH,IRON_DEFENSE,QUICK_ATTACK,,,
Optional Move 5,TACKLE,ROCK_THROW,SNARL,,,
Optional Move 6,GROWL,THUNDER_FANG,SPARK,,,
Optional Move 7,THUNDER_WAVE,SCREECH,FURY_SWIPES,,,
Optional Move 8,THUNDER_SHOCK,ROCK_TOMB,VOLT_SWITCH,,,
Optional Move 9,COTTON_SPORE,BITE,QUICK_GUARD,,,
Optional Move 10,TAKE_DOWN,SANDSTORM,SLASH,,,
Optional Move 11,ELECTRO_BALL,PIN_MISSILE,HONE_CLAWS,,,
Optional Move 12,CONFUSE_RAY,STEALTH_ROCK,WILD_CHARGE,,,
Optional Move 13,DISCHARGE,DRAGON_CLAW,CLOSE_COMBAT,,,
Optional Move 14,COTTON_GUARD,TOXIC,FOCUS_PUNCH,,,
Optional Move 15,SIGNAL_BEAM,HIDDEN_POWER,CALM_MIND,,,
Optional Move 16,LIGHT_SCREEN,SUNNY_DAY,TOXIC,,,
Optional Move 17,THUNDER,TAUNT,BULK_UP,,,
Optional Move 18,FOCUS_PUNCH,ICE_BEAM,HIDDEN_POWER,,,
Optional Move 19,ROAR,BLIZZARD,TAUNT,,,
Optional Move 20,TOXIC,HYPER_BEAM,PROTECT,,,
Optional Move 21,HIDDEN_POWER,PROTECT,FRUSTRATION,,,
Optional Move 22,SUNNY_DAY,RAIN_DANCE,THUNDERBOLT,,,
Optional Move 23,HYPER_BEAM,FRUSTRATION,THUNDER,,,
Optional Move 24,PROTECT,THUNDERBOLT,RETURN,,,
Optional Move 25,RAIN_DANCE,THUNDER,BRICK_BREAK,,,
Optional Move 26,SAFEGUARD,RETURN,DOUBLE_TEAM,,,
Optional Move 27,FRUSTRATION,DIG,SHOCK_WAVE,,,
Optional Move 28,IRON_TAIL,BRICK_BREAK,AERIAL_ACE,,,
Optional Move 29,THUNDERBOLT,DOUBLE_TEAM,FACADE,,,
Optional Move 30,RETURN,FLAMETHROWER,SECRET_POWER,,,
Optional Move 31,DIG,FIRE_BLAST,REST,,,
Optional Move 32,BRICK_BREAK,FACADE,SNATCH,,,
Optional Move 33,DOUBLE_TEAM,SECRET_POWER,FOCUS_BLAST,,,
Optional Move 34,REFLECT,REST,FALSE_SWIPE,,,
Optional Move 35,SHOCK_WAVE,FOCUS_BLAST,FLING,,,
Optional Move 36,FACADE,FLING,ENDURE,,,
Optional Move 37,SECRET_POWER,CHARGE_BEAM,DRAIN_PUNCH,,,
Optional Move 38,REST,ENDURE,GIGA_IMPACT,,,
Optional Move 39,ATTRACT,THUNDER_WAVE,THUNDER_WAVE,,,
Optional Move 40,FOCUS_BLAST,SWORDS_DANCE,SLEEP_TALK,,,
Optional Move 41,FLING,SLEEP_TALK,GRASS_KNOT,,,
Optional Move 42,CHARGE_BEAM,SUBSTITUTE,SUBSTITUTE,,,
Optional Move 43,ENDURE,FLASH_CANNON,,,,
Optional Move 44,GIGA_IMPACT,,,,,
Optional Move 45,FLASH,,,,,
Optional Move 46,CAPTIVATE,,,,,
Optional Move 47,SLEEP_TALK,,,,,
Optional Move 48,NATURAL_GIFT,,,,,
Optional Move 49,SWAGGER,,,,,
Optional Move 50,SUBSTITUTE,,,,,
