Trainer 912,Pokemon 1,Pokemon 2,Pokemon 3,Pokemon 4,Pokemon 5,Pokemon 6
Species,TAPU_FINI,IRON_VALIANT,ALTARIA,NONE,NONE,NONE
Level,78,78,78,,,
Ability,MISTY_SURGE,QUARK_DRIVE,PIXILATE,,,
Held Item,NONE,NONE,NONE,,,
Move 1,HYDRO_PUMP,FUTURE_SIGHT,MOONBLAST,,,
Move 2,MOONBLAST,CLOSE_COMBAT,SKY_ATTACK,,,
Move 3,MUDDY_WATER,LEAF_BLADE,DRAGON_PULSE,,,
Move 4,HAZE,DOUBLE_TEAM,TAKE_DOWN,,,
Optional Move 1,DISARMING_VOICE,DISABLE,DRAGON_BREATH,,,
Optional Move 2,WATER_GUN,FURY_CUTTER,PLUCK,,,
Optional Move 3,MISTY_TERRAIN,SHADOW_SNEAK,PECK,,,
Optional Move 4,HEAL_PULSE,HYPNOSIS,GROWL,,,
Optional Move 5,MEAN_LOOK,FEINT,DISARMING_VOICE,,,
Optional Move 6,MIST,DAZZLING_GLEAM,MIST,,,
Optional Move 7,WITHDRAW,PSYCHO_CUT,ASTONISH,,,
Optional Move 8,WATER_PULSE,NIGHT_SLASH,SING,,,
Optional Move 9,WHIRLPOOL,MOONBLAST,FURY_ATTACK,,,
Optional Move 10,REFRESH,KNOCK_OFF,ROUND,,,
Optional Move 11,BRINE,DESTINY_BOND,SAFEGUARD,,,
Optional Move 12,AQUA_RING,CALM_MIND,NATURAL_GIFT,,,
Optional Move 13,DEFOG,TOXIC,REFRESH,,,
Optional Move 14,SURF,HIDDEN_POWER,DRAGON_DANCE,,,
Optional Move 15,SOAK,TAUNT,COTTON_GUARD,,,
Optional Move 16,NATURES_MADNESS,HYPER_BEAM,PERISH_SONG,,,
Optional Move 17,CALM_MIND,LIGHT_SCREEN,DRAGON_CLAW,,,
Optional Move 18,TOXIC,PROTECT,ROAR,,,
Optional Move 19,HIDDEN_POWER,FRUSTRATION,TOXIC,,,
Optional Move 20,TAUNT,THUNDERBOLT,HIDDEN_POWER,,,
Optional Move 21,ICE_BEAM,RETURN,SUNNY_DAY,,,
Optional Move 22,BLIZZARD,PSYCHIC,ICE_BEAM,,,
Optional Move 23,HYPER_BEAM,SHADOW_BALL,HYPER_BEAM,,,
Optional Move 24,LIGHT_SCREEN,BRICK_BREAK,PROTECT,,,
Optional Move 25,PROTECT,REFLECT,RAIN_DANCE,,,
Optional Move 26,RAIN_DANCE,AERIAL_ACE,FRUSTRATION,,,
Optional Move 27,SAFEGUARD,SECRET_POWER,SOLAR_BEAM,,,
Optional Move 28,FRUSTRATION,REST,IRON_TAIL,,,
Optional Move 29,RETURN,SKILL_SWAP,EARTHQUAKE,,,
Optional Move 30,SHADOW_BALL,FOCUS_BLAST,RETURN,,,
Optional Move 31,DOUBLE_TEAM,ENERGY_BALL,DOUBLE_TEAM,,,
Optional Move 32,REFLECT,FALSE_SWIPE,FLAMETHROWER,,,
Optional Move 33,TORMENT,FLING,FIRE_BLAST,,,
Optional Move 34,FACADE,CHARGE_BEAM,AERIAL_ACE,,,
Optional Move 35,SECRET_POWER,ENDURE,FACADE,,,
Optional Move 36,REST,DRAIN_PUNCH,SECRET_POWER,,,
Optional Move 37,FLING,SHADOW_CLAW,REST,,,
Optional Move 38,ENDURE,GIGA_IMPACT,ATTRACT,,,
Optional Move 39,GIGA_IMPACT,SWORDS_DANCE,THIEF,,,
Optional Move 40,PSYCH_UP,PSYCH_UP,STEEL_WING,,,
Optional Move 41,SLEEP_TALK,X_SCISSOR,ROOST,,,
Optional Move 42,GRASS_KNOT,SLEEP_TALK,ENDURE,,,
Optional Move 43,SWAGGER,POISON_JAB,WILL_O_WISP,,,
Optional Move 44,SUBSTITUTE,GRASS_KNOT,GIGA_IMPACT,,,
Optional Move 45,,SUBSTITUTE,CAPTIVATE,,,
Optional Move 46,,TRICK_ROOM,SLEEP_TALK,,,
Optional Move 47,,,DREAM_EATER,,,
Optional Move 48,,,SWAGGER,,,
Optional Move 49,,,SUBSTITUTE,,,
