Trainer 913,Pokemon 1,Pokemon 2,Pokemon 3,Pokemon 4,Pokemon 5,Pokemon 6
Species,NINETALES,MAGEARNA,GARDEVOIR,NONE,NONE,NONE
Level,78,78,78,,,
Ability,SNOW_CLOAK,SOUL_HEART,PIXILATE,,,
Held Item,NONE,NONE,NONE,,,
Move 1,ICE_BEAM,FLASH_CANNON,FUTURE_SIGHT,,,
Move 2,DAZZLING_GLEAM,SYNCHRONOISE,DREAM_EATER,,,
Move 3,NASTY_PLOT,SHIFT_GEAR,CALM_MIND,,,
Move 4,EXTRASENSORY,AURORA_BEAM,PSYCHIC,,,
Optional Move 1,INCINERATE,GYRO_BALL,DAZZLING_GLEAM,,,
Optional Move 2,SPITE,HELPING_HAND,MOONBLAST,,,
Optional Move 3,CONFUSE_RAY,CRAFTY_SHIELD,MISTY_TERRAIN,,,
Optional Move 4,WILL_O_WISP,GEAR_UP,HEALING_WISH,,,
Optional Move 5,FLAMETHROWER,IRON_HEAD,CHARM,,,
Optional Move 6,IMPRISON,SONIC_BOOM,GROWL,,,
Optional Move 7,FIRE_SPIN,DEFENSE_CURL,DISARMING_VOICE,,,
Optional Move 8,SAFEGUARD,PSYBEAM,DOUBLE_TEAM,,,
Optional Move 9,INFERNO,LUCKY_CHANT,CONFUSION,,,
Optional Move 10,GRUDGE,ROLLOUT,STORED_POWER,,,
Optional Move 11,FIRE_BLAST,MIRROR_SHOT,TELEPORT,,,
Optional Move 12,EMBER,IRON_DEFENSE,DRAINING_KISS,,,
Optional Move 13,TAIL_WHIP,MIND_READER,MAGICAL_LEAF,,,
Optional Move 14,DISABLE,FLEUR_CANNON,PSYBEAM,,,
Optional Move 15,QUICK_ATTACK,PAIN_SPLIT,WISH,,,
Optional Move 16,CALM_MIND,AURA_SPHERE,LIFE_DEW,,,
Optional Move 17,ROAR,CALM_MIND,HYPNOSIS,,,
Optional Move 18,TOXIC,TOXIC,HEAL_PULSE,,,
Optional Move 19,HIDDEN_POWER,HIDDEN_POWER,IMPRISON,,,
Optional Move 20,SUNNY_DAY,SUNNY_DAY,CAPTIVATE,,,
Optional Move 21,BLIZZARD,ICE_BEAM,TOXIC,,,
Optional Move 22,HYPER_BEAM,HYPER_BEAM,HIDDEN_POWER,,,
Optional Move 23,PROTECT,LIGHT_SCREEN,SUNNY_DAY,,,
Optional Move 24,FRUSTRATION,PROTECT,TAUNT,,,
Optional Move 25,SOLAR_BEAM,FRUSTRATION,HYPER_BEAM,,,
Optional Move 26,IRON_TAIL,SOLAR_BEAM,LIGHT_SCREEN,,,
Optional Move 27,RETURN,THUNDERBOLT,PROTECT,,,
Optional Move 28,DIG,RETURN,RAIN_DANCE,,,
Optional Move 29,SHADOW_BALL,PSYCHIC,SAFEGUARD,,,
Optional Move 30,DOUBLE_TEAM,SHADOW_BALL,FRUSTRATION,,,
Optional Move 31,FACADE,BRICK_BREAK,THUNDERBOLT,,,
Optional Move 32,SECRET_POWER,DOUBLE_TEAM,RETURN,,,
Optional Move 33,REST,REFLECT,SHADOW_BALL,,,
Optional Move 34,ATTRACT,SHOCK_WAVE,REFLECT,,,
Optional Move 35,OVERHEAT,FACADE,SHOCK_WAVE,,,
Optional Move 36,ENERGY_BALL,SECRET_POWER,TORMENT,,,
Optional Move 37,ENDURE,REST,FACADE,,,
Optional Move 38,PAYBACK,SKILL_SWAP,SECRET_POWER,,,
Optional Move 39,GIGA_IMPACT,FOCUS_BLAST,REST,,,
Optional Move 40,PSYCH_UP,ENERGY_BALL,ATTRACT,,,
Optional Move 41,CAPTIVATE,FALSE_SWIPE,THIEF,,,
Optional Move 42,DARK_PULSE,CHARGE_BEAM,SKILL_SWAP,,,
Optional Move 43,SLEEP_TALK,ENDURE,SNATCH,,,
Optional Move 44,NATURAL_GIFT,EMBARGO,FOCUS_BLAST,,,
Optional Move 45,DREAM_EATER,EXPLOSION,ENERGY_BALL,,,
Optional Move 46,SWAGGER,THUNDER_WAVE,FLING,,,
Optional Move 47,SUBSTITUTE,SLEEP_TALK,CHARGE_BEAM,,,
Optional Move 48,,GRASS_KNOT,ENDURE,,,
Optional Move 49,,SWAGGER,WILL_O_WISP,,,
Optional Move 50,,SUBSTITUTE,RECYCLE,,,
Optional Move 51,,TRICK_ROOM,GIGA_IMPACT,,,
Optional Move 52,,,FLASH,,,
Optional Move 53,,,THUNDER_WAVE,,,
Optional Move 54,,,PSYCH_UP,,,
Optional Move 55,,,SLEEP_TALK,,,
Optional Move 56,,,NATURAL_GIFT,,,
Optional Move 57,,,GRASS_KNOT,,,
Optional Move 58,,,SWAGGER,,,
Optional Move 59,,,SUBSTITUTE,,,
Optional Move 60,,,TRICK_ROOM,,,
