Trainer 915,Pokemon 1,Pokemon 2,Pokemon 3,Pokemon 4,Pokemon 5,Pokemon 6
Species,LATIAS,NECROZMA,VICTINI,NONE,NONE,NONE
Level,78,78,78,,,
Ability,LEVITATE,PRISM_ARMOR,VICTORY_STAR,,,
Held Item,NONE,NONE,NONE,,,
Move 1,MIST_BALL,PHOTON_GEYSER,SEARING_SHOT,,,
Move 2,DRAGON_PULSE,POWER_GEM,INFERNO,,,
Move 3,HEAL_PULSE,IRON_DEFENSE,FOCUS_ENERGY,,,
Move 4,DRAGON_BREATH,NIGHT_SLASH,ZEN_HEADBUTT,,,
Optional Move 1,STORED_POWER,MOONLIGHT,V_CREATE,,,
Optional Move 2,CHARM,MORNING_SUN,QUICK_ATTACK,,,
Optional Move 3,HEALING_WISH,CHARGE_BEAM,FLAME_CHARGE,,,
Optional Move 4,HELPING_HAND,GRAVITY,CONFUSION,,,
Optional Move 5,WISH,METAL_CLAW,INCINERATE,,,
Optional Move 6,PSYWAVE,CONFUSION,WORK_UP,,,
Optional Move 7,SAFEGUARD,MIRROR_SHOT,HEADBUTT,,,
Optional Move 8,WATER_SPORT,SLASH,ENDURE,,,
Optional Move 9,REFRESH,STORED_POWER,FLAME_BURST,,,
Optional Move 10,CONFUSION,STEALTH_ROCK,REVERSAL,,,
Optional Move 11,RECOVER,PSYCHO_CUT,STORED_POWER,,,
Optional Move 12,TAILWIND,ROCK_BLAST,DOUBLE_EDGE,,,
Optional Move 13,ZEN_HEADBUTT,AUTOTOMIZE,FLARE_BLITZ,,,
Optional Move 14,REFLECT_TYPE,WRING_OUT,CALM_MIND,,,
Optional Move 15,PSYCHO_SHIFT,CALM_MIND,TOXIC,,,
Optional Move 16,PSYCHIC,TOXIC,HIDDEN_POWER,,,
Optional Move 17,GUARD_SPLIT,HIDDEN_POWER,SUNNY_DAY,,,
Optional Move 18,DRAGON_CLAW,SUNNY_DAY,TAUNT,,,
Optional Move 19,WATER_PULSE,HYPER_BEAM,HYPER_BEAM,,,
Optional Move 20,CALM_MIND,LIGHT_SCREEN,LIGHT_SCREEN,,,
Optional Move 21,ROAR,PROTECT,PROTECT,,,
Optional Move 22,TOXIC,FRUSTRATION,SAFEGUARD,,,
Optional Move 23,HIDDEN_POWER,SOLAR_BEAM,FRUSTRATION,,,
Optional Move 24,SUNNY_DAY,EARTHQUAKE,SOLAR_BEAM,,,
Optional Move 25,ICE_BEAM,RETURN,THUNDERBOLT,,,
Optional Move 26,HYPER_BEAM,PSYCHIC,RETURN,,,
Optional Move 27,LIGHT_SCREEN,BRICK_BREAK,DIG,,,
Optional Move 28,PROTECT,DOUBLE_TEAM,PSYCHIC,,,
Optional Move 29,RAIN_DANCE,REFLECT,SHADOW_BALL,,,
Optional Move 30,FRUSTRATION,SHOCK_WAVE,BRICK_BREAK,,,
Optional Move 31,SOLAR_BEAM,SANDSTORM,DOUBLE_TEAM,,,
Optional Move 32,THUNDERBOLT,ROCK_TOMB,REFLECT,,,
Optional Move 33,THUNDER,AERIAL_ACE,SHOCK_WAVE,,,
Optional Move 34,EARTHQUAKE,FACADE,FLAMETHROWER,,,
Optional Move 35,RETURN,SECRET_POWER,FIRE_BLAST,,,
Optional Move 36,SHADOW_BALL,REST,TORMENT,,,
Optional Move 37,DOUBLE_TEAM,THIEF,FACADE,,,
Optional Move 38,REFLECT,FLING,SECRET_POWER,,,
Optional Move 39,SHOCK_WAVE,ENDURE,REST,,,
Optional Move 40,SANDSTORM,DRAGON_PULSE,SKILL_SWAP,,,
Optional Move 41,AERIAL_ACE,EMBARGO,SNATCH,,,
Optional Move 42,FACADE,SHADOW_CLAW,FOCUS_BLAST,,,
Optional Move 43,SECRET_POWER,RECYCLE,ENERGY_BALL,,,
Optional Move 44,REST,GIGA_IMPACT,FLING,,,
Optional Move 45,ATTRACT,ROCK_POLISH,CHARGE_BEAM,,,
Optional Move 46,STEEL_WING,STONE_EDGE,DRAIN_PUNCH,,,
Optional Move 47,ROOST,GYRO_BALL,WILL_O_WISP,,,
Optional Move 48,ENERGY_BALL,SWORDS_DANCE,EMBARGO,,,
Optional Move 49,CHARGE_BEAM,DARK_PULSE,RECYCLE,,,
Optional Move 50,ENDURE,ROCK_SLIDE,GIGA_IMPACT,,,
Optional Move 51,SHADOW_CLAW,X_SCISSOR,FLASH,,,
Optional Move 52,GIGA_IMPACT,SLEEP_TALK,THUNDER_WAVE,,,
Optional Move 53,FLASH,SWAGGER,PSYCH_UP,,,
Optional Move 54,THUNDER_WAVE,SUBSTITUTE,DARK_PULSE,,,
Optional Move 55,PSYCH_UP,FLASH_CANNON,SLEEP_TALK,,,
Optional Move 56,CAPTIVATE,TRICK_ROOM,GRASS_KNOT,,,
Optional Move 57,SLEEP_TALK,,SWAGGER,,,
Optional Move 58,NATURAL_GIFT,,U_TURN,,,
Optional Move 59,DREAM_EATER,,SUBSTITUTE,,,
Optional Move 60,GRASS_KNOT,,TRICK_ROOM,,,
Optional Move 61,SWAGGER,,,,,
Optional Move 62,SUBSTITUTE,,,,,
