Trainer 948,Pokemon 1,Pokemon 2,Pokemon 3,Pokemon 4,Pokemon 5,Pokemon 6
Species,GASTRODON,HUNTAIL,PALAFIN,TAUROS,GYARADOS,SWAMPERT
Level,36,36,36,36,36,36
Ability,STICKY_HOLD,SWIFT_SWIM,ZERO_TO_HERO,INTIMIDATE,INTIMIDATE,SWIFT_SWIM
Held Item,NONE,NONE,NONE,NONE,NONE,NONE
Move 1,MUDDY_WATER,CRUNCH,ACROBATICS,RAGING_BULL,AQUA_TAIL,EARTHQUAKE
Move 2,BODY_SLAM,ICE_FANG,FOCUS_ENERGY,ZEN_HEADBUTT,THRASH,ROCK_SLIDE
Move 3,MUD_SPORT,SUCKER_PUNCH,FLIP_TURN,HEADBUTT,WATERFALL,SURF
Move 4,MUD_BOMB,DIVE,JET_PUNCH,AQUA_JET,LEER,MUD_BOMB
Optional Move 1,WATER_GUN,WHIRLPOOL,SUPERSONIC,TACKLE,BITE,MUD_SHOT
Optional Move 2,MUD_SLAP,BITE,WATER_GUN,TAIL_WHIP,FLAIL,HAMMER_ARM
Optional Move 3,HARDEN,SCREECH,ASTONISH,WORK_UP,SPLASH,TACKLE
Optional Move 4,RECOVER,SCARY_FACE,AQUA_JET,PAYBACK,TACKLE,GROWL
Optional Move 5,WATER_PULSE,FEINT_ATTACK,DOUBLE_HIT,ASSURANCE,TWISTER,WATER_GUN
Optional Move 6,HIDDEN_POWER,WATER_PULSE,DIVE,HORN_ATTACK,WHIRLPOOL,ROCK_SMASH
Optional Move 7,ANCIENT_POWER,BRINE,CHARM,SCARY_FACE,BRINE,MUD_SLAP
Optional Move 8,RAIN_DANCE,BATON_PASS,ENCORE,TOXIC,ICE_FANG,ROCK_THROW
Optional Move 9,TOXIC,TOXIC,WATER_PULSE,HIDDEN_POWER,SCARY_FACE,FORESIGHT
Optional Move 10,HAIL,HAIL,TOXIC,SUNNY_DAY,CRUNCH,SUPERSONIC
Optional Move 11,ICE_BEAM,HIDDEN_POWER,BULK_UP,ICE_BEAM,DRAGON_RAGE,BIDE
Optional Move 12,BLIZZARD,ICE_BEAM,HIDDEN_POWER,BLIZZARD,WATER_PULSE,WATER_PULSE
Optional Move 13,HYPER_BEAM,BLIZZARD,TAUNT,HYPER_BEAM,ROAR,PROTECT
Optional Move 14,PROTECT,HYPER_BEAM,ICE_BEAM,PROTECT,TOXIC,AMNESIA
Optional Move 15,FRUSTRATION,PROTECT,BLIZZARD,RAIN_DANCE,HAIL,TAKE_DOWN
Optional Move 16,EARTHQUAKE,RAIN_DANCE,HYPER_BEAM,FRUSTRATION,HIDDEN_POWER,FOCUS_PUNCH
Optional Move 17,RETURN,FRUSTRATION,PROTECT,SOLAR_BEAM,TAUNT,ROAR
Optional Move 18,DIG,RETURN,RAIN_DANCE,IRON_TAIL,ICE_BEAM,TOXIC
Optional Move 19,DOUBLE_TEAM,DOUBLE_TEAM,FRUSTRATION,THUNDERBOLT,BLIZZARD,HAIL
Optional Move 20,SLUDGE_BOMB,ROCK_TOMB,RETURN,THUNDER,PROTECT,BULK_UP
Optional Move 21,SANDSTORM,FACADE,DOUBLE_TEAM,EARTHQUAKE,FRUSTRATION,HIDDEN_POWER
Optional Move 22,ROCK_TOMB,SECRET_POWER,FACADE,RETURN,IRON_TAIL,ICE_BEAM
Optional Move 23,FACADE,REST,SECRET_POWER,DIG,THUNDERBOLT,BLIZZARD
Optional Move 24,SECRET_POWER,ATTRACT,REST,SHADOW_BALL,THUNDER,HYPER_BEAM
Optional Move 25,REST,SNATCH,ATTRACT,DOUBLE_TEAM,EARTHQUAKE,RAIN_DANCE
Optional Move 26,ATTRACT,ENDURE,FOCUS_BLAST,SHOCK_WAVE,RETURN,FRUSTRATION
Optional Move 27,BRINE,GIGA_IMPACT,FLING,FLAMETHROWER,DOUBLE_TEAM,IRON_TAIL
Optional Move 28,ENDURE,CAPTIVATE,ENDURE,SANDSTORM,FLAMETHROWER,RETURN
Optional Move 29,GIGA_IMPACT,SLEEP_TALK,DRAIN_PUNCH,FIRE_BLAST,SANDSTORM,DIG
Optional Move 30,FLASH,NATURAL_GIFT,GIGA_IMPACT,ROCK_TOMB,FIRE_BLAST,BRICK_BREAK
Optional Move 31,STONE_EDGE,SWAGGER,PSYCH_UP,FACADE,TORMENT,DOUBLE_TEAM
Optional Move 32,STEALTH_ROCK,SUBSTITUTE,SLEEP_TALK,SECRET_POWER,FACADE,ROCK_TOMB
Optional Move 33,CAPTIVATE,,GRASS_KNOT,ATTRACT,SECRET_POWER,FACADE
Optional Move 34,ROCK_SLIDE,,SUBSTITUTE,THIEF,REST,SECRET_POWER
Optional Move 35,SLEEP_TALK,,,ENDURE,ATTRACT,REST
Optional Move 36,NATURAL_GIFT,,,STONE_EDGE,ENDURE,ATTRACT
