Trainer 952,Pokemon 1,Pokemon 2,Pokemon 3,Pokemon 4,Pokemon 5,Pokemon 6
Species,ROTOM_FAN,GYARADOS,BOMBIRDIER,HAWLUCHA,TOUCANNON,PINSIR
Level,60,60,60,60,60,60
Ability,LEVITATE,INTIMIDATE,BIG_PECKS,LIMBER,KEEN_EYE,AERILATE
Held Item,NONE,NONE,NONE,NONE,NONE,NONE
Move 1,DISCHARGE,HYDRO_PUMP,ROCK_SLIDE,HIGH_JUMP_KICK,BEAK_BLAST,X_SCISSOR
Move 2,UPROAR,THRASH,KNOCK_OFF,FLYING_PRESS,GROWL,THRASH
Move 3,HEX,AQUA_TAIL,WING_ATTACK,SUBMISSION,ROCK_SMASH,SUPERPOWER
Move 4,CHARGE,HURRICANE,HONE_CLAWS,SKY_ATTACK,HYPER_VOICE,FOCUS_ENERGY
Optional Move 1,ASTONISH,BITE,LEER,TACKLE,ROCK_BLAST,VICE_GRIP
Optional Move 2,DOUBLE_TEAM,FLAIL,MEMENTO,HONE_CLAWS,PECK,HARDEN
Optional Move 3,TRICK,SPLASH,PECK,DETECT,ECHOED_VOICE,BIND
Optional Move 4,THUNDER_WAVE,TACKLE,THIEF,KARATE_CHOP,SUPERSONIC,SEISMIC_TOSS
Optional Move 5,THUNDER_SHOCK,LEER,ROCK_THROW,WING_ATTACK,PLUCK,REVENGE
Optional Move 6,CONFUSE_RAY,TWISTER,WHIRLWIND,AERIAL_ACE,ROOST,BUG_BITE
Optional Move 7,SHOCK_WAVE,WHIRLPOOL,PLUCK,ENCORE,FURY_ATTACK,DOUBLE_HIT
Optional Move 8,OMINOUS_WIND,BRINE,TORMENT,ROOST,SCREECH,VITAL_THROW
Optional Move 9,ELECTRO_BALL,ICE_FANG,ROCK_TOMB,FLING,DRILL_PECK,BRICK_BREAK
Optional Move 10,SUBSTITUTE,WATERFALL,PAYBACK,FEATHER_DANCE,BULLET_SEED,STORM_THROW
Optional Move 11,TOXIC,SCARY_FACE,DUAL_WINGBEAT,BOUNCE,FEATHER_DANCE,STRENGTH
Optional Move 12,HIDDEN_POWER,CRUNCH,PARTING_SHOT,TAUNT,TOXIC,SUBMISSION
Optional Move 13,SUNNY_DAY,DRAGON_RAGE,TOXIC,ENDEAVOR,HIDDEN_POWER,SWORDS_DANCE
Optional Move 14,LIGHT_SCREEN,RAIN_DANCE,HIDDEN_POWER,SWORDS_DANCE,SUNNY_DAY,GUILLOTINE
Optional Move 15,PROTECT,DRAGON_DANCE,SUNNY_DAY,SKY_DROP,HYPER_BEAM,FURY_ATTACK
Optional Move 16,RAIN_DANCE,HYPER_BEAM,TAUNT,FOCUS_PUNCH,PROTECT,FLAIL
Optional Move 17,FRUSTRATION,WATER_PULSE,HYPER_BEAM,TOXIC,FRUSTRATION,FALSE_SWIPE
Optional Move 18,THUNDERBOLT,ROAR,PROTECT,BULK_UP,RETURN,FEINT_ATTACK
Optional Move 19,THUNDER,TOXIC,RAIN_DANCE,HIDDEN_POWER,BRICK_BREAK,QUICK_ATTACK
Optional Move 20,RETURN,HAIL,FRUSTRATION,SUNNY_DAY,DOUBLE_TEAM,CLOSE_COMBAT
Optional Move 21,SHADOW_BALL,HIDDEN_POWER,RETURN,HYPER_BEAM,AERIAL_ACE,FEINT
Optional Move 22,REFLECT,TAUNT,DOUBLE_TEAM,PROTECT,FACADE,FOCUS_PUNCH
Optional Move 23,FACADE,ICE_BEAM,SANDSTORM,RAIN_DANCE,SECRET_POWER,TOXIC
Optional Move 24,SECRET_POWER,BLIZZARD,AERIAL_ACE,FRUSTRATION,REST,BULK_UP
Optional Move 25,REST,PROTECT,FACADE,IRON_TAIL,ATTRACT,HIDDEN_POWER
Optional Move 26,THIEF,FRUSTRATION,SECRET_POWER,RETURN,THIEF,SUNNY_DAY
Optional Move 27,SNATCH,IRON_TAIL,REST,DIG,STEEL_WING,HYPER_BEAM
Optional Move 28,CHARGE_BEAM,THUNDERBOLT,ATTRACT,BRICK_BREAK,OVERHEAT,PROTECT
Optional Move 29,ENDURE,THUNDER,ROOST,DOUBLE_TEAM,ENDURE,RAIN_DANCE
Optional Move 30,WILL_O_WISP,EARTHQUAKE,ENDURE,ROCK_TOMB,GIGA_IMPACT,FRUSTRATION
Optional Move 31,FLASH,RETURN,GIGA_IMPACT,TORMENT,SWORDS_DANCE,EARTHQUAKE
Optional Move 32,DARK_PULSE,DOUBLE_TEAM,STONE_EDGE,FACADE,PSYCH_UP,RETURN
Optional Move 33,SLEEP_TALK,FLAMETHROWER,STEALTH_ROCK,SECRET_POWER,SLEEP_TALK,DIG
Optional Move 34,NATURAL_GIFT,SANDSTORM,PSYCH_UP,REST,SWAGGER,DOUBLE_TEAM
Optional Move 35,DREAM_EATER,FIRE_BLAST,DARK_PULSE,ATTRACT,U_TURN,ROCK_TOMB
Optional Move 36,SWAGGER,TORMENT,SLEEP_TALK,THIEF,SUBSTITUTE,FACADE
Optional Move 37,,FACADE,U_TURN,STEEL_WING,FLASH_CANNON,SECRET_POWER
Optional Move 38,,SECRET_POWER,SUBSTITUTE,FOCUS_BLAST,,REST
Optional Move 39,,REST,,FALSE_SWIPE,,ATTRACT
Optional Move 40,,ATTRACT,,ENDURE,,THIEF
Optional Move 41,,ENDURE,,DRAIN_PUNCH,,FOCUS_BLAST
Optional Move 42,,DRAGON_PULSE,,PAYBACK,,FLING
Optional Move 43,,PAYBACK,,GIGA_IMPACT,,ENDURE
Optional Move 44,,GIGA_IMPACT,,STONE_EDGE,,GIGA_IMPACT
Optional Move 45,,STONE_EDGE,,ROCK_SLIDE,,STONE_EDGE
