Trainer 101,Pokemon 1,Pokemon 2,Pokemon 3,Pokemon 4,Pokemon 5,Pokemon 6
Species,SOLOSIS,SHUPPET,NONE,NONE,NONE,NONE
Level,13,13,,,,
Ability,OVERCOAT,INSOMNIA,,,,
Held Item,NONE,NONE,,,,
Move 1,ROLLOUT,KNOCK_OFF,,,,
Move 2,PROTECT,SPITE,,,,
Move 3,PSYBEAM,SHADOW_SNEAK,,,,
Move 4,CONFUSION,SCREECH,,,,
Optional Move 1,PSYWAVE,NIGHT_SHADE,,,,
Optional Move 2,SNATCH,DISABLE,,,,
Optional Move 3,RECOVER,DESTINY_BOND,,,,
Optional Move 4,ACID_ARMOR,FORESIGHT,,,,
Optional Move 5,ASTONISH,ASTONISH,,,,
Optional Move 6,CONFUSE_RAY,IMPRISON,,,,
Optional Move 7,IMPRISON,PURSUIT,,,,
Optional Move 8,NIGHT_SHADE,PAYBACK,,,,
Optional Move 9,SECRET_POWER,CONFUSE_RAY,,,,
Optional Move 10,TRICK,CALM_MIND,,,,
Optional Move 11,CALM_MIND,TOXIC,,,,
Optional Move 12,TOXIC,HIDDEN_POWER,,,,
Optional Move 13,SUNNY_DAY,SUNNY_DAY,,,,
Optional Move 14,RAIN_DANCE,TAUNT,,,,
Optional Move 15,SAFEGUARD,PROTECT,,,,
Optional Move 16,FRUSTRATION,RAIN_DANCE,,,,
Optional Move 17,THUNDER,FRUSTRATION,,,,
Optional Move 18,RETURN,THUNDERBOLT,,,,
Optional Move 19,SHADOW_BALL,THUNDER,,,,
Optional Move 20,DOUBLE_TEAM,RETURN,,,,
Optional Move 21,SHOCK_WAVE,PSYCHIC,,,,
Optional Move 22,ROCK_TOMB,DOUBLE_TEAM,,,,
Optional Move 23,FACADE,SHOCK_WAVE,,,,
Optional Move 24,REST,TORMENT,,,,
Optional Move 25,ATTRACT,FACADE,,,,
Optional Move 26,ENERGY_BALL,SECRET_POWER,,,,
Optional Move 27,ENDURE,REST,,,,
Optional Move 28,EMBARGO,ATTRACT,,,,
Optional Move 29,EXPLOSION,THIEF,,,,
Optional Move 30,FLASH,SKILL_SWAP,,,,
Optional Move 31,THUNDER_WAVE,CHARGE_BEAM,,,,
Optional Move 32,GYRO_BALL,ENDURE,,,,
Optional Move 33,PSYCH_UP,FLASH,,,,
Optional Move 34,ROCK_SLIDE,THUNDER_WAVE,,,,
Optional Move 35,SLEEP_TALK,PSYCH_UP,,,,
Optional Move 36,DREAM_EATER,CAPTIVATE,,,,
Optional Move 37,SWAGGER,DARK_PULSE,,,,
Optional Move 38,SUBSTITUTE,SLEEP_TALK,,,,
Optional Move 39,FLASH_CANNON,NATURAL_GIFT,,,,
Optional Move 40,TRICK_ROOM,DREAM_EATER,,,,
Optional Move 41,,SWAGGER,,,,
Optional Move 42,,SUBSTITUTE,,,,
Optional Move 43,,TRICK_ROOM,,,,
