Trainer 107,Pokemon 1,Pokemon 2,Pokemon 3,Pokemon 4,Pokemon 5,Pokemon 6
Species,JIGGLYPUFF,CLEFAIRY,KIRLIA,TAILLOW,NONE,NONE
Level,13,13,13,13,,
Ability,CUTE_CHARM,CUTE_CHARM,SYNCHRONIZE,GUTS,,
Held Item,NONE,NONE,NONE,NONE,,
Move 1,COVET,CHARM,CONFUSION,FOCUS_ENERGY,,
Move 2,POUND,DISARMING_VOICE,DOUBLE_TEAM,WING_ATTACK,,
Move 3,ECHOED_VOICE,POUND,DISARMING_VOICE,QUICK_ATTACK,,
Move 4,DISARMING_VOICE,COPYCAT,TELEPORT,PECK,,
Optional Move 1,SWEET_KISS,SING,GROWL,GROWL,,
Optional Move 2,DISABLE,SWEET_KISS,TOXIC,PURSUIT,,
Optional Move 3,CHARM,ENCORE,HIDDEN_POWER,SUPERSONIC,,
Optional Move 4,SING,SPLASH,SUNNY_DAY,REFRESH,,
Optional Move 5,COPYCAT,GROWL,TAUNT,MIRROR_MOVE,,
Optional Move 6,DEFENSE_CURL,DEFENSE_CURL,HYPER_BEAM,RAGE,,
Optional Move 7,PLAY_NICE,SPOTLIGHT,LIGHT_SCREEN,SKY_ATTACK,,
Optional Move 8,FOCUS_PUNCH,DOUBLE_SLAP,PROTECT,WHIRLWIND,,
Optional Move 9,WATER_PULSE,FOCUS_PUNCH,RAIN_DANCE,TOXIC,,
Optional Move 10,CALM_MIND,WATER_PULSE,SAFEGUARD,HIDDEN_POWER,,
Optional Move 11,TOXIC,CALM_MIND,FRUSTRATION,SUNNY_DAY,,
Optional Move 12,HIDDEN_POWER,TOXIC,THUNDERBOLT,PROTECT,,
Optional Move 13,SUNNY_DAY,HIDDEN_POWER,RETURN,RAIN_DANCE,,
Optional Move 14,TAUNT,SUNNY_DAY,SHADOW_BALL,FRUSTRATION,,
Optional Move 15,ICE_BEAM,ICE_BEAM,REFLECT,RETURN,,
Optional Move 16,BLIZZARD,BLIZZARD,SHOCK_WAVE,FACADE,,
Optional Move 17,LIGHT_SCREEN,LIGHT_SCREEN,TORMENT,SECRET_POWER,,
Optional Move 18,PROTECT,PROTECT,FACADE,REST,,
Optional Move 19,RAIN_DANCE,RAIN_DANCE,SECRET_POWER,ATTRACT,,
Optional Move 20,SAFEGUARD,SAFEGUARD,REST,THIEF,,
Optional Move 21,FRUSTRATION,FRUSTRATION,ATTRACT,STEEL_WING,,
Optional Move 22,SOLAR_BEAM,SOLAR_BEAM,THIEF,ROOST,,
Optional Move 23,THUNDERBOLT,IRON_TAIL,SKILL_SWAP,ENDURE,,
Optional Move 24,THUNDER,THUNDERBOLT,SNATCH,CAPTIVATE,,
Optional Move 25,RETURN,THUNDER,FLING,SLEEP_TALK,,
Optional Move 26,DIG,RETURN,CHARGE_BEAM,NATURAL_GIFT,,
Optional Move 27,PSYCHIC,DIG,ENDURE,SWAGGER,,
Optional Move 28,SHADOW_BALL,PSYCHIC,WILL_O_WISP,PLUCK,,
Optional Move 29,BRICK_BREAK,SHADOW_BALL,RECYCLE,U_TURN,,
Optional Move 30,DOUBLE_TEAM,BRICK_BREAK,FLASH,SUBSTITUTE,,
Optional Move 31,REFLECT,DOUBLE_TEAM,THUNDER_WAVE,,,
Optional Move 32,SHOCK_WAVE,REFLECT,PSYCH_UP,,,
Optional Move 33,FLAMETHROWER,SHOCK_WAVE,CAPTIVATE,,,
Optional Move 34,SANDSTORM,FLAMETHROWER,SLEEP_TALK,,,
Optional Move 35,FIRE_BLAST,FIRE_BLAST,NATURAL_GIFT,,,
Optional Move 36,FACADE,FACADE,GRASS_KNOT,,,
Optional Move 37,SECRET_POWER,SECRET_POWER,SWAGGER,,,
Optional Move 38,ATTRACT,REST,SUBSTITUTE,,,
Optional Move 39,THIEF,ATTRACT,TRICK_ROOM,,,
Optional Move 40,SKILL_SWAP,THIEF,,,,
Optional Move 41,SNATCH,SKILL_SWAP,,,,
Optional Move 42,ENERGY_BALL,SNATCH,,,,
Optional Move 43,FLING,FLING,,,,
Optional Move 44,ENDURE,CHARGE_BEAM,,,,
Optional Move 45,DRAIN_PUNCH,ENDURE,,,,
Optional Move 46,RECYCLE,DRAIN_PUNCH,,,,
Optional Move 47,FLASH,RECYCLE,,,,
Optional Move 48,THUNDER_WAVE,FLASH,,,,
Optional Move 49,STEALTH_ROCK,THUNDER_WAVE,,,,
Optional Move 50,PSYCH_UP,STEALTH_ROCK,,,,
Optional Move 51,CAPTIVATE,PSYCH_UP,,,,
Optional Move 52,DARK_PULSE,CAPTIVATE,,,,
Optional Move 53,SLEEP_TALK,SLEEP_TALK,,,,
Optional Move 54,NATURAL_GIFT,NATURAL_GIFT,,,,
Optional Move 55,DREAM_EATER,DREAM_EATER,,,,
Optional Move 56,GRASS_KNOT,GRASS_KNOT,,,,
Optional Move 57,SWAGGER,SWAGGER,,,,
Optional Move 58,SUBSTITUTE,SUBSTITUTE,,,,
