Trainer 108,Pokemon 1,Pokemon 2,Pokemon 3,Pokemon 4,Pokemon 5,Pokemon 6
Species,HAPPINY,GRUBBIN,COMBEE,NONE,NONE,NONE
Level,13,13,13,,,
Ability,NATURAL_CURE,SWARM,HONEY_GATHER,,,
Held Item,NONE,NONE,NONE,,,
Move 1,COPYCAT,MUD_SLAP,STRUGGLE_BUG,,,
Move 2,DISARMING_VOICE,STRING_SHOT,BUG_BITE,,,
Move 3,POUND,BUG_BITE,GUST,,,
Move 4,MINIMIZE,BITE,SWEET_SCENT,,,
Optional Move 1,CHARM,VICE_GRIP,SLEEP_TALK,,,
Optional Move 2,DEFENSE_CURL,TOXIC,,,,
Optional Move 3,SWEET_KISS,HIDDEN_POWER,,,,
Optional Move 4,REFRESH,LIGHT_SCREEN,,,,
Optional Move 5,PRESENT,PROTECT,,,,
Optional Move 6,METRONOME,RAIN_DANCE,,,,
Optional Move 7,HEAL_BELL,FRUSTRATION,,,,
Optional Move 8,AROMATHERAPY,THUNDERBOLT,,,,
Optional Move 9,SUBSTITUTE,RETURN,,,,
Optional Move 10,COUNTER,DOUBLE_TEAM,,,,
Optional Move 11,HELPING_HAND,SHOCK_WAVE,,,,
Optional Move 12,GRAVITY,FACADE,,,,
Optional Move 13,LAST_RESORT,SECRET_POWER,,,,
Optional Move 14,MUD_BOMB,REST,,,,
Optional Move 15,TOXIC,ATTRACT,,,,
Optional Move 16,HAIL,CHARGE_BEAM,,,,
Optional Move 17,HIDDEN_POWER,ENDURE,,,,
Optional Move 18,SUNNY_DAY,THUNDER_WAVE,,,,
Optional Move 19,LIGHT_SCREEN,SLEEP_TALK,,,,
Optional Move 20,PROTECT,POISON_JAB,,,,
Optional Move 21,RAIN_DANCE,SWAGGER,,,,
Optional Move 22,SAFEGUARD,SUBSTITUTE,,,,
Optional Move 23,FRUSTRATION,,,,,
Optional Move 24,SOLAR_BEAM,,,,,
Optional Move 25,RETURN,,,,,
Optional Move 26,PSYCHIC,,,,,
Optional Move 27,SHADOW_BALL,,,,,
Optional Move 28,DOUBLE_TEAM,,,,,
Optional Move 29,SHOCK_WAVE,,,,,
Optional Move 30,FACADE,,,,,
Optional Move 31,SECRET_POWER,,,,,
Optional Move 32,REST,,,,,
Optional Move 33,ATTRACT,,,,,
Optional Move 34,FLING,,,,,
Optional Move 35,ENDURE,,,,,
Optional Move 36,RECYCLE,,,,,
Optional Move 37,FLASH,,,,,
Optional Move 38,THUNDER_WAVE,,,,,
Optional Move 39,CAPTIVATE,,,,,
Optional Move 40,SLEEP_TALK,,,,,
Optional Move 41,NATURAL_GIFT,,,,,
Optional Move 42,DREAM_EATER,,,,,
Optional Move 43,GRASS_KNOT,,,,,
Optional Move 44,SWAGGER,,,,,
