Trainer 110,Pokemon 1,Pokemon 2,Pokemon 3,Pokemon 4,Pokemon 5,Pokemon 6
Species,JIGGLYPUFF,MUNNA,SANDILE,NONE,NONE,NONE
Level,13,13,13,,,
Ability,CUTE_CHARM,FOREWARN,INTIMIDATE,,,
Held Item,NONE,NONE,NONE,,,
Move 1,COVET,IMPRISON,HONE_CLAWS,,,
Move 2,POUND,PSYBEAM,BITE,,,
Move 3,ECHOED_VOICE,DEFENSE_CURL,SAND_TOMB,,,
Move 4,COPYCAT,LUCKY_CHANT,SAND_ATTACK,,,
Optional Move 1,SWEET_KISS,STORED_POWER,POWER_TRIP,,,
Optional Move 2,DISARMING_VOICE,PSYWAVE,LEER,,,
Optional Move 3,DISABLE,HYPNOSIS,RAGE,,,
Optional Move 4,CHARM,BARRIER,BEAT_UP,,,
Optional Move 5,SING,BATON_PASS,COUNTER,,,
Optional Move 6,DEFENSE_CURL,CURSE,DOUBLE_EDGE,,,
Optional Move 7,PLAY_NICE,HELPING_HAND,FIRE_FANG,,,
Optional Move 8,FOCUS_PUNCH,SECRET_POWER,FOCUS_ENERGY,,,
Optional Move 9,WATER_PULSE,SLEEP_TALK,MEAN_LOOK,,,
Optional Move 10,CALM_MIND,SONIC_BOOM,PURSUIT,,,
Optional Move 11,TOXIC,SWIFT,ROCK_CLIMB,,,
Optional Move 12,HIDDEN_POWER,TOXIC,THUNDER_FANG,,,
Optional Move 13,SUNNY_DAY,HIDDEN_POWER,UPROAR,,,
Optional Move 14,TAUNT,LIGHT_SCREEN,ROAR,,,
Optional Move 15,ICE_BEAM,PROTECT,TOXIC,,,
Optional Move 16,BLIZZARD,RAIN_DANCE,HIDDEN_POWER,,,
Optional Move 17,LIGHT_SCREEN,SAFEGUARD,TAUNT,,,
Optional Move 18,PROTECT,FRUSTRATION,PROTECT,,,
Optional Move 19,RAIN_DANCE,RETURN,FRUSTRATION,,,
Optional Move 20,SAFEGUARD,SHADOW_BALL,IRON_TAIL,,,
Optional Move 21,FRUSTRATION,DOUBLE_TEAM,RETURN,,,
Optional Move 22,SOLAR_BEAM,REFLECT,BRICK_BREAK,,,
Optional Move 23,THUNDERBOLT,SHOCK_WAVE,DOUBLE_TEAM,,,
Optional Move 24,THUNDER,ROCK_TOMB,SLUDGE_BOMB,,,
Optional Move 25,RETURN,TORMENT,FACADE,,,
Optional Move 26,DIG,FACADE,SECRET_POWER,,,
Optional Move 27,PSYCHIC,REST,REST,,,
Optional Move 28,SHADOW_BALL,ATTRACT,ATTRACT,,,
Optional Move 29,BRICK_BREAK,SKILL_SWAP,THIEF,,,
Optional Move 30,DOUBLE_TEAM,ENERGY_BALL,SNATCH,,,
Optional Move 31,REFLECT,CHARGE_BEAM,FLING,,,
Optional Move 32,SHOCK_WAVE,ENDURE,ENDURE,,,
Optional Move 33,FLAMETHROWER,FLASH,SHADOW_CLAW,,,
Optional Move 34,SANDSTORM,THUNDER_WAVE,PAYBACK,,,
Optional Move 35,FIRE_BLAST,GYRO_BALL,STONE_EDGE,,,
Optional Move 36,FACADE,PSYCH_UP,STEALTH_ROCK,,,
Optional Move 37,SECRET_POWER,ROCK_SLIDE,DARK_PULSE,,,
Optional Move 38,ATTRACT,SWAGGER,ROCK_SLIDE,,,
Optional Move 39,THIEF,SUBSTITUTE,SLEEP_TALK,,,
Optional Move 40,SKILL_SWAP,TRICK_ROOM,GRASS_KNOT,,,
Optional Move 41,SNATCH,,SUBSTITUTE,,,
Optional Move 42,ENERGY_BALL,,,,,
Optional Move 43,FLING,,,,,
Optional Move 44,ENDURE,,,,,
Optional Move 45,DRAIN_PUNCH,,,,,
Optional Move 46,RECYCLE,,,,,
Optional Move 47,FLASH,,,,,
Optional Move 48,THUNDER_WAVE,,,,,
Optional Move 49,STEALTH_ROCK,,,,,
Optional Move 50,PSYCH_UP,,,,,
Optional Move 51,CAPTIVATE,,,,,
Optional Move 52,DARK_PULSE,,,,,
Optional Move 53,SLEEP_TALK,,,,,
Optional Move 54,NATURAL_GIFT,,,,,
Optional Move 55,DREAM_EATER,,,,,
Optional Move 56,GRASS_KNOT,,,,,
Optional Move 57,SWAGGER,,,,,
Optional Move 58,SUBSTITUTE,,,,,
