Trainer 125,Pokemon 1,Pokemon 2,Pokemon 3,Pokemon 4,Pokemon 5,Pokemon 6
Species,BERGMITE,COMBEE,TYNAMO,WOOPER,NONE,NONE
Level,14,14,14,14,,
Ability,OWN_TEMPO,HONEY_GATHER,LEVITATE,DAMP,,
Held Item,NONE,NONE,NONE,NONE,,
Move 1,RAPID_SPIN,STRUGGLE_BUG,THUNDER_WAVE,TOXIC_SPIKES,,
Move 2,BITE,BUG_BITE,SPARK,POISON_TAIL,,
Move 3,ICY_WIND,GUST,CHARGE_BEAM,MUD_SHOT,,
Move 4,TACKLE,SWEET_SCENT,TACKLE,TACKLE,,
Optional Move 1,HARDEN,SLEEP_TALK,TOXIC,WATER_GUN,,
Optional Move 2,POWDER_SNOW,,HIDDEN_POWER,TAIL_WHIP,,
Optional Move 3,TOXIC,,PROTECT,MUD_SPORT,,
Optional Move 4,HAIL,,FRUSTRATION,BODY_SLAM,,
Optional Move 5,HIDDEN_POWER,,RETURN,ANCIENT_POWER,,
Optional Move 6,ICE_BEAM,,DOUBLE_TEAM,SAFEGUARD,,
Optional Move 7,RAIN_DANCE,,SECRET_POWER,CURSE,,
Optional Move 8,SAFEGUARD,,REST,STOCKPILE,,
Optional Move 9,FRUSTRATION,,ATTRACT,SWALLOW,,
Optional Move 10,RETURN,,ENDURE,SPIT_UP,,
Optional Move 11,DOUBLE_TEAM,,SLEEP_TALK,COUNTER,,
Optional Move 12,ROCK_TOMB,,SWAGGER,ENCORE,,
Optional Move 13,FACADE,,SUBSTITUTE,DOUBLE_KICK,,
Optional Move 14,SECRET_POWER,,,RECOVER,,
Optional Move 15,REST,,,WATER_PULSE,,
Optional Move 16,ATTRACT,,,HAIL,,
Optional Move 17,ENDURE,,,HIDDEN_POWER,,
Optional Move 18,ROCK_POLISH,,,ICE_BEAM,,
Optional Move 19,FLASH,,,BLIZZARD,,
Optional Move 20,STONE_EDGE,,,PROTECT,,
Optional Move 21,GYRO_BALL,,,FRUSTRATION,,
Optional Move 22,ROCK_SLIDE,,,IRON_TAIL,,
Optional Move 23,SLEEP_TALK,,,RETURN,,
Optional Move 24,SWAGGER,,,DIG,,
Optional Move 25,SUBSTITUTE,,,DOUBLE_TEAM,,
Optional Move 26,FLASH_CANNON,,,SLUDGE_BOMB,,
Optional Move 27,,,,SANDSTORM,,
Optional Move 28,,,,ROCK_TOMB,,
Optional Move 29,,,,FACADE,,
Optional Move 30,,,,SECRET_POWER,,
Optional Move 31,,,,REST,,
Optional Move 32,,,,ATTRACT,,
Optional Move 33,,,,ENDURE,,
Optional Move 34,,,,FLASH,,
Optional Move 35,,,,STONE_EDGE,,
Optional Move 36,,,,AVALANCHE,,
Optional Move 37,,,,STEALTH_ROCK,,
Optional Move 38,,,,CAPTIVATE,,
Optional Move 39,,,,ROCK_SLIDE,,
Optional Move 40,,,,SLEEP_TALK,,
Optional Move 41,,,,NATURAL_GIFT,,
Optional Move 42,,,,SWAGGER,,
Optional Move 43,,,,SUBSTITUTE,,
