Trainer 129,Pokemon 1,Pokemon 2,Pokemon 3,Pokemon 4,Pokemon 5,Pokemon 6
Species,MAKUHITA,MANKEY,MIENFOO,NONE,NONE,NONE
Level,14,14,14,,,
Ability,THICK_FAT,VITAL_SPIRIT,INNER_FOCUS,,,
Held Item,NONE,NONE,NONE,,,
Move 1,FOCUS_ENERGY,PURSUIT,DETECT,,,
Move 2,FORCE_PALM,COVET,POUND,,,
Move 3,TACKLE,KARATE_CHOP,FAKE_OUT,,,
Move 4,FAKE_OUT,SCRATCH,MEDITATE,,,
Optional Move 1,SAND_ATTACK,LOW_KICK,BATON_PASS,,,
Optional Move 2,ARM_THRUST,LEER,ENDURE,,,
Optional Move 3,FEINT_ATTACK,FOCUS_ENERGY,FEINT,,,
Optional Move 4,DETECT,FURY_SWIPES,KNOCK_OFF,,,
Optional Move 5,FORESIGHT,ROCK_SLIDE,LOW_KICK,,,
Optional Move 6,HELPING_HAND,FORESIGHT,ME_FIRST,,,
Optional Move 7,CROSS_CHOP,MEDITATE,SMELLING_SALTS,,,
Optional Move 8,REVENGE,COUNTER,VITAL_THROW,,,
Optional Move 9,DYNAMIC_PUNCH,REVERSAL,FOCUS_PUNCH,,,
Optional Move 10,COUNTER,BEAT_UP,TOXIC,,,
Optional Move 11,BULLET_PUNCH,REVENGE,BULK_UP,,,
Optional Move 12,FEINT,SMELLING_SALTS,HIDDEN_POWER,,,
Optional Move 13,FOCUS_PUNCH,ENCORE,SUNNY_DAY,,,
Optional Move 14,TOXIC,FOCUS_PUNCH,TAUNT,,,
Optional Move 15,BULK_UP,TOXIC,PROTECT,,,
Optional Move 16,HIDDEN_POWER,BULK_UP,RAIN_DANCE,,,
Optional Move 17,SUNNY_DAY,HIDDEN_POWER,FRUSTRATION,,,
Optional Move 18,TAUNT,SUNNY_DAY,RETURN,,,
Optional Move 19,PROTECT,TAUNT,DIG,,,
Optional Move 20,RAIN_DANCE,PROTECT,BRICK_BREAK,,,
Optional Move 21,FRUSTRATION,RAIN_DANCE,DOUBLE_TEAM,,,
Optional Move 22,EARTHQUAKE,FRUSTRATION,ROCK_TOMB,,,
Optional Move 23,RETURN,IRON_TAIL,AERIAL_ACE,,,
Optional Move 24,DIG,THUNDERBOLT,FACADE,,,
Optional Move 25,BRICK_BREAK,EARTHQUAKE,SECRET_POWER,,,
Optional Move 26,DOUBLE_TEAM,RETURN,REST,,,
Optional Move 27,ROCK_TOMB,DIG,ATTRACT,,,
Optional Move 28,FACADE,BRICK_BREAK,FOCUS_BLAST,,,
Optional Move 29,SECRET_POWER,DOUBLE_TEAM,FLING,,,
Optional Move 30,REST,ROCK_TOMB,PAYBACK,,,
Optional Move 31,ATTRACT,FACADE,STONE_EDGE,,,
Optional Move 32,THIEF,SECRET_POWER,SWORDS_DANCE,,,
Optional Move 33,FOCUS_BLAST,REST,PSYCH_UP,,,
Optional Move 34,FLING,ATTRACT,SLEEP_TALK,,,
Optional Move 35,STONE_EDGE,THIEF,POISON_JAB,,,
Optional Move 36,CAPTIVATE,OVERHEAT,GRASS_KNOT,,,
Optional Move 37,ROCK_SLIDE,FOCUS_BLAST,SWAGGER,,,
Optional Move 38,SLEEP_TALK,FLING,SUBSTITUTE,,,
Optional Move 39,NATURAL_GIFT,ENDURE,,,,
Optional Move 40,POISON_JAB,DRAIN_PUNCH,,,,
Optional Move 41,SWAGGER,SHADOW_CLAW,,,,
Optional Move 42,SUBSTITUTE,PAYBACK,,,,
Optional Move 43,,STONE_EDGE,,,,
Optional Move 44,,CAPTIVATE,,,,
Optional Move 45,,SLEEP_TALK,,,,
Optional Move 46,,NATURAL_GIFT,,,,
Optional Move 47,,POISON_JAB,,,,
Optional Move 48,,U_TURN,,,,
Optional Move 49,,SUBSTITUTE,,,,
