Trainer 132,Pokemon 1,Pokemon 2,Pokemon 3,Pokemon 4,Pokemon 5,Pokemon 6
Species,CRABRAWLER,RIOLU,GURDURR,MACHOKE,HERACROSS,NONE
Level,16,16,16,16,16,
Ability,HYPER_CUTTER,STEADFAST,GUTS,GUTS,SKILL_LINK,
Held Item,NONE,NONE,NONE,NONE,NONE,
Move 1,PURSUIT,METAL_CLAW,ROCK_THROW,LOW_SWEEP,NIGHT_SLASH,
Move 2,LEER,WORK_UP,FOCUS_ENERGY,REVENGE,CHIP_AWAY,
Move 3,ROCK_SMASH,QUICK_ATTACK,POUND,KARATE_CHOP,HORN_ATTACK,
Move 4,BUBBLE,COUNTER,LOW_KICK,FOCUS_ENERGY,ARM_THRUST,
Optional Move 1,FOCUS_PUNCH,ENDURE,LEER,LOW_KICK,TACKLE,
Optional Move 2,TOXIC,FORESIGHT,BIDE,LEER,LEER,
Optional Move 3,BULK_UP,FEINT,TOXIC,FORESIGHT,BULLET_SEED,
Optional Move 4,HIDDEN_POWER,CROSS_CHOP,HIDDEN_POWER,FOCUS_PUNCH,ENDURE,
Optional Move 5,SUNNY_DAY,DETECT,SUNNY_DAY,TOXIC,FEINT,
Optional Move 6,PROTECT,BITE,TAUNT,HIDDEN_POWER,AERIAL_ACE,
Optional Move 7,RAIN_DANCE,MIND_READER,PROTECT,SUNNY_DAY,FURY_ATTACK,
Optional Move 8,FRUSTRATION,SKY_UPPERCUT,RAIN_DANCE,LIGHT_SCREEN,HARDEN,
Optional Move 9,EARTHQUAKE,HIGH_JUMP_KICK,FRUSTRATION,PROTECT,BIDE,
Optional Move 10,RETURN,AGILITY,RETURN,RAIN_DANCE,FLAIL,
Optional Move 11,DIG,VACUUM_WAVE,DIG,FRUSTRATION,FALSE_SWIPE,
Optional Move 12,BRICK_BREAK,CRUNCH,BRICK_BREAK,EARTHQUAKE,REVENGE,
Optional Move 13,DOUBLE_TEAM,LOW_KICK,DOUBLE_TEAM,RETURN,PURSUIT,
Optional Move 14,ROCK_TOMB,IRON_DEFENSE,ROCK_TOMB,DIG,DOUBLE_EDGE,
Optional Move 15,FACADE,BLAZE_KICK,FACADE,BRICK_BREAK,FOCUS_PUNCH,
Optional Move 16,SECRET_POWER,BULLET_PUNCH,SECRET_POWER,DOUBLE_TEAM,TOXIC,
Optional Move 17,REST,FOLLOW_ME,REST,FLAMETHROWER,BULK_UP,
Optional Move 18,ATTRACT,FOCUS_PUNCH,ATTRACT,FIRE_BLAST,HIDDEN_POWER,
Optional Move 19,THIEF,TOXIC,THIEF,ROCK_TOMB,SUNNY_DAY,
Optional Move 20,FOCUS_BLAST,BULK_UP,FOCUS_BLAST,FACADE,HYPER_BEAM,
Optional Move 21,FLING,HIDDEN_POWER,FLING,SECRET_POWER,PROTECT,
Optional Move 22,ENDURE,SUNNY_DAY,ENDURE,REST,RAIN_DANCE,
Optional Move 23,DRAIN_PUNCH,PROTECT,DRAIN_PUNCH,ATTRACT,FRUSTRATION,
Optional Move 24,STONE_EDGE,RAIN_DANCE,PAYBACK,THIEF,EARTHQUAKE,
Optional Move 25,ROCK_SLIDE,FRUSTRATION,SLEEP_TALK,FOCUS_BLAST,RETURN,
Optional Move 26,SLEEP_TALK,IRON_TAIL,POISON_JAB,FLING,DIG,
Optional Move 27,SWAGGER,EARTHQUAKE,GRASS_KNOT,ENDURE,DOUBLE_TEAM,
Optional Move 28,SUBSTITUTE,RETURN,SWAGGER,PAYBACK,ROCK_TOMB,
Optional Move 29,,DIG,SUBSTITUTE,CAPTIVATE,FACADE,
Optional Move 30,,BRICK_BREAK,,ROCK_SLIDE,SECRET_POWER,
Optional Move 31,,DOUBLE_TEAM,,SLEEP_TALK,REST,
Optional Move 32,,ROCK_TOMB,,NATURAL_GIFT,ATTRACT,
Optional Move 33,,AERIAL_ACE,,POISON_JAB,THIEF,
Optional Move 34,,FACADE,,SWAGGER,FOCUS_BLAST,
Optional Move 35,,SECRET_POWER,,SUBSTITUTE,FLING,
Optional Move 36,,REST,,,SHADOW_CLAW,
Optional Move 37,,ATTRACT,,,GIGA_IMPACT,
Optional Move 38,,FOCUS_BLAST,,,STONE_EDGE,
Optional Move 39,,FLING,,,CAPTIVATE,
Optional Move 40,,DRAIN_PUNCH,,,ROCK_SLIDE,
Optional Move 41,,SHADOW_CLAW,,,SLEEP_TALK,
Optional Move 42,,PAYBACK,,,NATURAL_GIFT,
Optional Move 43,,PSYCH_UP,,,SWAGGER,
Optional Move 44,,CAPTIVATE,,,SUBSTITUTE,
Optional Move 45,,ROCK_SLIDE,,,,
Optional Move 46,,SLEEP_TALK,,,,
Optional Move 47,,NATURAL_GIFT,,,,
Optional Move 48,,POISON_JAB,,,,
Optional Move 49,,SWAGGER,,,,
Optional Move 50,,SUBSTITUTE,,,,
