Trainer 137,Pokemon 1,Pokemon 2,Pokemon 3,Pokemon 4,Pokemon 5,Pokemon 6
Species,SEEL,WOOPER,GEODUDE,BRONZOR,NONE,NONE
Level,14,14,14,14,,
Ability,THICK_FAT,DAMP,ROCK_HEAD,LEVITATE,,
Held Item,NONE,NONE,NONE,NONE,,
Move 1,ICY_WIND,TOXIC_SPIKES,ROCK_POLISH,IMPRISON,,
Move 2,WATER_SPORT,POISON_TAIL,TACKLE,CONFUSION,,
Move 3,HEADBUTT,MUD_SHOT,MUD_SPORT,TACKLE,,
Move 4,GROWL,TACKLE,MAGNITUDE,CONFUSE_RAY,,
Optional Move 1,ENCORE,WATER_GUN,DEFENSE_CURL,HYPNOSIS,,
Optional Move 2,LICK,TAIL_WHIP,ROLLOUT,CALM_MIND,,
Optional Move 3,PERISH_SONG,MUD_SPORT,MEGA_PUNCH,TOXIC,,
Optional Move 4,DISABLE,BODY_SLAM,ROCK_SLIDE,HIDDEN_POWER,,
Optional Move 5,HORN_DRILL,ANCIENT_POWER,BLOCK,SUNNY_DAY,,
Optional Move 6,SLAM,SAFEGUARD,HAMMER_ARM,LIGHT_SCREEN,,
Optional Move 7,FAKE_OUT,CURSE,FLAIL,PROTECT,,
Optional Move 8,ICICLE_SPEAR,STOCKPILE,CURSE,RAIN_DANCE,,
Optional Move 9,SIGNAL_BEAM,SWALLOW,FOCUS_PUNCH,FRUSTRATION,,
Optional Move 10,STOCKPILE,SPIT_UP,TOXIC,SOLAR_BEAM,,
Optional Move 11,SWALLOW,COUNTER,HIDDEN_POWER,EARTHQUAKE,,
Optional Move 12,SPIT_UP,ENCORE,SUNNY_DAY,RETURN,,
Optional Move 13,WATER_PULSE,DOUBLE_KICK,PROTECT,PSYCHIC,,
Optional Move 14,TOXIC,RECOVER,FRUSTRATION,SHADOW_BALL,,
Optional Move 15,HIDDEN_POWER,WATER_PULSE,RETURN,DOUBLE_TEAM,,
Optional Move 16,BLIZZARD,HAIL,DIG,REFLECT,,
Optional Move 17,PROTECT,HIDDEN_POWER,BRICK_BREAK,SANDSTORM,,
Optional Move 18,RAIN_DANCE,ICE_BEAM,DOUBLE_TEAM,ROCK_TOMB,,
Optional Move 19,FRUSTRATION,BLIZZARD,FLAMETHROWER,FACADE,,
Optional Move 20,IRON_TAIL,PROTECT,SANDSTORM,SECRET_POWER,,
Optional Move 21,RETURN,FRUSTRATION,FIRE_BLAST,REST,,
Optional Move 22,DOUBLE_TEAM,IRON_TAIL,ROCK_TOMB,SKILL_SWAP,,
Optional Move 23,FACADE,RETURN,FACADE,CHARGE_BEAM,,
Optional Move 24,SECRET_POWER,DIG,SECRET_POWER,ENDURE,,
Optional Move 25,ATTRACT,DOUBLE_TEAM,REST,RECYCLE,,
Optional Move 26,THIEF,SLUDGE_BOMB,ATTRACT,ROCK_POLISH,,
Optional Move 27,FLING,SANDSTORM,FLING,FLASH,,
Optional Move 28,ENDURE,ROCK_TOMB,ENDURE,STEALTH_ROCK,,
Optional Move 29,AVALANCHE,FACADE,GYRO_BALL,PSYCH_UP,,
Optional Move 30,CAPTIVATE,SECRET_POWER,CAPTIVATE,ROCK_SLIDE,,
Optional Move 31,SLEEP_TALK,REST,SLEEP_TALK,SLEEP_TALK,,
Optional Move 32,NATURAL_GIFT,ATTRACT,NATURAL_GIFT,NATURAL_GIFT,,
Optional Move 33,SWAGGER,ENDURE,SWAGGER,DREAM_EATER,,
Optional Move 34,SUBSTITUTE,FLASH,SUBSTITUTE,GRASS_KNOT,,
Optional Move 35,,STONE_EDGE,,SWAGGER,,
Optional Move 36,,AVALANCHE,,SUBSTITUTE,,
Optional Move 37,,STEALTH_ROCK,,FLASH_CANNON,,
Optional Move 38,,CAPTIVATE,,TRICK_ROOM,,
Optional Move 39,,ROCK_SLIDE,,,,
Optional Move 40,,SLEEP_TALK,,,,
Optional Move 41,,NATURAL_GIFT,,,,
Optional Move 42,,SWAGGER,,,,
Optional Move 43,,SUBSTITUTE,,,,
