Trainer 15,Pokemon 1,Pokemon 2,Pokemon 3,Pokemon 4,Pokemon 5,Pokemon 6
Species,AZURILL,MAREEP,CHIKORITA,NONE,NONE,NONE
Level,8,8,8,,,
Ability,THICK_FAT,STATIC,OVERGROW,,,
Held Item,NONE,NONE,NONE,,,
Move 1,WATER_SPORT,THUNDER_WAVE,GROWL,,,
Move 2,WATER_GUN,THUNDER_SHOCK,RAZOR_LEAF,,,
Move 3,SPLASH,TACKLE,TACKLE,,,
Move 4,TAIL_WHIP,GROWL,RAZOR_LEAF,,,
Optional Move 1,BUBBLE,BODY_SLAM,VINE_WHIP,,,
Optional Move 2,ENCORE,SAFEGUARD,COUNTER,,,
Optional Move 3,SING,SCREECH,ANCIENT_POWER,,,
Optional Move 4,REFRESH,REFLECT,FLAIL,,,
Optional Move 5,TICKLE,ODOR_SLEUTH,NATURE_POWER,,,
Optional Move 6,FAKE_TEARS,FLATTER,INGRAIN,,,
Optional Move 7,BODY_SLAM,SAND_ATTACK,GRASS_WHISTLE,,,
Optional Move 8,TOXIC,TOXIC,LEAF_STORM,,,
Optional Move 9,HAIL,HIDDEN_POWER,WRING_OUT,,,
Optional Move 10,HIDDEN_POWER,SUNNY_DAY,TOXIC,,,
Optional Move 11,ICE_BEAM,PROTECT,BULLET_SEED,,,
Optional Move 12,BLIZZARD,RAIN_DANCE,HIDDEN_POWER,,,
Optional Move 13,LIGHT_SCREEN,FRUSTRATION,SUNNY_DAY,,,
Optional Move 14,PROTECT,IRON_TAIL,PROTECT,,,
Optional Move 15,RAIN_DANCE,THUNDERBOLT,FRUSTRATION,,,
Optional Move 16,FRUSTRATION,RETURN,IRON_TAIL,,,
Optional Move 17,IRON_TAIL,DIG,RETURN,,,
Optional Move 18,RETURN,DOUBLE_TEAM,DOUBLE_TEAM,,,
Optional Move 19,DOUBLE_TEAM,SHOCK_WAVE,FACADE,,,
Optional Move 20,FACADE,FACADE,SECRET_POWER,,,
Optional Move 21,SECRET_POWER,SECRET_POWER,REST,,,
Optional Move 22,REST,REST,ATTRACT,,,
Optional Move 23,ATTRACT,ATTRACT,ENERGY_BALL,,,
Optional Move 24,ENDURE,CHARGE_BEAM,ENDURE,,,
Optional Move 25,CAPTIVATE,ENDURE,FLASH,,,
Optional Move 26,SLEEP_TALK,FLASH,SWORDS_DANCE,,,
Optional Move 27,NATURAL_GIFT,CAPTIVATE,CAPTIVATE,,,
Optional Move 28,SWAGGER,SLEEP_TALK,SLEEP_TALK,,,
Optional Move 29,SUBSTITUTE,NATURAL_GIFT,NATURAL_GIFT,,,
Optional Move 30,,SWAGGER,GRASS_KNOT,,,
Optional Move 31,,SUBSTITUTE,SWAGGER,,,
Optional Move 32,,,SUBSTITUTE,,,
