Trainer 152,Pokemon 1,Pokemon 2,Pokemon 3,Pokemon 4,Pokemon 5,Pokemon 6
Species,SOLOSIS,TYNAMO,SWIRLIX,GOSSIFLEUR,ROSELIA,NONE
Level,15,15,15,15,15,
Ability,OVERCOAT,LEVITATE,SWEET_VEIL,COTTON_DOWN,NATURAL_CURE,
Held Item,NONE,NONE,NONE,NONE,NONE,
Move 1,ROLLOUT,THUNDER_WAVE,FAIRY_WIND,RAPID_SPIN,MEGA_DRAIN,
Move 2,REFLECT,SPARK,ROUND,RAZOR_LEAF,ABSORB,
Move 3,PSYBEAM,CHARGE_BEAM,TACKLE,LEAFAGE,LEECH_SEED,
Move 4,HIDDEN_POWER,TACKLE,SWEET_SCENT,SWEET_SCENT,POISON_STING,
Optional Move 1,PROTECT,TOXIC,PLAY_NICE,SING,GROWTH,
Optional Move 2,CONFUSION,HIDDEN_POWER,FAKE_TEARS,TOXIC,STUN_SPORE,
Optional Move 3,PSYWAVE,PROTECT,CALM_MIND,BULLET_SEED,WORRY_SEED,
Optional Move 4,SNATCH,FRUSTRATION,TOXIC,HIDDEN_POWER,SPIKES,
Optional Move 5,RECOVER,RETURN,HIDDEN_POWER,SUNNY_DAY,PIN_MISSILE,
Optional Move 6,ACID_ARMOR,DOUBLE_TEAM,SUNNY_DAY,PROTECT,COTTON_SPORE,
Optional Move 7,ASTONISH,SECRET_POWER,PROTECT,GIGA_DRAIN,SLEEP_POWDER,
Optional Move 8,CONFUSE_RAY,REST,RAIN_DANCE,FRUSTRATION,RAZOR_LEAF,
Optional Move 9,IMPRISON,ATTRACT,FRUSTRATION,SOLAR_BEAM,MIND_READER,
Optional Move 10,NIGHT_SHADE,ENDURE,THUNDERBOLT,RETURN,LEAF_STORM,
Optional Move 11,SECRET_POWER,SLEEP_TALK,RETURN,DOUBLE_TEAM,BULLET_SEED,
Optional Move 12,TRICK,SWAGGER,PSYCHIC,FACADE,HIDDEN_POWER,
Optional Move 13,CALM_MIND,SUBSTITUTE,DOUBLE_TEAM,SECRET_POWER,SUNNY_DAY,
Optional Move 14,TOXIC,,FLAMETHROWER,REST,PROTECT,
Optional Move 15,SUNNY_DAY,,FIRE_BLAST,ATTRACT,RAIN_DANCE,
Optional Move 16,RAIN_DANCE,,FACADE,ENERGY_BALL,FRUSTRATION,
Optional Move 17,SAFEGUARD,,SECRET_POWER,ENDURE,SOLAR_BEAM,
Optional Move 18,FRUSTRATION,,REST,SLEEP_TALK,RETURN,
Optional Move 19,THUNDER,,ATTRACT,GRASS_KNOT,SHADOW_BALL,
Optional Move 20,RETURN,,THIEF,SUBSTITUTE,DOUBLE_TEAM,
Optional Move 21,SHADOW_BALL,,ENDURE,,SLUDGE_BOMB,
Optional Move 22,DOUBLE_TEAM,,FLASH,,FACADE,
Optional Move 23,SHOCK_WAVE,,PSYCH_UP,,SECRET_POWER,
Optional Move 24,ROCK_TOMB,,SLEEP_TALK,,REST,
Optional Move 25,FACADE,,DREAM_EATER,,ATTRACT,
Optional Move 26,REST,,SWAGGER,,ENERGY_BALL,
Optional Move 27,ATTRACT,,SUBSTITUTE,,ENDURE,
Optional Move 28,ENERGY_BALL,,,,FLASH,
Optional Move 29,ENDURE,,,,SWORDS_DANCE,
Optional Move 30,EMBARGO,,,,PSYCH_UP,
Optional Move 31,EXPLOSION,,,,CAPTIVATE,
Optional Move 32,FLASH,,,,SLEEP_TALK,
Optional Move 33,THUNDER_WAVE,,,,NATURAL_GIFT,
Optional Move 34,GYRO_BALL,,,,POISON_JAB,
Optional Move 35,PSYCH_UP,,,,GRASS_KNOT,
Optional Move 36,ROCK_SLIDE,,,,SWAGGER,
Optional Move 37,SLEEP_TALK,,,,SUBSTITUTE,
Optional Move 38,DREAM_EATER,,,,,
Optional Move 39,SWAGGER,,,,,
Optional Move 40,SUBSTITUTE,,,,,
Optional Move 41,FLASH_CANNON,,,,,
Optional Move 42,TRICK_ROOM,,,,,
