Trainer 153,Pokemon 1,Pokemon 2,Pokemon 3,Pokemon 4,Pokemon 5,Pokemon 6
Species,CUTIEFLY,CHERUBI,TYROGUE,CUBCHOO,NONE,NONE
Level,15,15,15,15,,
Ability,HONEY_GATHER,CHLOROPHYLL,GUTS,SNOW_CLOAK,,
Held Item,NONE,NONE,NONE,NONE,,
Move 1,ABSORB,MORNING_SUN,FOCUS_ENERGY,GROWL,,
Move 2,FAIRY_WIND,LEAFAGE,FAKE_OUT,ICY_WIND,,
Move 3,SILVER_WIND,TACKLE,TACKLE,POWDER_SNOW,,
Move 4,STUN_SPORE,GROWTH,FORESIGHT,ENDURE,,
Optional Move 1,CALM_MIND,HELPING_HAND,HELPING_HAND,BIDE,,
Optional Move 2,TOXIC,RAZOR_LEAF,RAPID_SPIN,FURY_SWIPES,,
Optional Move 3,HIDDEN_POWER,SWEET_SCENT,HIGH_JUMP_KICK,PLAY_NICE,,
Optional Move 4,SUNNY_DAY,TICKLE,MACH_PUNCH,ASSURANCE,,
Optional Move 5,LIGHT_SCREEN,NATURE_POWER,MIND_READER,AVALANCHE,,
Optional Move 6,PROTECT,GRASS_WHISTLE,COUNTER,ENCORE,,
Optional Move 7,SAFEGUARD,AROMATHERAPY,VACUUM_WAVE,FOCUS_PUNCH,,
Optional Move 8,FRUSTRATION,WEATHER_BALL,BULLET_PUNCH,ICE_PUNCH,,
Optional Move 9,RETURN,TOXIC,TOXIC,NIGHT_SLASH,,
Optional Move 10,PSYCHIC,BULLET_SEED,BULK_UP,SLEEP_TALK,,
Optional Move 11,DOUBLE_TEAM,HIDDEN_POWER,HIDDEN_POWER,YAWN,,
Optional Move 12,REFLECT,PROTECT,SUNNY_DAY,WATER_PULSE,,
Optional Move 13,FACADE,GIGA_DRAIN,PROTECT,TOXIC,,
Optional Move 14,SECRET_POWER,SAFEGUARD,RAIN_DANCE,HIDDEN_POWER,,
Optional Move 15,REST,FRUSTRATION,FRUSTRATION,TAUNT,,
Optional Move 16,ATTRACT,RETURN,RETURN,ICE_BEAM,,
Optional Move 17,THIEF,DOUBLE_TEAM,BRICK_BREAK,PROTECT,,
Optional Move 18,SKILL_SWAP,FACADE,DOUBLE_TEAM,RAIN_DANCE,,
Optional Move 19,ROOST,SECRET_POWER,FACADE,FRUSTRATION,,
Optional Move 20,ENERGY_BALL,REST,SECRET_POWER,RETURN,,
Optional Move 21,ENDURE,ATTRACT,REST,DIG,,
Optional Move 22,PSYCH_UP,ENERGY_BALL,ATTRACT,DOUBLE_TEAM,,
Optional Move 23,SLEEP_TALK,ENDURE,THIEF,ROCK_TOMB,,
Optional Move 24,DREAM_EATER,FLASH,ENDURE,AERIAL_ACE,,
Optional Move 25,GRASS_KNOT,SWORDS_DANCE,CAPTIVATE,FACADE,,
Optional Move 26,SWAGGER,CAPTIVATE,ROCK_SLIDE,SECRET_POWER,,
Optional Move 27,U_TURN,SLEEP_TALK,SLEEP_TALK,ATTRACT,,
Optional Move 28,SUBSTITUTE,NATURAL_GIFT,NATURAL_GIFT,THIEF,,
Optional Move 29,,GRASS_KNOT,SWAGGER,FLING,,
Optional Move 30,,SWAGGER,SUBSTITUTE,SHADOW_CLAW,,
Optional Move 31,,SUBSTITUTE,,ROCK_SLIDE,,
Optional Move 32,,,,X_SCISSOR,,
Optional Move 33,,,,GRASS_KNOT,,
Optional Move 34,,,,SWAGGER,,
Optional Move 35,,,,SUBSTITUTE,,
