Trainer 157,Pokemon 1,Pokemon 2,Pokemon 3,Pokemon 4,Pokemon 5,Pokemon 6
Species,VENONAT,NOIBAT,ROOKIDEE,MEOWTH,FOMANTIS,NONE
Level,16,16,16,16,16,
Ability,COMPOUND_EYES,FRISK,KEEN_EYE,PICKUP,LEAF_GUARD,
Held Item,NONE,NONE,NONE,NONE,NONE,
Move 1,DISABLE,ABSORB,HONE_CLAWS,GROWL,INGRAIN,
Move 2,TACKLE,DOUBLE_TEAM,PLUCK,BITE,RAZOR_LEAF,
Move 3,CONFUSION,WING_ATTACK,PECK,FAKE_OUT,LEAFAGE,
Move 4,FORESIGHT,GUST,LEER,SCRATCH,FURY_CUTTER,
Optional Move 1,SUPERSONIC,TACKLE,POWER_TRIP,SPITE,GROWTH,
Optional Move 2,POISON_POWDER,SCREECH,FURY_ATTACK,CHARM,TOXIC,
Optional Move 3,BATON_PASS,SUPERSONIC,TOXIC,HYPNOSIS,BULLET_SEED,
Optional Move 4,SCREECH,BITE,HIDDEN_POWER,AMNESIA,HIDDEN_POWER,
Optional Move 5,GIGA_DRAIN,DRAGON_CLAW,PROTECT,PSYCH_UP,PROTECT,
Optional Move 6,AGILITY,TOXIC,FRUSTRATION,ASSIST,GIGA_DRAIN,
Optional Move 7,MORNING_SUN,HIDDEN_POWER,RETURN,ODOR_SLEUTH,SAFEGUARD,
Optional Move 8,TOXIC_SPIKES,SUNNY_DAY,DOUBLE_TEAM,FLAIL,FRUSTRATION,
Optional Move 9,BUG_BITE,TAUNT,AERIAL_ACE,LAST_RESORT,RETURN,
Optional Move 10,TOXIC,PROTECT,FACADE,PUNISHMENT,DOUBLE_TEAM,
Optional Move 11,HIDDEN_POWER,FRUSTRATION,SECRET_POWER,TAIL_WHIP,FACADE,
Optional Move 12,SUNNY_DAY,SOLAR_BEAM,REST,WATER_PULSE,SECRET_POWER,
Optional Move 13,PROTECT,IRON_TAIL,ATTRACT,TOXIC,REST,
Optional Move 14,FRUSTRATION,RETURN,THIEF,HIDDEN_POWER,ATTRACT,
Optional Move 15,SOLAR_BEAM,PSYCHIC,ROOST,SUNNY_DAY,ENERGY_BALL,
Optional Move 16,RETURN,SHADOW_BALL,ENDURE,PROTECT,FALSE_SWIPE,
Optional Move 17,DOUBLE_TEAM,BRICK_BREAK,PAYBACK,RAIN_DANCE,FLING,
Optional Move 18,SLUDGE_BOMB,AERIAL_ACE,SLEEP_TALK,FRUSTRATION,ENDURE,
Optional Move 19,FACADE,TORMENT,U_TURN,IRON_TAIL,PAYBACK,
Optional Move 20,SECRET_POWER,FACADE,SUBSTITUTE,THUNDERBOLT,SWORDS_DANCE,
Optional Move 21,REST,SECRET_POWER,,THUNDER,SLEEP_TALK,
Optional Move 22,ATTRACT,REST,,RETURN,GRASS_KNOT,
Optional Move 23,THIEF,ATTRACT,,DIG,SWAGGER,
Optional Move 24,SKILL_SWAP,THIEF,,SHADOW_BALL,SUBSTITUTE,
Optional Move 25,ENERGY_BALL,STEEL_WING,,DOUBLE_TEAM,,
Optional Move 26,ENDURE,SNATCH,,SHOCK_WAVE,,
Optional Move 27,FLASH,ENDURE,,AERIAL_ACE,,
Optional Move 28,CAPTIVATE,DRAGON_PULSE,,TORMENT,,
Optional Move 29,SLEEP_TALK,SHADOW_CLAW,,FACADE,,
Optional Move 30,NATURAL_GIFT,DARK_PULSE,,SECRET_POWER,,
Optional Move 31,SWAGGER,X_SCISSOR,,REST,,
Optional Move 32,SUBSTITUTE,SLEEP_TALK,,ATTRACT,,
Optional Move 33,,DREAM_EATER,,THIEF,,
Optional Move 34,,SWAGGER,,SNATCH,,
Optional Move 35,,U_TURN,,FALSE_SWIPE,,
Optional Move 36,,SUBSTITUTE,,ENDURE,,
Optional Move 37,,,,SHADOW_CLAW,,
Optional Move 38,,,,PAYBACK,,
Optional Move 39,,,,FLASH,,
Optional Move 40,,,,THUNDER_WAVE,,
Optional Move 41,,,,DARK_PULSE,,
Optional Move 42,,,,SLEEP_TALK,,
Optional Move 43,,,,NATURAL_GIFT,,
Optional Move 44,,,,DREAM_EATER,,
Optional Move 45,,,,SWAGGER,,
Optional Move 46,,,,U_TURN,,
Optional Move 47,,,,SUBSTITUTE,,
