Trainer 18,Pokemon 1,Pokemon 2,Pokemon 3,Pokemon 4,Pokemon 5,Pokemon 6
Species,SURSKIT,PINECO,RATTATA,NONE,NONE,NONE
Level,6,6,6,,,
Ability,SWIFT_SWIM,STURDY,RUN_AWAY,,,
Held Item,NONE,NONE,NONE,,,
Move 1,BUBBLE,PROTECT,TAIL_WHIP,,,
Move 2,QUICK_ATTACK,TACKLE,TACKLE,,,
Move 3,BUBBLE,SELF_DESTRUCT,QUICK_ATTACK,,,
Move 4,BUBBLE,TACKLE,TACKLE,,,
Optional Move 1,FORESIGHT,REFLECT,SCREECH,,,
Optional Move 2,MUD_SHOT,PIN_MISSILE,FLAME_WHEEL,,,
Optional Move 3,PSYBEAM,FLAIL,FURY_SWIPES,,,
Optional Move 4,HYDRO_PUMP,SWIFT,COUNTER,,,
Optional Move 5,MIND_READER,COUNTER,REVERSAL,,,
Optional Move 6,SIGNAL_BEAM,SAND_TOMB,UPROAR,,,
Optional Move 7,BUG_BITE,REVENGE,SWAGGER,,,
Optional Move 8,WATER_PULSE,TOXIC_SPIKES,LAST_RESORT,,,
Optional Move 9,TOXIC,POWER_TRICK,ME_FIRST,,,
Optional Move 10,HIDDEN_POWER,TOXIC,TOXIC,,,
Optional Move 11,SUNNY_DAY,HIDDEN_POWER,HIDDEN_POWER,,,
Optional Move 12,ICE_BEAM,SUNNY_DAY,SUNNY_DAY,,,
Optional Move 13,BLIZZARD,LIGHT_SCREEN,TAUNT,,,
Optional Move 14,PROTECT,GIGA_DRAIN,ICE_BEAM,,,
Optional Move 15,RAIN_DANCE,FRUSTRATION,BLIZZARD,,,
Optional Move 16,GIGA_DRAIN,SOLAR_BEAM,PROTECT,,,
Optional Move 17,FRUSTRATION,RETURN,RAIN_DANCE,,,
Optional Move 18,SOLAR_BEAM,DIG,FRUSTRATION,,,
Optional Move 19,RETURN,DOUBLE_TEAM,IRON_TAIL,,,
Optional Move 20,SHADOW_BALL,SANDSTORM,THUNDERBOLT,,,
Optional Move 21,DOUBLE_TEAM,ROCK_TOMB,THUNDER,,,
Optional Move 22,FACADE,FACADE,RETURN,,,
Optional Move 23,SECRET_POWER,SECRET_POWER,DIG,,,
Optional Move 24,REST,REST,SHADOW_BALL,,,
Optional Move 25,ATTRACT,ATTRACT,DOUBLE_TEAM,,,
Optional Move 26,THIEF,ENDURE,SHOCK_WAVE,,,
Optional Move 27,ENDURE,STEALTH_ROCK,FACADE,,,
Optional Move 28,FLASH,CAPTIVATE,SECRET_POWER,,,
Optional Move 29,PSYCH_UP,ROCK_SLIDE,REST,,,
Optional Move 30,CAPTIVATE,SLEEP_TALK,ATTRACT,,,
Optional Move 31,SLEEP_TALK,POISON_JAB,THIEF,,,
Optional Move 32,NATURAL_GIFT,SWAGGER,CHARGE_BEAM,,,
Optional Move 33,SWAGGER,SUBSTITUTE,ENDURE,,,
Optional Move 34,SUBSTITUTE,,THUNDER_WAVE,,,
Optional Move 35,,,CAPTIVATE,,,
Optional Move 36,,,SLEEP_TALK,,,
Optional Move 37,,,NATURAL_GIFT,,,
Optional Move 38,,,GRASS_KNOT,,,
Optional Move 39,,,PLUCK,,,
Optional Move 40,,,U_TURN,,,
Optional Move 41,,,SUBSTITUTE,,,
