Trainer 180,Pokemon 1,Pokemon 2,Pokemon 3,Pokemon 4,Pokemon 5,Pokemon 6
Species,LIEPARD,DUSTOX,PURUGLY,NONE,NONE,NONE
Level,18,18,18,,,
Ability,LIMBER,SHIELD_DUST,THICK_FAT,,,
Held Item,NONE,NONE,NONE,,,
Move 1,TORMENT,MOONLIGHT,SWAGGER,,,
Move 2,PURSUIT,CONFUSION,FEINT_ATTACK,,,
Move 3,FAKE_OUT,GUST,SCRATCH,,,
Move 4,SCRATCH,POISON_POWDER,HYPNOSIS,,,
Optional Move 1,GROWL,HIDDEN_POWER,FAKE_OUT,,,
Optional Move 2,SAND_ATTACK,SUNNY_DAY,GROWL,,,
Optional Move 3,ASSIST,HYPER_BEAM,WATER_PULSE,,,
Optional Move 4,FURY_SWIPES,GIGA_DRAIN,ROAR,,,
Optional Move 5,TOXIC,FRUSTRATION,TOXIC,,,
Optional Move 6,HIDDEN_POWER,SOLAR_BEAM,HIDDEN_POWER,,,
Optional Move 7,SUNNY_DAY,RETURN,SUNNY_DAY,,,
Optional Move 8,HYPER_BEAM,PSYCHIC,TAUNT,,,
Optional Move 9,PROTECT,SHADOW_BALL,HYPER_BEAM,,,
Optional Move 10,RAIN_DANCE,DOUBLE_TEAM,PROTECT,,,
Optional Move 11,FRUSTRATION,SLUDGE_BOMB,RAIN_DANCE,,,
Optional Move 12,IRON_TAIL,AERIAL_ACE,FRUSTRATION,,,
Optional Move 13,RETURN,FACADE,IRON_TAIL,,,
Optional Move 14,SHADOW_BALL,SECRET_POWER,THUNDERBOLT,,,
Optional Move 15,DOUBLE_TEAM,REST,THUNDER,,,
Optional Move 16,AERIAL_ACE,ATTRACT,RETURN,,,
Optional Move 17,FACADE,THIEF,DIG,,,
Optional Move 18,SECRET_POWER,ROOST,SHADOW_BALL,,,
Optional Move 19,REST,ENERGY_BALL,DOUBLE_TEAM,,,
Optional Move 20,ATTRACT,ENDURE,SHOCK_WAVE,,,
Optional Move 21,THIEF,GIGA_IMPACT,AERIAL_ACE,,,
Optional Move 22,ENDURE,FLASH,TORMENT,,,
Optional Move 23,EMBARGO,CAPTIVATE,FACADE,,,
Optional Move 24,SHADOW_CLAW,SLEEP_TALK,SECRET_POWER,,,
Optional Move 25,PAYBACK,NATURAL_GIFT,REST,,,
Optional Move 26,GIGA_IMPACT,SWAGGER,THIEF,,,
Optional Move 27,THUNDER_WAVE,U_TURN,SNATCH,,,
Optional Move 28,PSYCH_UP,SUBSTITUTE,ENDURE,,,
Optional Move 29,CAPTIVATE,,SHADOW_CLAW,,,
Optional Move 30,DARK_PULSE,,PAYBACK,,,
Optional Move 31,SLEEP_TALK,,GIGA_IMPACT,,,
Optional Move 32,DREAM_EATER,,FLASH,,,
Optional Move 33,GRASS_KNOT,,PSYCH_UP,,,
Optional Move 34,SWAGGER,,SLEEP_TALK,,,
Optional Move 35,U_TURN,,NATURAL_GIFT,,,
Optional Move 36,SUBSTITUTE,,DREAM_EATER,,,
Optional Move 37,,,U_TURN,,,
Optional Move 38,,,SUBSTITUTE,,,
