Trainer 188,Pokemon 1,Pokemon 2,Pokemon 3,Pokemon 4,Pokemon 5,Pokemon 6
Species,OMANYTE,ANORITH,CRANIDOS,AMAURA,NONE,NONE
Level,18,18,18,18,,
Ability,SWIFT_SWIM,BATTLE_ARMOR,MOLD_BREAKER,REFRIGERATE,,
Held Item,NONE,NONE,NONE,NONE,,
Move 1,WATER_GUN,METAL_CLAW,FOCUS_ENERGY,ICY_WIND,,
Move 2,WITHDRAW,SMACK_DOWN,HEADBUTT,GROWL,,
Move 3,BITE,ANCIENT_POWER,PURSUIT,ANCIENT_POWER,,
Move 4,ROLLOUT,FURY_CUTTER,LEER,ROCK_THROW,,
Optional Move 1,BIND,HARDEN,TAKE_DOWN,POWDER_SNOW,,
Optional Move 2,CONSTRICT,SCRATCH,CRUNCH,TAKE_DOWN,,
Optional Move 3,SAND_ATTACK,MUD_SPORT,THRASH,THUNDER_WAVE,,
Optional Move 4,BUBBLE_BEAM,WATER_GUN,DOUBLE_EDGE,WATER_PULSE,,
Optional Move 5,AURORA_BEAM,RAPID_SPIN,SLAM,CALM_MIND,,
Optional Move 6,SLAM,KNOCK_OFF,STOMP,ROAR,,
Optional Move 7,SUPERSONIC,SWORDS_DANCE,WHIRLWIND,TOXIC,,
Optional Move 8,HAZE,ROCK_SLIDE,HAMMER_ARM,HIDDEN_POWER,,
Optional Move 9,ROCK_SLIDE,SCREECH,CURSE,PROTECT,,
Optional Move 10,SPIKES,SAND_ATTACK,ROAR,RAIN_DANCE,,
Optional Move 11,KNOCK_OFF,CROSS_POISON,TOXIC,SAFEGUARD,,
Optional Move 12,WRING_OUT,CURSE,HIDDEN_POWER,FRUSTRATION,,
Optional Move 13,TOXIC_SPIKES,WATER_PULSE,SUNNY_DAY,IRON_TAIL,,
Optional Move 14,MUDDY_WATER,TOXIC,ICE_BEAM,THUNDERBOLT,,
Optional Move 15,WATER_PULSE,HIDDEN_POWER,BLIZZARD,RETURN,,
Optional Move 16,TOXIC,SUNNY_DAY,PROTECT,DOUBLE_TEAM,,
Optional Move 17,HAIL,FRUSTRATION,RAIN_DANCE,REFLECT,,
Optional Move 18,HIDDEN_POWER,RETURN,FRUSTRATION,SANDSTORM,,
Optional Move 19,ICE_BEAM,DIG,IRON_TAIL,ROCK_TOMB,,
Optional Move 20,BLIZZARD,BRICK_BREAK,THUNDERBOLT,FACADE,,
Optional Move 21,RAIN_DANCE,DOUBLE_TEAM,THUNDER,SECRET_POWER,,
Optional Move 22,FRUSTRATION,SANDSTORM,EARTHQUAKE,REST,,
Optional Move 23,RETURN,ROCK_TOMB,RETURN,ATTRACT,,
Optional Move 24,DOUBLE_TEAM,AERIAL_ACE,DIG,CHARGE_BEAM,,
Optional Move 25,SANDSTORM,FACADE,DOUBLE_TEAM,ENDURE,,
Optional Move 26,ROCK_TOMB,SECRET_POWER,SHOCK_WAVE,FLASH,,
Optional Move 27,FACADE,REST,FLAMETHROWER,STONE_EDGE,,
Optional Move 28,SECRET_POWER,ATTRACT,SANDSTORM,STEALTH_ROCK,,
Optional Move 29,REST,FALSE_SWIPE,FIRE_BLAST,PSYCH_UP,,
Optional Move 30,ATTRACT,ENDURE,ROCK_TOMB,DARK_PULSE,,
Optional Move 31,THIEF,ROCK_POLISH,FACADE,ROCK_SLIDE,,
Optional Move 32,ENDURE,STEALTH_ROCK,SECRET_POWER,SLEEP_TALK,,
Optional Move 33,ROCK_POLISH,CAPTIVATE,REST,DREAM_EATER,,
Optional Move 34,GYRO_BALL,SLEEP_TALK,ATTRACT,SWAGGER,,
Optional Move 35,STEALTH_ROCK,NATURAL_GIFT,THIEF,SUBSTITUTE,,
Optional Move 36,CAPTIVATE,SWAGGER,FLING,FLASH_CANNON,,
Optional Move 37,SLEEP_TALK,SUBSTITUTE,ENDURE,,,
Optional Move 38,NATURAL_GIFT,,DRAGON_PULSE,,,
Optional Move 39,SWAGGER,,PAYBACK,,,
Optional Move 40,SUBSTITUTE,,ROCK_POLISH,,,
Optional Move 41,,,STONE_EDGE,,,
Optional Move 42,,,SWORDS_DANCE,,,
Optional Move 43,,,STEALTH_ROCK,,,
Optional Move 44,,,CAPTIVATE,,,
Optional Move 45,,,ROCK_SLIDE,,,
Optional Move 46,,,SLEEP_TALK,,,
Optional Move 47,,,NATURAL_GIFT,,,
Optional Move 48,,,SWAGGER,,,
Optional Move 49,,,SUBSTITUTE,,,
