Trainer 195,Pokemon 1,Pokemon 2,Pokemon 3,Pokemon 4,Pokemon 5,Pokemon 6
Species,FLOETTE,DRILBUR,DARUMAKA,TANDEMAUS,EXEGGCUTE,NONE
Level,18,18,18,18,18,
Ability,FLOWER_VEIL,SAND_RUSH,HUSTLE,RUN_AWAY,CHLOROPHYLL,
Held Item,NONE,NONE,NONE,NONE,NONE,
Move 1,FAIRY_WIND,METAL_CLAW,INCINERATE,HELPING_HAND,UPROAR,
Move 2,RAZOR_LEAF,RAPID_SPIN,FIRE_FANG,POUND,REFLECT,
Move 3,VINE_WHIP,SCRATCH,BITE,DOUBLE_HIT,MEGA_DRAIN,
Move 4,TACKLE,MUD_SLAP,TACKLE,ECHOED_VOICE,ABSORB,
Optional Move 1,LUCKY_CHANT,MUD_SPORT,EMBER,BABY_DOLL_EYES,HYPNOSIS,
Optional Move 2,CALM_MIND,FURY_SWIPES,ROLLOUT,SUPER_FANG,BARRAGE,
Optional Move 3,TOXIC,HONE_CLAWS,RAGE,BULLET_SEED,LEECH_SEED,
Optional Move 4,HIDDEN_POWER,EARTH_POWER,TAUNT,WATER_PULSE,MOONLIGHT,
Optional Move 5,SUNNY_DAY,IRON_DEFENSE,ENCORE,TOXIC,ANCIENT_POWER,
Optional Move 6,LIGHT_SCREEN,METAL_SOUND,ENDURE,HIDDEN_POWER,PSYCH_UP,
Optional Move 7,PROTECT,ROCK_CLIMB,FLAME_WHEEL,SUNNY_DAY,INGRAIN,
Optional Move 8,RAIN_DANCE,SKULL_BASH,FOCUS_ENERGY,TAUNT,CURSE,
Optional Move 9,GIGA_DRAIN,SUBMISSION,FOCUS_PUNCH,PROTECT,NATURE_POWER,
Optional Move 10,SAFEGUARD,TOXIC,HAMMER_ARM,RAIN_DANCE,LUCKY_CHANT,
Optional Move 11,FRUSTRATION,HIDDEN_POWER,SLEEP_TALK,FRUSTRATION,LEAF_STORM,
Optional Move 12,RETURN,SUNNY_DAY,TAKE_DOWN,RETURN,POWER_SWAP,
Optional Move 13,PSYCHIC,PROTECT,YAWN,DIG,TOXIC,
Optional Move 14,DOUBLE_TEAM,FRUSTRATION,ROAR,DOUBLE_TEAM,HIDDEN_POWER,
Optional Move 15,FACADE,RETURN,TOXIC,AERIAL_ACE,SUNNY_DAY,
Optional Move 16,SECRET_POWER,BRICK_BREAK,HIDDEN_POWER,FACADE,LIGHT_SCREEN,
Optional Move 17,REST,DOUBLE_TEAM,SUNNY_DAY,SECRET_POWER,PROTECT,
Optional Move 18,ATTRACT,ROCK_TOMB,PROTECT,REST,FRUSTRATION,
Optional Move 19,SKILL_SWAP,AERIAL_ACE,FRUSTRATION,THIEF,RETURN,
Optional Move 20,ENERGY_BALL,FACADE,SOLAR_BEAM,ENDURE,PSYCHIC,
Optional Move 21,ENDURE,SECRET_POWER,RETURN,THUNDER_WAVE,DOUBLE_TEAM,
Optional Move 22,FLASH,REST,DIG,SLEEP_TALK,SLUDGE_BOMB,
Optional Move 23,CAPTIVATE,ATTRACT,BRICK_BREAK,GRASS_KNOT,FACADE,
Optional Move 24,SLEEP_TALK,FLING,DOUBLE_TEAM,U_TURN,SECRET_POWER,
Optional Move 25,GRASS_KNOT,ENDURE,FLAMETHROWER,SUBSTITUTE,REST,
Optional Move 26,SWAGGER,SHADOW_CLAW,FIRE_BLAST,,ATTRACT,
Optional Move 27,SUBSTITUTE,STEALTH_ROCK,ROCK_TOMB,,THIEF,
Optional Move 28,,X_SCISSOR,SECRET_POWER,,SKILL_SWAP,
Optional Move 29,,SLEEP_TALK,REST,,ENERGY_BALL,
Optional Move 30,,POISON_JAB,ATTRACT,,ENDURE,
Optional Move 31,,SWAGGER,THIEF,,EXPLOSION,
Optional Move 32,,SUBSTITUTE,SNATCH,,FLASH,
Optional Move 33,,,FLING,,SWORDS_DANCE,
Optional Move 34,,,WILL_O_WISP,,CAPTIVATE,
Optional Move 35,,,GYRO_BALL,,SLEEP_TALK,
Optional Move 36,,,ROCK_SLIDE,,DREAM_EATER,
Optional Move 37,,,GRASS_KNOT,,GRASS_KNOT,
Optional Move 38,,,SWAGGER,,SWAGGER,
Optional Move 39,,,U_TURN,,SUBSTITUTE,
Optional Move 40,,,SUBSTITUTE,,TRICK_ROOM,
