Trainer 204,Pokemon 1,Pokemon 2,Pokemon 3,Pokemon 4,Pokemon 5,Pokemon 6
Species,GROOKEY,NUZLEAF,WEEPINBELL,NONE,NONE,NONE
Level,20,20,20,,,
Ability,OVERGROW,CHLOROPHYLL,CHLOROPHYLL,,,
Held Item,NONE,NONE,NONE,,,
Move 1,KNOCK_OFF,AIR_CUTTER,GROWTH,,,
Move 2,RAZOR_LEAF,SWAGGER,VINE_WHIP,,,
Move 3,BRANCH_POKE,RAZOR_LEAF,SLEEP_POWDER,,,
Move 4,SCRATCH,FAKE_OUT,POISON_POWDER,,,
Optional Move 1,GROWL,TORMENT,WRAP,,,
Optional Move 2,TAUNT,SYNTHESIS,STUN_SPORE,,,
Optional Move 3,SCREECH,EXPLOSION,TOXIC,,,
Optional Move 4,TOXIC,TACKLE,BULLET_SEED,,,
Optional Move 5,BULLET_SEED,HARDEN,HIDDEN_POWER,,,
Optional Move 6,HIDDEN_POWER,ABSORB,SUNNY_DAY,,,
Optional Move 7,SUNNY_DAY,ASTONISH,PROTECT,,,
Optional Move 8,PROTECT,POUND,GIGA_DRAIN,,,
Optional Move 9,GIGA_DRAIN,GROWTH,FRUSTRATION,,,
Optional Move 10,FRUSTRATION,ROLLOUT,SOLAR_BEAM,,,
Optional Move 11,SOLAR_BEAM,MEGA_DRAIN,RETURN,,,
Optional Move 12,RETURN,RAZOR_WIND,DOUBLE_TEAM,,,
Optional Move 13,DOUBLE_TEAM,TOXIC,SLUDGE_BOMB,,,
Optional Move 14,FACADE,BULLET_SEED,FACADE,,,
Optional Move 15,SECRET_POWER,HIDDEN_POWER,SECRET_POWER,,,
Optional Move 16,REST,PROTECT,REST,,,
Optional Move 17,ATTRACT,RAIN_DANCE,ATTRACT,,,
Optional Move 18,THIEF,GIGA_DRAIN,THIEF,,,
Optional Move 19,ENERGY_BALL,FRUSTRATION,ENERGY_BALL,,,
Optional Move 20,FALSE_SWIPE,SOLAR_BEAM,ENDURE,,,
Optional Move 21,FLING,RETURN,FLASH,,,
Optional Move 22,ENDURE,DIG,SWORDS_DANCE,,,
Optional Move 23,DRAIN_PUNCH,SHADOW_BALL,CAPTIVATE,,,
Optional Move 24,SWORDS_DANCE,BRICK_BREAK,SLEEP_TALK,,,
Optional Move 25,SLEEP_TALK,DOUBLE_TEAM,NATURAL_GIFT,,,
Optional Move 26,GRASS_KNOT,ROCK_TOMB,GRASS_KNOT,,,
Optional Move 27,U_TURN,FACADE,SWAGGER,,,
Optional Move 28,SUBSTITUTE,SECRET_POWER,SUBSTITUTE,,,
Optional Move 29,,REST,,,,
Optional Move 30,,ATTRACT,,,,
Optional Move 31,,THIEF,,,,
Optional Move 32,,ENERGY_BALL,,,,
Optional Move 33,,FALSE_SWIPE,,,,
Optional Move 34,,FLING,,,,
Optional Move 35,,ENDURE,,,,
Optional Move 36,,EMBARGO,,,,
Optional Move 37,,FLASH,,,,
Optional Move 38,,SWORDS_DANCE,,,,
Optional Move 39,,PSYCH_UP,,,,
Optional Move 40,,CAPTIVATE,,,,
Optional Move 41,,DARK_PULSE,,,,
Optional Move 42,,ROCK_SLIDE,,,,
Optional Move 43,,SLEEP_TALK,,,,
Optional Move 44,,NATURAL_GIFT,,,,
Optional Move 45,,GRASS_KNOT,,,,
Optional Move 46,,SUBSTITUTE,,,,
