Trainer 206,Pokemon 1,Pokemon 2,Pokemon 3,Pokemon 4,Pokemon 5,Pokemon 6
Species,CACNEA,VOLTORB,PARASECT,MORELULL,NONE,NONE
Level,20,20,20,20,,
Ability,SAND_VEIL,SOUNDPROOF,EFFECT_SPORE,ILLUMINATE,,
Held Item,NONE,NONE,NONE,NONE,,
Move 1,LEECH_SEED,CHARGE,ABSORB,INGRAIN,,
Move 2,NEEDLE_ARM,SWIFT,STUN_SPORE,MEGA_DRAIN,,
Move 3,FEINT_ATTACK,CHARGE_BEAM,CROSS_POISON,ABSORB,,
Move 4,SAND_ATTACK,BULLET_SEED,FURY_CUTTER,FLASH,,
Optional Move 1,POISON_STING,TACKLE,SCRATCH,ASTONISH,,
Optional Move 2,LEER,SONIC_BOOM,POISON_POWDER,CONFUSE_RAY,,
Optional Move 3,ABSORB,EERIE_IMPULSE,TOXIC,MOONLIGHT,,
Optional Move 4,GROWTH,SPARK,BULLET_SEED,SLEEP_POWDER,,
Optional Move 5,GRASS_WHISTLE,ROLLOUT,HIDDEN_POWER,TOXIC,,
Optional Move 6,ACID,SCREECH,SUNNY_DAY,HIDDEN_POWER,,
Optional Move 7,TEETER_DANCE,TOXIC,HYPER_BEAM,SUNNY_DAY,,
Optional Move 8,DYNAMIC_PUNCH,HIDDEN_POWER,LIGHT_SCREEN,LIGHT_SCREEN,,
Optional Move 9,COUNTER,TAUNT,PROTECT,PROTECT,,
Optional Move 10,LOW_KICK,PROTECT,FRUSTRATION,SAFEGUARD,,
Optional Move 11,SMELLING_SALTS,RAIN_DANCE,SOLAR_BEAM,FRUSTRATION,,
Optional Move 12,MAGICAL_LEAF,FRUSTRATION,RETURN,SOLAR_BEAM,,
Optional Move 13,SEED_BOMB,THUNDERBOLT,DIG,RETURN,,
Optional Move 14,NASTY_PLOT,THUNDER,BRICK_BREAK,DOUBLE_TEAM,,
Optional Move 15,FOCUS_PUNCH,RETURN,DOUBLE_TEAM,SLUDGE_BOMB,,
Optional Move 16,TOXIC,DOUBLE_TEAM,SLUDGE_BOMB,FACADE,,
Optional Move 17,BULLET_SEED,SHOCK_WAVE,AERIAL_ACE,SECRET_POWER,,
Optional Move 18,HIDDEN_POWER,TORMENT,FACADE,REST,,
Optional Move 19,SUNNY_DAY,FACADE,SECRET_POWER,ATTRACT,,
Optional Move 20,PROTECT,SECRET_POWER,REST,ENERGY_BALL,,
Optional Move 21,RAIN_DANCE,REST,ATTRACT,ENDURE,,
Optional Move 22,GIGA_DRAIN,THIEF,THIEF,RECYCLE,,
Optional Move 23,FRUSTRATION,ENERGY_BALL,ENERGY_BALL,THUNDER_WAVE,,
Optional Move 24,SOLAR_BEAM,ENDURE,FALSE_SWIPE,SLEEP_TALK,,
Optional Move 25,RETURN,RECYCLE,ENDURE,GRASS_KNOT,,
Optional Move 26,DIG,FLASH,GIGA_IMPACT,SWAGGER,,
Optional Move 27,BRICK_BREAK,THUNDER_WAVE,FLASH,SUBSTITUTE,,
Optional Move 28,DOUBLE_TEAM,SLEEP_TALK,SWORDS_DANCE,,,
Optional Move 29,FACADE,NATURAL_GIFT,CAPTIVATE,,,
Optional Move 30,SECRET_POWER,SWAGGER,SLEEP_TALK,,,
Optional Move 31,REST,SUBSTITUTE,NATURAL_GIFT,,,
Optional Move 32,ATTRACT,,GRASS_KNOT,,,
Optional Move 33,THIEF,,SWAGGER,,,
Optional Move 34,FLING,,SUBSTITUTE,,,
Optional Move 35,ENDURE,,,,,
Optional Move 36,DRAIN_PUNCH,,,,,
Optional Move 37,FLASH,,,,,
Optional Move 38,SWORDS_DANCE,,,,,
Optional Move 39,CAPTIVATE,,,,,
Optional Move 40,DARK_PULSE,,,,,
Optional Move 41,SLEEP_TALK,,,,,
Optional Move 42,NATURAL_GIFT,,,,,
Optional Move 43,POISON_JAB,,,,,
Optional Move 44,GRASS_KNOT,,,,,
Optional Move 45,SWAGGER,,,,,
Optional Move 46,SUBSTITUTE,,,,,
