Trainer 208,Pokemon 1,Pokemon 2,Pokemon 3,Pokemon 4,Pokemon 5,Pokemon 6
Species,THWACKEY,ELECTRODE,LURANTIS,JUMPLUFF,SHIINOTIC,SCEPTILE
Level,26,26,26,26,26,26
Ability,OVERGROW,SOUNDPROOF,LEAF_GUARD,CHLOROPHYLL,ILLUMINATE,LIGHTNING_ROD
Held Item,NONE,NONE,NONE,NONE,NONE,NONE
Move 1,KNOCK_OFF,CHLOROBLAST,PETAL_BLIZZARD,BULLET_SEED,INGRAIN,ENERGY_BALL
Move 2,RAZOR_LEAF,CHARGE,X_SCISSOR,FAIRY_WIND,MEGA_DRAIN,X_SCISSOR
Move 3,BRANCH_POKE,SWIFT,INGRAIN,TACKLE,ABSORB,DUAL_CHOP
Move 4,SCRATCH,CHARGE_BEAM,NIGHT_SLASH,SYNTHESIS,CONFUSE_RAY,LEER
Optional Move 1,DOUBLE_HIT,MAGNETIC_FLUX,SOLAR_BEAM,ABSORB,ASTONISH,FURY_CUTTER
Optional Move 2,GROWL,TACKLE,DUAL_CHOP,SPLASH,FLASH,FALSE_SWIPE
Optional Move 3,TAUNT,SONIC_BOOM,LEAFAGE,TAIL_WHIP,MOONLIGHT,POUND
Optional Move 4,SCREECH,EERIE_IMPULSE,FURY_CUTTER,POISON_POWDER,SLEEP_POWDER,LEAFAGE
Optional Move 5,TOXIC,SPARK,GROWTH,STUN_SPORE,TOXIC,QUICK_ATTACK
Optional Move 6,BULLET_SEED,ROLLOUT,RAZOR_LEAF,SLEEP_POWDER,HIDDEN_POWER,LEAF_STORM
Optional Move 7,HIDDEN_POWER,SCREECH,TOXIC,LEECH_SEED,SUNNY_DAY,NIGHT_SLASH
Optional Move 8,SUNNY_DAY,ELECTRO_BALL,BULLET_SEED,TOXIC,HYPER_BEAM,ABSORB
Optional Move 9,PROTECT,SELF_DESTRUCT,HIDDEN_POWER,HIDDEN_POWER,LIGHT_SCREEN,MEGA_DRAIN
Optional Move 10,GIGA_DRAIN,TOXIC,HYPER_BEAM,SUNNY_DAY,PROTECT,PURSUIT
Optional Move 11,FRUSTRATION,HIDDEN_POWER,PROTECT,HYPER_BEAM,RAIN_DANCE,ASSURANCE
Optional Move 12,SOLAR_BEAM,TAUNT,RAIN_DANCE,LIGHT_SCREEN,SAFEGUARD,DETECT
Optional Move 13,RETURN,HYPER_BEAM,GIGA_DRAIN,PROTECT,FRUSTRATION,GIGA_DRAIN
Optional Move 14,DOUBLE_TEAM,PROTECT,SAFEGUARD,RAIN_DANCE,SOLAR_BEAM,FOCUS_PUNCH
Optional Move 15,FACADE,RAIN_DANCE,FRUSTRATION,FRUSTRATION,RETURN,DRAGON_CLAW
Optional Move 16,SECRET_POWER,FRUSTRATION,RETURN,SOLAR_BEAM,DOUBLE_TEAM,ROAR
Optional Move 17,REST,THUNDERBOLT,BRICK_BREAK,RETURN,FACADE,TOXIC
Optional Move 18,ATTRACT,THUNDER,DOUBLE_TEAM,DOUBLE_TEAM,SECRET_POWER,BULLET_SEED
Optional Move 19,THIEF,RETURN,FACADE,REFLECT,REST,HIDDEN_POWER
Optional Move 20,ENERGY_BALL,DOUBLE_TEAM,SECRET_POWER,AERIAL_ACE,ATTRACT,SUNNY_DAY
Optional Move 21,FALSE_SWIPE,SHOCK_WAVE,REST,FACADE,ENERGY_BALL,HYPER_BEAM
Optional Move 22,FLING,TORMENT,ATTRACT,SECRET_POWER,CHARGE_BEAM,PROTECT
Optional Move 23,ENDURE,FACADE,ENERGY_BALL,REST,ENDURE,SAFEGUARD
Optional Move 24,DRAIN_PUNCH,SECRET_POWER,FALSE_SWIPE,ATTRACT,DRAIN_PUNCH,FRUSTRATION
Optional Move 25,SWORDS_DANCE,REST,FLING,THIEF,RECYCLE,SOLAR_BEAM
Optional Move 26,SLEEP_TALK,THIEF,ENDURE,ENERGY_BALL,GIGA_IMPACT,IRON_TAIL
Optional Move 27,GRASS_KNOT,ENDURE,PAYBACK,FLING,THUNDER_WAVE,EARTHQUAKE
Optional Move 28,U_TURN,RECYCLE,GIGA_IMPACT,ENDURE,SLEEP_TALK,RETURN
Optional Move 29,SUBSTITUTE,GIGA_IMPACT,SWORDS_DANCE,SILVER_WIND,GRASS_KNOT,DIG
Optional Move 30,,FLASH,SLEEP_TALK,GIGA_IMPACT,SWAGGER,BRICK_BREAK
Optional Move 31,,THUNDER_WAVE,POISON_JAB,FLASH,SUBSTITUTE,ROCK_TOMB
Optional Move 32,,SLEEP_TALK,GRASS_KNOT,SWORDS_DANCE,,AERIAL_ACE
Optional Move 33,,NATURAL_GIFT,SWAGGER,CAPTIVATE,,FACADE
Optional Move 34,,SWAGGER,SUBSTITUTE,SLEEP_TALK,,SECRET_POWER
Optional Move 35,,SUBSTITUTE,,NATURAL_GIFT,,REST
Optional Move 36,,,,GRASS_KNOT,,ATTRACT
Optional Move 37,,,,SWAGGER,,FOCUS_BLAST
Optional Move 38,,,,SUBSTITUTE,,FLING
Optional Move 39,,,,,,ENDURE
Optional Move 40,,,,,,DRAGON_PULSE
Optional Move 41,,,,,,DRAIN_PUNCH
Optional Move 42,,,,,,GIGA_IMPACT
Optional Move 43,,,,,,FLASH
Optional Move 44,,,,,,SWORDS_DANCE
Optional Move 45,,,,,,CAPTIVATE
Optional Move 46,,,,,,ROCK_SLIDE
Optional Move 47,,,,,,SLEEP_TALK
Optional Move 48,,,,,,NATURAL_GIFT
Optional Move 49,,,,,,GRASS_KNOT
Optional Move 50,,,,,,SWAGGER
Optional Move 51,,,,,,SUBSTITUTE
