Trainer 209,Pokemon 1,Pokemon 2,Pokemon 3,Pokemon 4,Pokemon 5,Pokemon 6
Species,NATU,NOSEPASS,CHINCHOU,SINISTEA,NONE,NONE
Level,20,20,20,20,,
Ability,SYNCHRONIZE,STURDY,VOLT_ABSORB,WEAK_ARMOR,,
Held Item,NONE,NONE,NONE,NONE,,
Move 1,OMINOUS_WIND,SPARK,BUBBLE_BEAM,ASTONISH,,
Move 2,TELEPORT,HARDEN,THUNDER_WAVE,WITHDRAW,,
Move 3,LUCKY_CHANT,ROCK_THROW,WATER_GUN,MEGA_DRAIN,,
Move 4,PECK,TACKLE,ELECTRO_BALL,AROMATIC_MIST,,
Optional Move 1,LEER,BLOCK,SUPERSONIC,PROTECT,,
Optional Move 2,STORED_POWER,THUNDER_WAVE,BUBBLE,CALM_MIND,,
Optional Move 3,NIGHT_SHADE,REST,CONFUSE_RAY,TOXIC,,
Optional Move 4,CONFUSE_RAY,MAGNITUDE,SCREECH,HIDDEN_POWER,,
Optional Move 5,HAZE,ROLLOUT,AMNESIA,FRUSTRATION,,
Optional Move 6,DRILL_PECK,EXPLOSION,PSYBEAM,RETURN,,
Optional Move 7,QUICK_ATTACK,DOUBLE_EDGE,WHIRLPOOL,PSYCHIC,,
Optional Move 8,FEINT_ATTACK,HEAD_SMASH,AGILITY,DOUBLE_TEAM,,
Optional Move 9,STEEL_WING,TOXIC,MIST,FACADE,,
Optional Move 10,PSYCH_UP,HIDDEN_POWER,WATER_PULSE,SECRET_POWER,,
Optional Move 11,FEATHER_DANCE,SUNNY_DAY,TOXIC,REST,,
Optional Move 12,REFRESH,TAUNT,HAIL,SKILL_SWAP,,
Optional Move 13,ZEN_HEADBUTT,PROTECT,HIDDEN_POWER,ENDURE,,
Optional Move 14,SUCKER_PUNCH,FRUSTRATION,ICE_BEAM,WILL_O_WISP,,
Optional Move 15,CALM_MIND,THUNDERBOLT,BLIZZARD,PAYBACK,,
Optional Move 16,TOXIC,THUNDER,PROTECT,DARK_PULSE,,
Optional Move 17,HIDDEN_POWER,EARTHQUAKE,RAIN_DANCE,SLEEP_TALK,,
Optional Move 18,SUNNY_DAY,RETURN,FRUSTRATION,SUBSTITUTE,,
Optional Move 19,LIGHT_SCREEN,DOUBLE_TEAM,THUNDERBOLT,TRICK_ROOM,,
Optional Move 20,PROTECT,SHOCK_WAVE,THUNDER,,,
Optional Move 21,RAIN_DANCE,ROCK_TOMB,RETURN,,,
Optional Move 22,GIGA_DRAIN,TORMENT,DOUBLE_TEAM,,,
Optional Move 23,FRUSTRATION,FACADE,SHOCK_WAVE,,,
Optional Move 24,SOLAR_BEAM,SECRET_POWER,FACADE,,,
Optional Move 25,RETURN,ATTRACT,SECRET_POWER,,,
Optional Move 26,SHADOW_BALL,ENDURE,REST,,,
Optional Move 27,DOUBLE_TEAM,ROCK_POLISH,ATTRACT,,,
Optional Move 28,REFLECT,STEALTH_ROCK,BRINE,,,
Optional Move 29,AERIAL_ACE,CAPTIVATE,CHARGE_BEAM,,,
Optional Move 30,FACADE,SLEEP_TALK,ENDURE,,,
Optional Move 31,SECRET_POWER,NATURAL_GIFT,FLASH,,,
Optional Move 32,REST,SWAGGER,CAPTIVATE,,,
Optional Move 33,ATTRACT,SUBSTITUTE,SLEEP_TALK,,,
Optional Move 34,THIEF,FLASH_CANNON,NATURAL_GIFT,,,
Optional Move 35,SKILL_SWAP,,SWAGGER,,,
Optional Move 36,ROOST,,SUBSTITUTE,,,
Optional Move 37,ENDURE,,,,,
Optional Move 38,SILVER_WIND,,,,,
Optional Move 39,FLASH,,,,,
Optional Move 40,THUNDER_WAVE,,,,,
Optional Move 41,CAPTIVATE,,,,,
Optional Move 42,SLEEP_TALK,,,,,
Optional Move 43,NATURAL_GIFT,,,,,
Optional Move 44,DREAM_EATER,,,,,
Optional Move 45,GRASS_KNOT,,,,,
Optional Move 46,SWAGGER,,,,,
Optional Move 47,PLUCK,,,,,
Optional Move 48,U_TURN,,,,,
Optional Move 49,SUBSTITUTE,,,,,
Optional Move 50,TRICK_ROOM,,,,,
