Trainer 210,Pokemon 1,Pokemon 2,Pokemon 3,Pokemon 4,Pokemon 5,Pokemon 6
Species,BRONZOR,VANILLITE,WOOBAT,GOLETT,NONE,NONE
Level,20,20,20,20,,
Ability,LEVITATE,ICE_BODY,UNAWARE,IRON_FIST,,
Held Item,NONE,NONE,NONE,NONE,,
Move 1,IMPRISON,UPROAR,ASSURANCE,SHADOW_PUNCH,,
Move 2,CONFUSION,MIST,IMPRISON,POUND,,
Move 3,TACKLE,ICY_WIND,AIR_CUTTER,ASTONISH,,
Move 4,CONFUSE_RAY,AVALANCHE,CONFUSION,MUD_SLAP,,
Optional Move 1,HYPNOSIS,ASTONISH,GUST,DEFENSE_CURL,,
Optional Move 2,PSYWAVE,HARDEN,ATTRACT,ROLLOUT,,
Optional Move 3,CALM_MIND,ICICLE_SPEAR,ODOR_SLEUTH,TOXIC,,
Optional Move 4,TOXIC,TAUNT,HEART_STAMP,HIDDEN_POWER,,
Optional Move 5,HIDDEN_POWER,ICE_SHARD,CHARM,SUNNY_DAY,,
Optional Move 6,SUNNY_DAY,IMPRISON,FAKE_TEARS,ICE_BEAM,,
Optional Move 7,LIGHT_SCREEN,IRON_DEFENSE,FLATTER,PROTECT,,
Optional Move 8,PROTECT,MAGNET_RISE,HELPING_HAND,RAIN_DANCE,,
Optional Move 9,RAIN_DANCE,NATURAL_GIFT,KNOCK_OFF,SAFEGUARD,,
Optional Move 10,FRUSTRATION,POWDER_SNOW,ROOST,FRUSTRATION,,
Optional Move 11,SOLAR_BEAM,WATER_PULSE,SUPERSONIC,RETURN,,
Optional Move 12,EARTHQUAKE,TOXIC,TOXIC,DIG,,
Optional Move 13,RETURN,HIDDEN_POWER,HIDDEN_POWER,PSYCHIC,,
Optional Move 14,PSYCHIC,LIGHT_SCREEN,TAUNT,BRICK_BREAK,,
Optional Move 15,SHADOW_BALL,PROTECT,LIGHT_SCREEN,DOUBLE_TEAM,,
Optional Move 16,DOUBLE_TEAM,RAIN_DANCE,PROTECT,REFLECT,,
Optional Move 17,REFLECT,FRUSTRATION,RAIN_DANCE,SHOCK_WAVE,,
Optional Move 18,SANDSTORM,RETURN,GIGA_DRAIN,SANDSTORM,,
Optional Move 19,ROCK_TOMB,DOUBLE_TEAM,SAFEGUARD,ROCK_TOMB,,
Optional Move 20,FACADE,FACADE,FRUSTRATION,FACADE,,
Optional Move 21,SECRET_POWER,SECRET_POWER,RETURN,SECRET_POWER,,
Optional Move 22,REST,REST,SHADOW_BALL,REST,,
Optional Move 23,SKILL_SWAP,ATTRACT,DOUBLE_TEAM,THIEF,,
Optional Move 24,CHARGE_BEAM,ENDURE,REFLECT,FOCUS_BLAST,,
Optional Move 25,ENDURE,EXPLOSION,SHOCK_WAVE,FLING,,
Optional Move 26,RECYCLE,SLEEP_TALK,AERIAL_ACE,ENDURE,,
Optional Move 27,ROCK_POLISH,SWAGGER,TORMENT,DRAIN_PUNCH,,
Optional Move 28,FLASH,SUBSTITUTE,FACADE,ROCK_POLISH,,
Optional Move 29,STEALTH_ROCK,FLASH_CANNON,SECRET_POWER,FLASH,,
Optional Move 30,PSYCH_UP,,REST,GYRO_BALL,,
Optional Move 31,ROCK_SLIDE,,THIEF,STEALTH_ROCK,,
Optional Move 32,SLEEP_TALK,,SKILL_SWAP,PSYCH_UP,,
Optional Move 33,NATURAL_GIFT,,ENERGY_BALL,ROCK_SLIDE,,
Optional Move 34,DREAM_EATER,,CHARGE_BEAM,SLEEP_TALK,,
Optional Move 35,GRASS_KNOT,,ENDURE,GRASS_KNOT,,
Optional Move 36,SWAGGER,,EMBARGO,SWAGGER,,
Optional Move 37,SUBSTITUTE,,FLASH,SUBSTITUTE,,
Optional Move 38,FLASH_CANNON,,THUNDER_WAVE,FLASH_CANNON,,
Optional Move 39,TRICK_ROOM,,GYRO_BALL,,,
Optional Move 40,,,PSYCH_UP,,,
Optional Move 41,,,CAPTIVATE,,,
Optional Move 42,,,SLEEP_TALK,,,
Optional Move 43,,,DREAM_EATER,,,
Optional Move 44,,,SWAGGER,,,
Optional Move 45,,,PLUCK,,,
Optional Move 46,,,U_TURN,,,
Optional Move 47,,,SUBSTITUTE,,,
Optional Move 48,,,TRICK_ROOM,,,
