Trainer 212,Pokemon 1,Pokemon 2,Pokemon 3,Pokemon 4,Pokemon 5,Pokemon 6
Species,BINACLE,MEDITITE,DOTTLER,IMPIDIMP,SHIELDON,NONE
Level,20,20,20,20,20,
Ability,TOUGH_CLAWS,PURE_POWER,SWARM,PRANKSTER,STURDY,
Held Item,NONE,NONE,NONE,NONE,NONE,
Move 1,CLAMP,MEDITATE,STRUGGLE_BUG,SWAGGER,IRON_DEFENSE,
Move 2,SHELL_SMASH,FORCE_PALM,LIGHT_SCREEN,BITE,METAL_SOUND,
Move 3,SCRATCH,HIDDEN_POWER,CONFUSION,ASSURANCE,TACKLE,
Move 4,WATER_GUN,CONFUSION,REFLECT,FLATTER,PROTECT,
Optional Move 1,MUD_SLAP,BIDE,CALM_MIND,FAKE_OUT,TAUNT,
Optional Move 2,SAND_ATTACK,DETECT,TOXIC,CONFIDE,TAKE_DOWN,
Optional Move 3,WITHDRAW,ENDURE,HIDDEN_POWER,FAKE_TEARS,HEADBUTT,
Optional Move 4,FURY_SWIPES,FEINT,PROTECT,TOXIC,SCARY_FACE,
Optional Move 5,WATER_PULSE,FIRE_PUNCH,SAFEGUARD,HIDDEN_POWER,FOCUS_ENERGY,
Optional Move 6,TOXIC,THUNDER_PUNCH,FRUSTRATION,TAUNT,DOUBLE_EDGE,
Optional Move 7,HIDDEN_POWER,ICE_PUNCH,SOLAR_BEAM,LIGHT_SCREEN,ROCK_BLAST,
Optional Move 8,TAUNT,FORESIGHT,RETURN,PROTECT,BODY_SLAM,
Optional Move 9,BLIZZARD,FAKE_OUT,PSYCHIC,FRUSTRATION,SCREECH,
Optional Move 10,PROTECT,BATON_PASS,SHADOW_BALL,RETURN,CURSE,
Optional Move 11,RAIN_DANCE,DYNAMIC_PUNCH,DOUBLE_TEAM,DOUBLE_TEAM,FISSURE,
Optional Move 12,SAFEGUARD,POWER_SWAP,FACADE,REFLECT,COUNTER,
Optional Move 13,FRUSTRATION,GUARD_SWAP,SECRET_POWER,FACADE,ROAR,
Optional Move 14,EARTHQUAKE,PSYCHO_CUT,REST,SECRET_POWER,TOXIC,
Optional Move 15,RETURN,BULLET_PUNCH,ATTRACT,REST,HIDDEN_POWER,
Optional Move 16,DIG,FOCUS_PUNCH,SKILL_SWAP,ATTRACT,SUNNY_DAY,
Optional Move 17,BRICK_BREAK,TOXIC,ENERGY_BALL,THIEF,ICE_BEAM,
Optional Move 18,DOUBLE_TEAM,BULK_UP,ENDURE,FLING,BLIZZARD,
Optional Move 19,SLUDGE_BOMB,SUNNY_DAY,PAYBACK,ENDURE,RAIN_DANCE,
Optional Move 20,SANDSTORM,TAUNT,SLEEP_TALK,DRAIN_PUNCH,FRUSTRATION,
Optional Move 21,ROCK_TOMB,LIGHT_SCREEN,SUBSTITUTE,THUNDER_WAVE,IRON_TAIL,
Optional Move 22,AERIAL_ACE,PROTECT,TRICK_ROOM,SLEEP_TALK,THUNDERBOLT,
Optional Move 23,TORMENT,RAIN_DANCE,,SUBSTITUTE,THUNDER,
Optional Move 24,FACADE,FRUSTRATION,,,EARTHQUAKE,
Optional Move 25,SECRET_POWER,RETURN,,,RETURN,
Optional Move 26,REST,PSYCHIC,,,DIG,
Optional Move 27,ATTRACT,SHADOW_BALL,,,DOUBLE_TEAM,
Optional Move 28,THIEF,BRICK_BREAK,,,SHOCK_WAVE,
Optional Move 29,FALSE_SWIPE,DOUBLE_TEAM,,,FLAMETHROWER,
Optional Move 30,FLING,REFLECT,,,SANDSTORM,
Optional Move 31,ENDURE,ROCK_TOMB,,,FIRE_BLAST,
Optional Move 32,EMBARGO,AERIAL_ACE,,,ROCK_TOMB,
Optional Move 33,SHADOW_CLAW,FACADE,,,TORMENT,
Optional Move 34,PAYBACK,SECRET_POWER,,,FACADE,
Optional Move 35,STONE_EDGE,REST,,,SECRET_POWER,
Optional Move 36,SWORDS_DANCE,ATTRACT,,,REST,
Optional Move 37,STEALTH_ROCK,THIEF,,,ATTRACT,
Optional Move 38,ROCK_SLIDE,SKILL_SWAP,,,ROCK_POLISH,
Optional Move 39,X_SCISSOR,FOCUS_BLAST,,,STONE_EDGE,
Optional Move 40,SLEEP_TALK,FLING,,,STEALTH_ROCK,
Optional Move 41,POISON_JAB,DRAIN_PUNCH,,,CAPTIVATE,
Optional Move 42,GRASS_KNOT,RECYCLE,,,ROCK_SLIDE,
Optional Move 43,SWAGGER,FLASH,,,SLEEP_TALK,
Optional Move 44,SUBSTITUTE,CAPTIVATE,,,NATURAL_GIFT,
Optional Move 45,,ROCK_SLIDE,,,SUBSTITUTE,
Optional Move 46,,SLEEP_TALK,,,FLASH_CANNON,
Optional Move 47,,NATURAL_GIFT,,,,
Optional Move 48,,POISON_JAB,,,,
Optional Move 49,,DREAM_EATER,,,,
Optional Move 50,,GRASS_KNOT,,,,
Optional Move 51,,SWAGGER,,,,
Optional Move 52,,SUBSTITUTE,,,,
Optional Move 53,,TRICK_ROOM,,,,
