Trainer 213,Pokemon 1,Pokemon 2,Pokemon 3,Pokemon 4,Pokemon 5,Pokemon 6
Species,EXEGGCUTE,UNOWN,BALTOY,GIMMIGHOUL,NONE,NONE
Level,20,20,20,20,,
Ability,CHLOROPHYLL,LEVITATE,LEVITATE,RATTLED,,
Held Item,NONE,NONE,NONE,NONE,,
Move 1,UPROAR,HIDDEN_POWER,ROCK_TOMB,ASTONISH,,
Move 2,REFLECT,HIDDEN_POWER,PSYBEAM,TACKLE,,
Move 3,MEGA_DRAIN,HIDDEN_POWER,ANCIENT_POWER,ASTONISH,,
Move 4,LEECH_SEED,HIDDEN_POWER,MUD_SLAP,ASTONISH,,
Optional Move 1,ABSORB,,HARDEN,TOXIC,,
Optional Move 2,HYPNOSIS,,CONFUSION,HIDDEN_POWER,,
Optional Move 3,BARRAGE,,RAPID_SPIN,LIGHT_SCREEN,,
Optional Move 4,STUN_SPORE,,HEAL_BLOCK,PROTECT,,
Optional Move 5,MOONLIGHT,,POWER_TRICK,FRUSTRATION,,
Optional Move 6,ANCIENT_POWER,,CALM_MIND,RETURN,,
Optional Move 7,PSYCH_UP,,TOXIC,SHADOW_BALL,,
Optional Move 8,INGRAIN,,HIDDEN_POWER,DOUBLE_TEAM,,
Optional Move 9,CURSE,,SUNNY_DAY,REFLECT,,
Optional Move 10,NATURE_POWER,,ICE_BEAM,SECRET_POWER,,
Optional Move 11,LUCKY_CHANT,,LIGHT_SCREEN,REST,,
Optional Move 12,LEAF_STORM,,PROTECT,THIEF,,
Optional Move 13,POWER_SWAP,,RAIN_DANCE,ENDURE,,
Optional Move 14,TOXIC,,SAFEGUARD,SLEEP_TALK,,
Optional Move 15,HIDDEN_POWER,,FRUSTRATION,SUBSTITUTE,,
Optional Move 16,SUNNY_DAY,,SOLAR_BEAM,,,
Optional Move 17,LIGHT_SCREEN,,EARTHQUAKE,,,
Optional Move 18,PROTECT,,RETURN,,,
Optional Move 19,FRUSTRATION,,DIG,,,
Optional Move 20,RETURN,,PSYCHIC,,,
Optional Move 21,PSYCHIC,,SHADOW_BALL,,,
Optional Move 22,DOUBLE_TEAM,,DOUBLE_TEAM,,,
Optional Move 23,SLUDGE_BOMB,,REFLECT,,,
Optional Move 24,FACADE,,FACADE,,,
Optional Move 25,SECRET_POWER,,SECRET_POWER,,,
Optional Move 26,REST,,REST,,,
Optional Move 27,ATTRACT,,SKILL_SWAP,,,
Optional Move 28,THIEF,,CHARGE_BEAM,,,
Optional Move 29,SKILL_SWAP,,ENDURE,,,
Optional Move 30,ENERGY_BALL,,RECYCLE,,,
Optional Move 31,ENDURE,,ROCK_POLISH,,,
Optional Move 32,EXPLOSION,,FLASH,,,
Optional Move 33,FLASH,,GYRO_BALL,,,
Optional Move 34,SWORDS_DANCE,,STEALTH_ROCK,,,
Optional Move 35,CAPTIVATE,,PSYCH_UP,,,
Optional Move 36,SLEEP_TALK,,ROCK_SLIDE,,,
Optional Move 37,DREAM_EATER,,SLEEP_TALK,,,
Optional Move 38,GRASS_KNOT,,NATURAL_GIFT,,,
Optional Move 39,SWAGGER,,DREAM_EATER,,,
Optional Move 40,SUBSTITUTE,,GRASS_KNOT,,,
Optional Move 41,TRICK_ROOM,,SWAGGER,,,
Optional Move 42,,,SUBSTITUTE,,,
Optional Move 43,,,TRICK_ROOM,,,
