Trainer 217,Pokemon 1,Pokemon 2,Pokemon 3,Pokemon 4,Pokemon 5,Pokemon 6
Species,FLETCHINDER,MEOWSTIC,SKRELP,LITLEO,FROGADIER,NONE
Level,21,21,21,21,21,
Ability,FLAME_BODY,KEEN_EYE,POISON_POINT,RIVALRY,TORRENT,
Held Item,NONE,NONE,NONE,NONE,NONE,
Move 1,AGILITY,COVET,FEINT_ATTACK,WORK_UP,GROWL,
Move 2,FLAME_CHARGE,PSYBEAM,SMOKESCREEN,HEADBUTT,WATER_PULSE,
Move 3,PECK,CONFUSION,WATER_GUN,EMBER,BUBBLE,
Move 4,QUICK_ATTACK,QUICK_GUARD,ACID,TACKLE,POUND,
Optional Move 1,EMBER,MEAN_LOOK,TACKLE,LEER,QUICK_ATTACK,
Optional Move 2,FEINT,SCRATCH,TAIL_WHIP,NOBLE_ROAR,LICK,
Optional Move 3,GROWL,LEER,BUBBLE,TAKE_DOWN,SMOKESCREEN,
Optional Move 4,TACKLE,FAKE_OUT,CAMOUFLAGE,ROAR,TOXIC,
Optional Move 5,FLAIL,DISARMING_VOICE,HAIL,TOXIC,HIDDEN_POWER,
Optional Move 6,TOXIC,HELPING_HAND,HIDDEN_POWER,HIDDEN_POWER,TAUNT,
Optional Move 7,HIDDEN_POWER,CHARM,PROTECT,SUNNY_DAY,ICE_BEAM,
Optional Move 8,SUNNY_DAY,CALM_MIND,RAIN_DANCE,TAUNT,BLIZZARD,
Optional Move 9,TAUNT,TOXIC,FRUSTRATION,PROTECT,PROTECT,
Optional Move 10,PROTECT,HIDDEN_POWER,IRON_TAIL,RAIN_DANCE,RAIN_DANCE,
Optional Move 11,RAIN_DANCE,SUNNY_DAY,THUNDERBOLT,FRUSTRATION,FRUSTRATION,
Optional Move 12,FRUSTRATION,HYPER_BEAM,RETURN,SOLAR_BEAM,RETURN,
Optional Move 13,RETURN,PROTECT,SHADOW_BALL,IRON_TAIL,DIG,
Optional Move 14,DOUBLE_TEAM,RAIN_DANCE,SHOCK_WAVE,RETURN,ROCK_TOMB,
Optional Move 15,FLAMETHROWER,SAFEGUARD,FACADE,DIG,AERIAL_ACE,
Optional Move 16,FIRE_BLAST,FRUSTRATION,SECRET_POWER,DOUBLE_TEAM,FACADE,
Optional Move 17,FACADE,IRON_TAIL,REST,FIRE_BLAST,SECRET_POWER,
Optional Move 18,SECRET_POWER,THUNDERBOLT,ATTRACT,FACADE,REST,
Optional Move 19,REST,RETURN,THIEF,SECRET_POWER,ATTRACT,
Optional Move 20,ATTRACT,DIG,ENDURE,REST,THIEF,
Optional Move 21,THIEF,SHADOW_BALL,SLEEP_TALK,ATTRACT,SNATCH,
Optional Move 22,SNATCH,DOUBLE_TEAM,SWAGGER,THIEF,FALSE_SWIPE,
Optional Move 23,ENDURE,SHOCK_WAVE,SUBSTITUTE,SNATCH,ENDURE,
Optional Move 24,WILL_O_WISP,TORMENT,,ENDURE,SWORDS_DANCE,
Optional Move 25,SWORDS_DANCE,FACADE,,WILL_O_WISP,ROCK_SLIDE,
Optional Move 26,SLEEP_TALK,SECRET_POWER,,PAYBACK,SLEEP_TALK,
Optional Move 27,SWAGGER,REST,,SLEEP_TALK,GRASS_KNOT,
Optional Move 28,U_TURN,ATTRACT,,SWAGGER,SWAGGER,
Optional Move 29,SUBSTITUTE,SKILL_SWAP,,SUBSTITUTE,U_TURN,
Optional Move 30,,SNATCH,,,,
Optional Move 31,,ENERGY_BALL,,,,
Optional Move 32,,CHARGE_BEAM,,,,
Optional Move 33,,ENDURE,,,,
Optional Move 34,,PAYBACK,,,,
Optional Move 35,,RECYCLE,,,,
Optional Move 36,,GIGA_IMPACT,,,,
Optional Move 37,,FLASH,,,,
Optional Move 38,,THUNDER_WAVE,,,,
Optional Move 39,,PSYCH_UP,,,,
Optional Move 40,,DARK_PULSE,,,,
Optional Move 41,,SLEEP_TALK,,,,
Optional Move 42,,DREAM_EATER,,,,
Optional Move 43,,SWAGGER,,,,
Optional Move 44,,SUBSTITUTE,,,,
Optional Move 45,,TRICK_ROOM,,,,
