Trainer 220,Pokemon 1,Pokemon 2,Pokemon 3,Pokemon 4,Pokemon 5,Pokemon 6
Species,DUOSION,HATTREM,PONYTA,NONE,NONE,NONE
Level,21,21,21,,,
Ability,OVERCOAT,HEALER,RUN_AWAY,,,
Held Item,NONE,NONE,NONE,,,
Move 1,ROLLOUT,BRUTAL_SWING,GROWL,,,
Move 2,REFLECT,LIFE_DEW,FLAME_WHEEL,,,
Move 3,PSYBEAM,PSYBEAM,FLAME_CHARGE,,,
Move 4,HIDDEN_POWER,CONFUSION,TACKLE,,,
Optional Move 1,PROTECT,PLAY_NICE,TAIL_WHIP,,,
Optional Move 2,CONFUSION,DISARMING_VOICE,EMBER,,,
Optional Move 3,RECOVER,AROMATHERAPY,THRASH,,,
Optional Move 4,ENDEAVOR,TOXIC,DOUBLE_KICK,,,
Optional Move 5,PSYWAVE,HIDDEN_POWER,HYPNOSIS,,,
Optional Move 6,SNATCH,LIGHT_SCREEN,CHARM,,,
Optional Move 7,CHARM,PROTECT,DOUBLE_EDGE,,,
Optional Move 8,LIGHT_SCREEN,GIGA_DRAIN,HORN_DRILL,,,
Optional Move 9,CALM_MIND,SAFEGUARD,MORNING_SUN,,,
Optional Move 10,TOXIC,FRUSTRATION,TOXIC,,,
Optional Move 11,SUNNY_DAY,RETURN,HIDDEN_POWER,,,
Optional Move 12,RAIN_DANCE,DOUBLE_TEAM,SUNNY_DAY,,,
Optional Move 13,SAFEGUARD,REFLECT,PROTECT,,,
Optional Move 14,FRUSTRATION,FACADE,FRUSTRATION,,,
Optional Move 15,THUNDER,SECRET_POWER,SOLAR_BEAM,,,
Optional Move 16,RETURN,REST,IRON_TAIL,,,
Optional Move 17,SHADOW_BALL,ATTRACT,RETURN,,,
Optional Move 18,DOUBLE_TEAM,SKILL_SWAP,DOUBLE_TEAM,,,
Optional Move 19,SHOCK_WAVE,ENDURE,FLAMETHROWER,,,
Optional Move 20,ROCK_TOMB,THUNDER_WAVE,FACADE,,,
Optional Move 21,FACADE,PSYCH_UP,SECRET_POWER,,,
Optional Move 22,SECRET_POWER,DARK_PULSE,REST,,,
Optional Move 23,REST,SLEEP_TALK,ATTRACT,,,
Optional Move 24,ATTRACT,SUBSTITUTE,OVERHEAT,,,
Optional Move 25,ENERGY_BALL,TRICK_ROOM,ENDURE,,,
Optional Move 26,ENDURE,,WILL_O_WISP,,,
Optional Move 27,EMBARGO,,CAPTIVATE,,,
Optional Move 28,EXPLOSION,,SLEEP_TALK,,,
Optional Move 29,FLASH,,NATURAL_GIFT,,,
Optional Move 30,THUNDER_WAVE,,SWAGGER,,,
Optional Move 31,GYRO_BALL,,SUBSTITUTE,,,
Optional Move 32,PSYCH_UP,,,,,
Optional Move 33,ROCK_SLIDE,,,,,
Optional Move 34,SLEEP_TALK,,,,,
Optional Move 35,DREAM_EATER,,,,,
Optional Move 36,SWAGGER,,,,,
Optional Move 37,SUBSTITUTE,,,,,
Optional Move 38,FLASH_CANNON,,,,,
Optional Move 39,TRICK_ROOM,,,,,
