Trainer 226,Pokemon 1,Pokemon 2,Pokemon 3,Pokemon 4,Pokemon 5,Pokemon 6
Species,POLIWHIRL,MR_MIME,GRAVELER,NONE,NONE,NONE
Level,22,22,22,,,
Ability,WATER_ABSORB,SOUNDPROOF,ROCK_HEAD,,,
Held Item,NONE,NONE,NONE,,,
Move 1,MUD_SHOT,CONFUSION,BULLDOZE,,,
Move 2,WATER_SPORT,BARRIER,ROCK_POLISH,,,
Move 3,BUBBLE_BEAM,MAGICAL_LEAF,ROCK_THROW,,,
Move 4,POUND,GUARD_SWAP,SMACK_DOWN,,,
Optional Move 1,WATER_GUN,QUICK_GUARD,TACKLE,,,
Optional Move 2,HYPNOSIS,WIDE_GUARD,DEFENSE_CURL,,,
Optional Move 3,BUBBLE,POWER_SWAP,MUD_SPORT,,,
Optional Move 4,DOUBLE_SLAP,POUND,ROLLOUT,,,
Optional Move 5,RAIN_DANCE,COPYCAT,MAGNITUDE,,,
Optional Move 6,FOCUS_PUNCH,BATON_PASS,FOCUS_PUNCH,,,
Optional Move 7,WATER_PULSE,ENCORE,TOXIC,,,
Optional Move 8,TOXIC,MISTY_TERRAIN,HIDDEN_POWER,,,
Optional Move 9,HAIL,MEDITATE,SUNNY_DAY,,,
Optional Move 10,HIDDEN_POWER,DOUBLE_SLAP,PROTECT,,,
Optional Move 11,ICE_BEAM,PSYWAVE,FRUSTRATION,,,
Optional Move 12,BLIZZARD,PROTECT,RETURN,,,
Optional Move 13,PROTECT,FUTURE_SIGHT,DIG,,,
Optional Move 14,FRUSTRATION,HYPNOSIS,BRICK_BREAK,,,
Optional Move 15,EARTHQUAKE,PSYCH_UP,DOUBLE_TEAM,,,
Optional Move 16,RETURN,FAKE_OUT,FLAMETHROWER,,,
Optional Move 17,DIG,CONFUSE_RAY,SANDSTORM,,,
Optional Move 18,PSYCHIC,WAKE_UP_SLAP,FIRE_BLAST,,,
Optional Move 19,BRICK_BREAK,NASTY_PLOT,ROCK_TOMB,,,
Optional Move 20,DOUBLE_TEAM,FOCUS_PUNCH,FACADE,,,
Optional Move 21,FACADE,CALM_MIND,SECRET_POWER,,,
Optional Move 22,SECRET_POWER,TOXIC,REST,,,
Optional Move 23,REST,HIDDEN_POWER,ATTRACT,,,
Optional Move 24,ATTRACT,SUNNY_DAY,FOCUS_BLAST,,,
Optional Move 25,THIEF,TAUNT,FLING,,,
Optional Move 26,FLING,BLIZZARD,ENDURE,,,
Optional Move 27,ENDURE,HYPER_BEAM,GYRO_BALL,,,
Optional Move 28,PSYCH_UP,RAIN_DANCE,CAPTIVATE,,,
Optional Move 29,CAPTIVATE,FRUSTRATION,ROCK_SLIDE,,,
Optional Move 30,SLEEP_TALK,SOLAR_BEAM,SLEEP_TALK,,,
Optional Move 31,NATURAL_GIFT,THUNDERBOLT,NATURAL_GIFT,,,
Optional Move 32,SWAGGER,THUNDER,SWAGGER,,,
Optional Move 33,SUBSTITUTE,RETURN,SUBSTITUTE,,,
Optional Move 34,,SHADOW_BALL,,,,
Optional Move 35,,BRICK_BREAK,,,,
Optional Move 36,,DOUBLE_TEAM,,,,
Optional Move 37,,SHOCK_WAVE,,,,
Optional Move 38,,AERIAL_ACE,,,,
Optional Move 39,,TORMENT,,,,
Optional Move 40,,FACADE,,,,
Optional Move 41,,SECRET_POWER,,,,
Optional Move 42,,REST,,,,
Optional Move 43,,ATTRACT,,,,
Optional Move 44,,THIEF,,,,
Optional Move 45,,SKILL_SWAP,,,,
Optional Move 46,,SNATCH,,,,
Optional Move 47,,FOCUS_BLAST,,,,
Optional Move 48,,ENERGY_BALL,,,,
Optional Move 49,,FLING,,,,
Optional Move 50,,CHARGE_BEAM,,,,
Optional Move 51,,ENDURE,,,,
Optional Move 52,,DRAIN_PUNCH,,,,
Optional Move 53,,PAYBACK,,,,
Optional Move 54,,GIGA_IMPACT,,,,
Optional Move 55,,FLASH,,,,
Optional Move 56,,THUNDER_WAVE,,,,
Optional Move 57,,CAPTIVATE,,,,
Optional Move 58,,SLEEP_TALK,,,,
Optional Move 59,,NATURAL_GIFT,,,,
Optional Move 60,,DREAM_EATER,,,,
Optional Move 61,,GRASS_KNOT,,,,
Optional Move 62,,SWAGGER,,,,
Optional Move 63,,TRICK_ROOM,,,,
