Trainer 230,Pokemon 1,Pokemon 2,Pokemon 3,Pokemon 4,Pokemon 5,Pokemon 6
Species,FURRET,EMOLGA,JYNX,LUMINEON,BUTTERFREE,CAMERUPT
Level,22,22,22,22,22,22
Ability,RUN_AWAY,STATIC,OBLIVIOUS,SWIFT_SWIM,COMPOUND_EYES,MAGMA_ARMOR
Held Item,NONE,NONE,NONE,NONE,NONE,NONE
Move 1,AGILITY,CHARGE,COVET,GUST,SILVER_WIND,ERUPTION
Move 2,QUICK_ATTACK,SPARK,CONFUSION,SOAK,PSYBEAM,ROCK_SLIDE
Move 3,SCRATCH,SHOCK_WAVE,HEART_STAMP,WATER_PULSE,BUG_BITE,LAVA_PLUME
Move 4,COIL,THUNDER_SHOCK,POWDER_SNOW,WATER_GUN,GUST,MAGNITUDE
Optional Move 1,FORESIGHT,NUZZLE,SWEET_KISS,POUND,HARDEN,FISSURE
Optional Move 2,DEFENSE_CURL,TAIL_WHIP,LICK,ATTRACT,TACKLE,GROWL
Optional Move 3,FURY_SWIPES,QUICK_ATTACK,POUND,RAIN_DANCE,STRING_SHOT,TACKLE
Optional Move 4,HELPING_HAND,DOUBLE_TEAM,COPYCAT,TOXIC,CONFUSION,EMBER
Optional Move 5,FOLLOW_ME,PURSUIT,DRAINING_KISS,HAIL,SUPERSONIC,FOCUS_ENERGY
Optional Move 6,FOCUS_PUNCH,AIR_SLASH,PERISH_SONG,HIDDEN_POWER,POISON_POWDER,FLAME_BURST
Optional Move 7,WATER_PULSE,ASTONISH,LOVELY_KISS,ICE_BEAM,STUN_SPORE,AMNESIA
Optional Move 8,TOXIC,BATON_PASS,DOUBLE_SLAP,BLIZZARD,SLEEP_POWDER,ROAR
Optional Move 9,HIDDEN_POWER,CHARM,SING,HYPER_BEAM,TOXIC,TOXIC
Optional Move 10,SUNNY_DAY,COVET,FOCUS_PUNCH,PROTECT,HIDDEN_POWER,HIDDEN_POWER
Optional Move 11,ICE_BEAM,IRON_TAIL,WATER_PULSE,FRUSTRATION,SUNNY_DAY,SUNNY_DAY
Optional Move 12,BLIZZARD,ROOST,CALM_MIND,RETURN,HYPER_BEAM,HYPER_BEAM
Optional Move 13,HYPER_BEAM,TICKLE,TOXIC,DOUBLE_TEAM,PROTECT,PROTECT
Optional Move 14,PROTECT,TOXIC,HAIL,FACADE,RAIN_DANCE,RAIN_DANCE
