Trainer 232,Pokemon 1,Pokemon 2,Pokemon 3,Pokemon 4,Pokemon 5,Pokemon 6
Species,CHARJABUG,KADABRA,SPINDA,VANILLISH,YAMASK,NONE
Level,24,24,24,24,24,
Ability,BATTERY,SYNCHRONIZE,OWN_TEMPO,ICE_BODY,WANDERING_SPIRIT,
Held Item,NONE,NONE,NONE,NONE,NONE,
Move 1,MUD_SLAP,TELEPORT,PSYBEAM,UPROAR,HEX,
Move 2,CHARGE,PSYBEAM,COPYCAT,MIST,PROTECT,
Move 3,SPARK,PSYCHO_CUT,DIZZY_PUNCH,ICY_WIND,BRUTAL_SWING,
Move 4,BUG_BITE,CONFUSION,FEINT_ATTACK,AVALANCHE,ASTONISH,
Optional Move 1,VICE_GRIP,KINESIS,TACKLE,ASTONISH,HAZE,
Optional Move 2,STRING_SHOT,DISABLE,HYPNOSIS,HARDEN,DISABLE,
Optional Move 3,BITE,REFLECT,ENCORE,TAUNT,NIGHT_SHADE,
Optional Move 4,ACROBATICS,MIRACLE_EYE,ROCK_SLIDE,ICICLE_SPEAR,WILL_O_WISP,
Optional Move 5,TOXIC,ALLY_SWITCH,ASSIST,WATER_PULSE,CRAFTY_SHIELD,
Optional Move 6,HIDDEN_POWER,FOCUS_PUNCH,DISABLE,TOXIC,ENDURE,
Optional Move 7,LIGHT_SCREEN,TOXIC,BATON_PASS,HIDDEN_POWER,FAKE_TEARS,
Optional Move 8,PROTECT,HIDDEN_POWER,WISH,LIGHT_SCREEN,HEAL_BLOCK,
Optional Move 9,RAIN_DANCE,SUNNY_DAY,TRICK,PROTECT,IMPRISON,
Optional Move 10,FRUSTRATION,TAUNT,SMELLING_SALTS,RAIN_DANCE,MEMENTO,
Optional Move 11,THUNDERBOLT,LIGHT_SCREEN,FAKE_OUT,FRUSTRATION,NASTY_PLOT,
Optional Move 12,THUNDER,PROTECT,ROLE_PLAY,RETURN,NIGHTMARE,
Optional Move 13,RETURN,RAIN_DANCE,PSYCHO_CUT,DOUBLE_TEAM,CALM_MIND,
Optional Move 14,DOUBLE_TEAM,SAFEGUARD,FOCUS_PUNCH,FACADE,TOXIC,
Optional Move 15,SHOCK_WAVE,FRUSTRATION,WATER_PULSE,SECRET_POWER,HIDDEN_POWER,
Optional Move 16,FACADE,IRON_TAIL,CALM_MIND,REST,RAIN_DANCE,
Optional Move 17,SECRET_POWER,RETURN,TOXIC,ATTRACT,SAFEGUARD,
Optional Move 18,REST,SHADOW_BALL,HIDDEN_POWER,ENDURE,FRUSTRATION,
Optional Move 19,ATTRACT,DOUBLE_TEAM,SUNNY_DAY,EXPLOSION,RETURN,
Optional Move 20,CHARGE_BEAM,SHOCK_WAVE,PROTECT,SLEEP_TALK,PSYCHIC,
Optional Move 21,ENDURE,TORMENT,RAIN_DANCE,NATURAL_GIFT,DOUBLE_TEAM,
Optional Move 22,THUNDER_WAVE,FACADE,SAFEGUARD,SWAGGER,SHOCK_WAVE,
Optional Move 23,SLEEP_TALK,SECRET_POWER,FRUSTRATION,SUBSTITUTE,FACADE,
Optional Move 24,POISON_JAB,REST,RETURN,FLASH_CANNON,SECRET_POWER,
Optional Move 25,SWAGGER,ATTRACT,DIG,,REST,
Optional Move 26,SUBSTITUTE,THIEF,PSYCHIC,,ATTRACT,
Optional Move 27,,SKILL_SWAP,SHADOW_BALL,,THIEF,
Optional Move 28,,SNATCH,BRICK_BREAK,,SKILL_SWAP,
Optional Move 29,,ENERGY_BALL,DOUBLE_TEAM,,ENERGY_BALL,
Optional Move 30,,FLING,SHOCK_WAVE,,EMBARGO,
Optional Move 31,,CHARGE_BEAM,ROCK_TOMB,,PAYBACK,
Optional Move 32,,ENDURE,FACADE,,FLASH,
Optional Move 33,,DRAIN_PUNCH,SECRET_POWER,,PSYCH_UP,
Optional Move 34,,EMBARGO,REST,,SLEEP_TALK,
Optional Move 35,,RECYCLE,ATTRACT,,DREAM_EATER,
Optional Move 36,,FLASH,THIEF,,SWAGGER,
Optional Move 37,,THUNDER_WAVE,SKILL_SWAP,,SUBSTITUTE,
Optional Move 38,,PSYCH_UP,SNATCH,,TRICK_ROOM,
Optional Move 39,,CAPTIVATE,FLING,,,
Optional Move 40,,SLEEP_TALK,ENDURE,,,
Optional Move 41,,NATURAL_GIFT,DRAIN_PUNCH,,,
Optional Move 42,,DREAM_EATER,RECYCLE,,,
Optional Move 43,,GRASS_KNOT,FLASH,,,
Optional Move 44,,SWAGGER,CAPTIVATE,,,
Optional Move 45,,SUBSTITUTE,SLEEP_TALK,,,
Optional Move 46,,TRICK_ROOM,NATURAL_GIFT,,,
Optional Move 47,,,DREAM_EATER,,,
Optional Move 48,,,SWAGGER,,,
Optional Move 49,,,SUBSTITUTE,,,
Optional Move 50,,,TRICK_ROOM,,,
