Trainer 233,Pokemon 1,Pokemon 2,Pokemon 3,Pokemon 4,Pokemon 5,Pokemon 6
Species,DELCATTY,ELEKID,PORYGON,SNOVER,LEDIAN,NONE
Level,24,24,24,24,24,
Ability,CUTE_CHARM,STATIC,TRACE,SNOW_WARNING,SWARM,
Held Item,NONE,NONE,NONE,NONE,NONE,
Move 1,ATTRACT,CHARGE,PSYBEAM,RAZOR_LEAF,MACH_PUNCH,
Move 2,FAKE_OUT,SHOCK_WAVE,AGILITY,SWAGGER,LIGHT_SCREEN,
Move 3,SING,SWIFT,THUNDER_SHOCK,ICY_WIND,SILVER_WIND,
Move 4,DOUBLE_SLAP,THUNDER_SHOCK,TACKLE,POWDER_SNOW,SWIFT,
Optional Move 1,WATER_PULSE,QUICK_ATTACK,CONVERSION,LEER,TACKLE,
Optional Move 2,CALM_MIND,LEER,CONVERSION_2,LEAFAGE,SUPERSONIC,
Optional Move 3,TOXIC,THUNDER_WAVE,SHARPEN,GRASS_WHISTLE,REFLECT,
Optional Move 4,HIDDEN_POWER,LOW_KICK,MAGNET_RISE,MIST,SAFEGUARD,
Optional Move 5,SUNNY_DAY,ELECTRO_BALL,RECYCLE,ICE_SHARD,COMET_PUNCH,
Optional Move 6,ICE_BEAM,KARATE_CHOP,TOXIC,LEECH_SEED,FOCUS_PUNCH,
Optional Move 7,BLIZZARD,BARRIER,HIDDEN_POWER,MAGICAL_LEAF,TOXIC,
Optional Move 8,HYPER_BEAM,ROLLING_KICK,SUNNY_DAY,SEED_BOMB,HIDDEN_POWER,
Optional Move 9,PROTECT,MEDITATE,ICE_BEAM,GROWTH,SUNNY_DAY,
Optional Move 10,RAIN_DANCE,CROSS_CHOP,BLIZZARD,DOUBLE_EDGE,HYPER_BEAM,
Optional Move 11,SAFEGUARD,FIRE_PUNCH,HYPER_BEAM,STOMP,PROTECT,
Optional Move 12,FRUSTRATION,ICE_PUNCH,PROTECT,SKULL_BASH,GIGA_DRAIN,
Optional Move 13,SOLAR_BEAM,DYNAMIC_PUNCH,RAIN_DANCE,WATER_PULSE,FRUSTRATION,
Optional Move 14,IRON_TAIL,FEINT,FRUSTRATION,TOXIC,SOLAR_BEAM,
Optional Move 15,THUNDERBOLT,FOCUS_PUNCH,SOLAR_BEAM,HAIL,RETURN,
Optional Move 16,THUNDER,TOXIC,IRON_TAIL,BULLET_SEED,DIG,
Optional Move 17,RETURN,HIDDEN_POWER,THUNDERBOLT,HIDDEN_POWER,BRICK_BREAK,
Optional Move 18,DIG,TAUNT,THUNDER,ICE_BEAM,DOUBLE_TEAM,
Optional Move 19,SHADOW_BALL,PROTECT,RETURN,PROTECT,AERIAL_ACE,
Optional Move 20,DOUBLE_TEAM,RAIN_DANCE,PSYCHIC,RAIN_DANCE,FACADE,
Optional Move 21,SHOCK_WAVE,FRUSTRATION,SHADOW_BALL,GIGA_DRAIN,SECRET_POWER,
Optional Move 22,FACADE,RETURN,DOUBLE_TEAM,SAFEGUARD,REST,
Optional Move 23,SECRET_POWER,PSYCHIC,SHOCK_WAVE,FRUSTRATION,ATTRACT,
Optional Move 24,REST,BRICK_BREAK,FACADE,SOLAR_BEAM,THIEF,
Optional Move 25,CHARGE_BEAM,DOUBLE_TEAM,SECRET_POWER,IRON_TAIL,ROOST,
Optional Move 26,ENDURE,FACADE,REST,RETURN,FOCUS_BLAST,
Optional Move 27,PAYBACK,SECRET_POWER,THIEF,DOUBLE_TEAM,FLING,
Optional Move 28,GIGA_IMPACT,REST,CHARGE_BEAM,FACADE,ENDURE,
Optional Move 29,FLASH,ATTRACT,ENDURE,SECRET_POWER,DRAIN_PUNCH,
Optional Move 30,THUNDER_WAVE,THIEF,GIGA_IMPACT,REST,GIGA_IMPACT,
Optional Move 31,PSYCH_UP,FOCUS_BLAST,FLASH,ATTRACT,FLASH,
Optional Move 32,CAPTIVATE,FLING,THUNDER_WAVE,ENERGY_BALL,SWORDS_DANCE,
Optional Move 33,SLEEP_TALK,CHARGE_BEAM,SLEEP_TALK,ENDURE,CAPTIVATE,
Optional Move 34,NATURAL_GIFT,ENDURE,NATURAL_GIFT,FLASH,SLEEP_TALK,
Optional Move 35,DREAM_EATER,FLASH,DREAM_EATER,AVALANCHE,NATURAL_GIFT,
Optional Move 36,GRASS_KNOT,CAPTIVATE,SWAGGER,SWORDS_DANCE,SWAGGER,
Optional Move 37,SWAGGER,SLEEP_TALK,SUBSTITUTE,CAPTIVATE,U_TURN,
Optional Move 38,SUBSTITUTE,NATURAL_GIFT,TRICK_ROOM,SLEEP_TALK,SUBSTITUTE,
Optional Move 39,,SWAGGER,,NATURAL_GIFT,,
Optional Move 40,,SUBSTITUTE,,GRASS_KNOT,,
Optional Move 41,,,,SUBSTITUTE,,
