Trainer 238,Pokemon 1,Pokemon 2,Pokemon 3,Pokemon 4,Pokemon 5,Pokemon 6
Species,ROSELIA,GRUMPIG,HAUNTER,TYRUNT,MEDICHAM,NONE
Level,24,24,24,24,24,
Ability,NATURAL_CURE,THICK_FAT,LEVITATE,STRONG_JAW,PURE_POWER,
Held Item,NONE,NONE,NONE,NONE,NONE,
Move 1,MAGICAL_LEAF,BELCH,SHADOW_PUNCH,DRAGON_TAIL,ZEN_HEADBUTT,
Move 2,MEGA_DRAIN,MAGIC_COAT,CONFUSE_RAY,STEALTH_ROCK,FIRE_PUNCH,
Move 3,LEECH_SEED,PSYBEAM,PAYBACK,STOMP,ICE_PUNCH,
Move 4,POISON_STING,CONFUSE_RAY,SPITE,ANCIENT_POWER,FORCE_PALM,
Optional Move 1,ABSORB,TEETER_DANCE,LICK,TACKLE,THUNDER_PUNCH,
Optional Move 2,GROWTH,SPLASH,HYPNOSIS,TAIL_WHIP,BIDE,
Optional Move 3,STUN_SPORE,PSYWAVE,MEAN_LOOK,ROAR,MEDITATE,
Optional Move 4,WORRY_SEED,ODOR_SLEUTH,CURSE,BIDE,CONFUSION,
Optional Move 5,GRASS_WHISTLE,PSYCH_UP,NIGHT_SHADE,CHARM,DETECT,
Optional Move 6,TOXIC_SPIKES,FOCUS_PUNCH,TOXIC,BITE,ENDURE,
Optional Move 7,SPIKES,CALM_MIND,HIDDEN_POWER,TOXIC,FEINT,
Optional Move 8,PIN_MISSILE,TOXIC,SUNNY_DAY,HIDDEN_POWER,HIDDEN_POWER,
Optional Move 9,COTTON_SPORE,HIDDEN_POWER,TAUNT,SUNNY_DAY,CALM_MIND,
Optional Move 10,SLEEP_POWDER,SUNNY_DAY,PROTECT,PROTECT,FOCUS_PUNCH,
Optional Move 11,RAZOR_LEAF,TAUNT,RAIN_DANCE,FRUSTRATION,TOXIC,
Optional Move 12,MIND_READER,HYPER_BEAM,GIGA_DRAIN,IRON_TAIL,BULK_UP,
Optional Move 13,LEAF_STORM,LIGHT_SCREEN,FRUSTRATION,RETURN,SUNNY_DAY,
Optional Move 14,BULLET_SEED,PROTECT,THUNDERBOLT,DIG,TAUNT,
Optional Move 15,HIDDEN_POWER,RAIN_DANCE,THUNDER,BRICK_BREAK,HYPER_BEAM,
Optional Move 16,SUNNY_DAY,FRUSTRATION,RETURN,DOUBLE_TEAM,LIGHT_SCREEN,
Optional Move 17,PROTECT,IRON_TAIL,PSYCHIC,SANDSTORM,PROTECT,
Optional Move 18,RAIN_DANCE,RETURN,DOUBLE_TEAM,ROCK_TOMB,RAIN_DANCE,
Optional Move 19,FRUSTRATION,DIG,SLUDGE_BOMB,AERIAL_ACE,FRUSTRATION,
Optional Move 20,SOLAR_BEAM,SHADOW_BALL,TORMENT,FACADE,RETURN,
Optional Move 21,RETURN,BRICK_BREAK,FACADE,SECRET_POWER,PSYCHIC,
Optional Move 22,SHADOW_BALL,DOUBLE_TEAM,SECRET_POWER,REST,SHADOW_BALL,
Optional Move 23,DOUBLE_TEAM,REFLECT,REST,ATTRACT,BRICK_BREAK,
Optional Move 24,SLUDGE_BOMB,SHOCK_WAVE,ATTRACT,ENDURE,DOUBLE_TEAM,
Optional Move 25,FACADE,TORMENT,THIEF,DRAGON_PULSE,REFLECT,
Optional Move 26,SECRET_POWER,FACADE,SKILL_SWAP,ROCK_POLISH,ROCK_TOMB,
Optional Move 27,REST,SECRET_POWER,SNATCH,STONE_EDGE,AERIAL_ACE,
Optional Move 28,ATTRACT,ATTRACT,FOCUS_BLAST,DARK_PULSE,FACADE,
Optional Move 29,ENERGY_BALL,THIEF,ENERGY_BALL,SLEEP_TALK,SECRET_POWER,
Optional Move 30,ENDURE,SKILL_SWAP,FLING,SWAGGER,REST,
Optional Move 31,FLASH,SNATCH,ENDURE,SUBSTITUTE,ATTRACT,
Optional Move 32,SWORDS_DANCE,FOCUS_BLAST,WILL_O_WISP,,THIEF,
Optional Move 33,PSYCH_UP,ENERGY_BALL,EMBARGO,,SKILL_SWAP,
Optional Move 34,CAPTIVATE,FLING,EXPLOSION,,FOCUS_BLAST,
Optional Move 35,SLEEP_TALK,CHARGE_BEAM,SHADOW_CLAW,,ENERGY_BALL,
Optional Move 36,NATURAL_GIFT,ENDURE,PSYCH_UP,,FLING,
Optional Move 37,POISON_JAB,DRAIN_PUNCH,CAPTIVATE,,DRAIN_PUNCH,
Optional Move 38,GRASS_KNOT,RECYCLE,SLEEP_TALK,,RECYCLE,
Optional Move 39,SWAGGER,GIGA_IMPACT,NATURAL_GIFT,,GIGA_IMPACT,
Optional Move 40,SUBSTITUTE,FLASH,POISON_JAB,,FLASH,
Optional Move 41,,THUNDER_WAVE,SWAGGER,,CAPTIVATE,
Optional Move 42,,CAPTIVATE,SUBSTITUTE,,ROCK_SLIDE,
Optional Move 43,,SLEEP_TALK,TRICK_ROOM,,SLEEP_TALK,
Optional Move 44,,NATURAL_GIFT,,,NATURAL_GIFT,
Optional Move 45,,DREAM_EATER,,,POISON_JAB,
Optional Move 46,,GRASS_KNOT,,,DREAM_EATER,
Optional Move 47,,SWAGGER,,,GRASS_KNOT,
Optional Move 48,,SUBSTITUTE,,,SWAGGER,
Optional Move 49,,FLASH_CANNON,,,SUBSTITUTE,
Optional Move 50,,TRICK_ROOM,,,TRICK_ROOM,
