Trainer 241,Pokemon 1,Pokemon 2,Pokemon 3,Pokemon 4,Pokemon 5,Pokemon 6
Species,GURDURR,ILLUMISE,QUAGSIRE,NONE,NONE,NONE
Level,24,24,24,,,
Ability,GUTS,OBLIVIOUS,DAMP,,,
Held Item,NONE,NONE,NONE,,,
Move 1,ROCK_THROW,STRUGGLE_BUG,SLAM,,,
Move 2,BULK_UP,PLAY_NICE,MUD_BOMB,,,
Move 3,WAKE_UP_SLAP,SWEET_SCENT,MUD_SHOT,,,
Move 4,SLAM,CHARM,WATER_GUN,,,
Optional Move 1,POUND,TACKLE,TAIL_WHIP,,,
Optional Move 2,LEER,QUICK_ATTACK,RAIN_DANCE,,,
Optional Move 3,LOW_KICK,MOONLIGHT,MUD_SPORT,,,
Optional Move 4,FOCUS_ENERGY,WISH,FOCUS_PUNCH,,,
Optional Move 5,BIDE,BATON_PASS,WATER_PULSE,,,
Optional Move 6,CHIP_AWAY,SILVER_WIND,HAIL,,,
Optional Move 7,TOXIC,GROWTH,HIDDEN_POWER,,,
Optional Move 8,HIDDEN_POWER,FOCUS_PUNCH,ICE_BEAM,,,
Optional Move 9,SUNNY_DAY,WATER_PULSE,BLIZZARD,,,
Optional Move 10,TAUNT,TOXIC,HYPER_BEAM,,,
Optional Move 11,PROTECT,HIDDEN_POWER,PROTECT,,,
Optional Move 12,RAIN_DANCE,SUNNY_DAY,SAFEGUARD,,,
Optional Move 13,FRUSTRATION,LIGHT_SCREEN,FRUSTRATION,,,
Optional Move 14,RETURN,PROTECT,IRON_TAIL,,,
Optional Move 15,DIG,RAIN_DANCE,RETURN,,,
Optional Move 16,BRICK_BREAK,GIGA_DRAIN,DIG,,,
Optional Move 17,DOUBLE_TEAM,FRUSTRATION,BRICK_BREAK,,,
Optional Move 18,ROCK_TOMB,SOLAR_BEAM,DOUBLE_TEAM,,,
Optional Move 19,FACADE,THUNDERBOLT,SLUDGE_BOMB,,,
Optional Move 20,SECRET_POWER,THUNDER,SANDSTORM,,,
Optional Move 21,REST,RETURN,ROCK_TOMB,,,
Optional Move 22,ATTRACT,SHADOW_BALL,FACADE,,,
Optional Move 23,THIEF,BRICK_BREAK,SECRET_POWER,,,
Optional Move 24,FOCUS_BLAST,DOUBLE_TEAM,REST,,,
Optional Move 25,FLING,SHOCK_WAVE,ATTRACT,,,
Optional Move 26,ENDURE,AERIAL_ACE,THIEF,,,
Optional Move 27,DRAIN_PUNCH,FACADE,FOCUS_BLAST,,,
Optional Move 28,PAYBACK,SECRET_POWER,FLING,,,
Optional Move 29,SLEEP_TALK,REST,ENDURE,,,
Optional Move 30,POISON_JAB,ATTRACT,DRAIN_PUNCH,,,
Optional Move 31,GRASS_KNOT,THIEF,GIGA_IMPACT,,,
Optional Move 32,SWAGGER,ROOST,FLASH,,,
Optional Move 33,SUBSTITUTE,FLING,STONE_EDGE,,,
Optional Move 34,,CHARGE_BEAM,AVALANCHE,,,
Optional Move 35,,ENDURE,STEALTH_ROCK,,,
Optional Move 36,,FLASH,CAPTIVATE,,,
Optional Move 37,,THUNDER_WAVE,ROCK_SLIDE,,,
Optional Move 38,,PSYCH_UP,SLEEP_TALK,,,
Optional Move 39,,CAPTIVATE,NATURAL_GIFT,,,
Optional Move 40,,SLEEP_TALK,SWAGGER,,,
Optional Move 41,,NATURAL_GIFT,SUBSTITUTE,,,
Optional Move 42,,SWAGGER,,,,
Optional Move 43,,U_TURN,,,,
Optional Move 44,,SUBSTITUTE,,,,
