Trainer 243,Pokemon 1,Pokemon 2,Pokemon 3,Pokemon 4,Pokemon 5,Pokemon 6
Species,DUGTRIO,KECLEON,SEAKING,DODUO,NONE,NONE
Level,24,24,24,24,,
Ability,SAND_VEIL,COLOR_CHANGE,SWIFT_SWIM,RUN_AWAY,,
Held Item,NONE,NONE,NONE,NONE,,
Move 1,TRI_ATTACK,TAIL_WHIP,MEGAHORN,GROWL,,
Move 2,BULLDOZE,THIEF,POISON_JAB,PLUCK,,
Move 3,NIGHT_SLASH,FEINT_ATTACK,HORN_ATTACK,QUICK_ATTACK,,
Move 4,METAL_CLAW,SCRATCH,WATER_PULSE,PECK,,
Optional Move 1,SAND_TOMB,ASTONISH,PECK,RAGE,,
Optional Move 2,SAND_ATTACK,LICK,TAIL_WHIP,FURY_ATTACK,,
Optional Move 3,SCRATCH,BIND,SUPERSONIC,PURSUIT,,
Optional Move 4,GROWL,SHADOW_SNEAK,WATER_SPORT,DOUBLE_HIT,,
Optional Move 5,ASTONISH,FEINT,FLAIL,SUPERSONIC,,
Optional Move 6,ROTOTILLER,FURY_SWIPES,AQUA_RING,HAZE,,
Optional Move 7,MUD_SLAP,PSYBEAM,AGILITY,FEINT_ATTACK,,
Optional Move 8,MAGNITUDE,ANCIENT_POWER,FURY_ATTACK,FLAIL,,
Optional Move 9,SUCKER_PUNCH,DISABLE,TOXIC,MIRROR_MOVE,,
Optional Move 10,TOXIC,MAGIC_COAT,HAIL,BRAVE_BIRD,,
Optional Move 11,HIDDEN_POWER,TRICK,HIDDEN_POWER,TOXIC,,
Optional Move 12,SUNNY_DAY,FAKE_OUT,ICE_BEAM,HIDDEN_POWER,,
Optional Move 13,HYPER_BEAM,NASTY_PLOT,BLIZZARD,SUNNY_DAY,,
Optional Move 14,PROTECT,DIZZY_PUNCH,HYPER_BEAM,PROTECT,,
Optional Move 15,FRUSTRATION,RECOVER,PROTECT,RAIN_DANCE,,
Optional Move 16,RETURN,FOCUS_PUNCH,RAIN_DANCE,FRUSTRATION,,
Optional Move 17,DOUBLE_TEAM,WATER_PULSE,FRUSTRATION,RETURN,,
Optional Move 18,SLUDGE_BOMB,TOXIC,RETURN,DOUBLE_TEAM,,
Optional Move 19,ROCK_TOMB,HIDDEN_POWER,DOUBLE_TEAM,AERIAL_ACE,,
Optional Move 20,FACADE,SUNNY_DAY,FACADE,FACADE,,
Optional Move 21,SECRET_POWER,ICE_BEAM,SECRET_POWER,SECRET_POWER,,
Optional Move 22,REST,BLIZZARD,REST,REST,,
Optional Move 23,ATTRACT,PROTECT,ATTRACT,ATTRACT,,
Optional Move 24,THIEF,RAIN_DANCE,ENDURE,THIEF,,
Optional Move 25,ENDURE,FRUSTRATION,GIGA_IMPACT,STEEL_WING,,
Optional Move 26,SHADOW_CLAW,SOLAR_BEAM,SWORDS_DANCE,ROOST,,
Optional Move 27,GIGA_IMPACT,IRON_TAIL,CAPTIVATE,ENDURE,,
Optional Move 28,STONE_EDGE,THUNDERBOLT,SLEEP_TALK,CAPTIVATE,,
Optional Move 29,SWORDS_DANCE,THUNDER,NATURAL_GIFT,SLEEP_TALK,,
Optional Move 30,STEALTH_ROCK,RETURN,SWAGGER,NATURAL_GIFT,,
Optional Move 31,CAPTIVATE,DIG,SUBSTITUTE,SWAGGER,,
Optional Move 32,ROCK_SLIDE,SHADOW_BALL,,SUBSTITUTE,,
Optional Move 33,SLEEP_TALK,BRICK_BREAK,,,,
Optional Move 34,NATURAL_GIFT,DOUBLE_TEAM,,,,
Optional Move 35,SWAGGER,SHOCK_WAVE,,,,
Optional Move 36,SUBSTITUTE,FLAMETHROWER,,,,
Optional Move 37,,FIRE_BLAST,,,,
Optional Move 38,,ROCK_TOMB,,,,
Optional Move 39,,AERIAL_ACE,,,,
Optional Move 40,,FACADE,,,,
Optional Move 41,,SECRET_POWER,,,,
Optional Move 42,,REST,,,,
Optional Move 43,,ATTRACT,,,,
Optional Move 44,,SKILL_SWAP,,,,
Optional Move 45,,SNATCH,,,,
Optional Move 46,,FLING,,,,
Optional Move 47,,CHARGE_BEAM,,,,
Optional Move 48,,ENDURE,,,,
Optional Move 49,,DRAIN_PUNCH,,,,
Optional Move 50,,RECYCLE,,,,
Optional Move 51,,FLASH,,,,
Optional Move 52,,THUNDER_WAVE,,,,
Optional Move 53,,STEALTH_ROCK,,,,
Optional Move 54,,PSYCH_UP,,,,
Optional Move 55,,CAPTIVATE,,,,
Optional Move 56,,ROCK_SLIDE,,,,
Optional Move 57,,SLEEP_TALK,,,,
Optional Move 58,,NATURAL_GIFT,,,,
Optional Move 59,,GRASS_KNOT,,,,
Optional Move 60,,SWAGGER,,,,
Optional Move 61,,TRICK_ROOM,,,,
