Trainer 244,Pokemon 1,Pokemon 2,Pokemon 3,Pokemon 4,Pokemon 5,Pokemon 6
Species,ELECTRIKE,GRIMER,GEODUDE,ARON,NONE,NONE
Level,26,26,26,26,,
Ability,STATIC,POISON_TOUCH,ROCK_HEAD,STURDY,,
Held Item,NONE,NONE,NONE,NONE,,
Move 1,HOWL,POISON_GAS,BULLDOZE,IRON_HEAD,,
Move 2,SHOCK_WAVE,BITE,ROCK_POLISH,HARDEN,,
Move 3,SPARK,POISON_FANG,ROCK_THROW,ROCK_SLIDE,,
Move 4,THUNDER_FANG,POUND,SMACK_DOWN,HEADBUTT,,
Optional Move 1,TACKLE,HARDEN,TACKLE,TACKLE,,
Optional Move 2,THUNDER_WAVE,MUD_SLAP,DEFENSE_CURL,MUD_SLAP,,
Optional Move 3,LEER,DISABLE,MUD_SPORT,METAL_CLAW,,
Optional Move 4,QUICK_ATTACK,SLUDGE,ROLLOUT,ROCK_TOMB,,
Optional Move 5,ODOR_SLEUTH,MUD_BOMB,MAGNITUDE,ROAR,,
Optional Move 6,BITE,MINIMIZE,SELF_DESTRUCT,PROTECT,,
Optional Move 7,CRUNCH,FLING,MEGA_PUNCH,ENDEAVOR,,
Optional Move 8,HEADBUTT,HAZE,ROCK_SLIDE,BODY_SLAM,,
Optional Move 9,UPROAR,MEAN_LOOK,BLOCK,STOMP,,
Optional Move 10,CURSE,LICK,HAMMER_ARM,SMELLING_SALTS,,
Optional Move 11,SWIFT,IMPRISON,FLAIL,CURSE,,
Optional Move 12,ICE_FANG,CURSE,CURSE,SCREECH,,
Optional Move 13,FIRE_FANG,SHADOW_PUNCH,FOCUS_PUNCH,DRAGON_RUSH,,
Optional Move 14,SWITCHEROO,EXPLOSION,TOXIC,HEAD_SMASH,,
Optional Move 15,TOXIC,SHADOW_SNEAK,HIDDEN_POWER,WATER_PULSE,,
Optional Move 16,HIDDEN_POWER,STOCKPILE,SUNNY_DAY,TOXIC,,
Optional Move 17,LIGHT_SCREEN,SWALLOW,PROTECT,HIDDEN_POWER,,
Optional Move 18,PROTECT,SPIT_UP,FRUSTRATION,SUNNY_DAY,,
Optional Move 19,RAIN_DANCE,TOXIC,RETURN,RAIN_DANCE,,
Optional Move 20,FRUSTRATION,HIDDEN_POWER,DIG,FRUSTRATION,,
Optional Move 21,IRON_TAIL,SUNNY_DAY,BRICK_BREAK,EARTHQUAKE,,
Optional Move 22,THUNDERBOLT,TAUNT,DOUBLE_TEAM,RETURN,,
Optional Move 23,RETURN,PROTECT,FLAMETHROWER,DIG,,
Optional Move 24,DOUBLE_TEAM,RAIN_DANCE,SANDSTORM,DOUBLE_TEAM,,
Optional Move 25,FLAMETHROWER,GIGA_DRAIN,FIRE_BLAST,SHOCK_WAVE,,
Optional Move 26,FIRE_BLAST,FRUSTRATION,ROCK_TOMB,SANDSTORM,,
Optional Move 27,FACADE,THUNDERBOLT,FACADE,AERIAL_ACE,,
Optional Move 28,SECRET_POWER,THUNDER,SECRET_POWER,FACADE,,
Optional Move 29,REST,RETURN,REST,SECRET_POWER,,
Optional Move 30,ATTRACT,DIG,ATTRACT,REST,,
Optional Move 31,THIEF,SHADOW_BALL,FLING,ATTRACT,,
Optional Move 32,CHARGE_BEAM,DOUBLE_TEAM,ENDURE,ENDURE,,
Optional Move 33,ENDURE,SHOCK_WAVE,GYRO_BALL,SHADOW_CLAW,,
Optional Move 34,FLASH,FLAMETHROWER,CAPTIVATE,ROCK_POLISH,,
Optional Move 35,CAPTIVATE,SANDSTORM,SLEEP_TALK,STEALTH_ROCK,,
Optional Move 36,SLEEP_TALK,FIRE_BLAST,NATURAL_GIFT,CAPTIVATE,,
Optional Move 37,NATURAL_GIFT,ROCK_TOMB,SWAGGER,SLEEP_TALK,,
Optional Move 38,SWAGGER,TORMENT,SUBSTITUTE,NATURAL_GIFT,,
Optional Move 39,SUBSTITUTE,FACADE,,SWAGGER,,
Optional Move 40,,SECRET_POWER,,SUBSTITUTE,,
Optional Move 41,,REST,,,,
Optional Move 42,,ATTRACT,,,,
Optional Move 43,,THIEF,,,,
Optional Move 44,,ENDURE,,,,
Optional Move 45,,DRAIN_PUNCH,,,,
Optional Move 46,,PAYBACK,,,,
Optional Move 47,,GIGA_IMPACT,,,,
Optional Move 48,,CAPTIVATE,,,,
Optional Move 49,,ROCK_SLIDE,,,,
Optional Move 50,,SLEEP_TALK,,,,
Optional Move 51,,NATURAL_GIFT,,,,
Optional Move 52,,POISON_JAB,,,,
Optional Move 53,,SWAGGER,,,,
Optional Move 54,,SUBSTITUTE,,,,
