Trainer 247,Pokemon 1,Pokemon 2,Pokemon 3,Pokemon 4,Pokemon 5,Pokemon 6
Species,BELLSPROUT,PAWNIARD,BALTOY,PANCHAM,NONE,NONE
Level,26,26,26,26,,
Ability,CHLOROPHYLL,DEFIANT,LEVITATE,IRON_FIST,,
Held Item,NONE,NONE,NONE,NONE,,
Move 1,GROWTH,TORMENT,ROCK_TOMB,LOW_SWEEP,,
Move 2,VINE_WHIP,FEINT_ATTACK,PSYBEAM,SLASH,,
Move 3,ACID,METAL_CLAW,ANCIENT_POWER,CIRCLE_THROW,,
Move 4,SLEEP_POWDER,SCRATCH,MUD_SLAP,TAUNT,,
Optional Move 1,WRAP,LEER,HARDEN,TACKLE,,
Optional Move 2,POISON_POWDER,FURY_CUTTER,CONFUSION,LEER,,
Optional Move 3,STUN_SPORE,SCARY_FACE,RAPID_SPIN,ARM_THRUST,,
Optional Move 4,SWORDS_DANCE,HEADBUTT,HEAL_BLOCK,KARATE_CHOP,,
Optional Move 5,ENCORE,MEAN_LOOK,POWER_TRICK,WORK_UP,,
Optional Move 6,REFLECT,PSYCHO_CUT,COSMIC_POWER,COMET_PUNCH,,
Optional Move 7,SYNTHESIS,PURSUIT,CALM_MIND,FOCUS_PUNCH,,
Optional Move 8,LEECH_LIFE,REVENGE,TOXIC,ROAR,,
Optional Move 9,INGRAIN,STEALTH_ROCK,HIDDEN_POWER,TOXIC,,
Optional Move 10,MAGICAL_LEAF,SUCKER_PUNCH,SUNNY_DAY,BULK_UP,,
Optional Move 11,WORRY_SEED,TOXIC,ICE_BEAM,HIDDEN_POWER,,
Optional Move 12,TICKLE,HIDDEN_POWER,LIGHT_SCREEN,SUNNY_DAY,,
Optional Move 13,WEATHER_BALL,TAUNT,PROTECT,PROTECT,,
Optional Move 14,TOXIC,PROTECT,RAIN_DANCE,RAIN_DANCE,,
Optional Move 15,BULLET_SEED,RAIN_DANCE,SAFEGUARD,FRUSTRATION,,
Optional Move 16,HIDDEN_POWER,FRUSTRATION,FRUSTRATION,RETURN,,
Optional Move 17,SUNNY_DAY,RETURN,SOLAR_BEAM,DIG,,
Optional Move 18,PROTECT,DIG,EARTHQUAKE,BRICK_BREAK,,
Optional Move 19,GIGA_DRAIN,BRICK_BREAK,RETURN,DOUBLE_TEAM,,
Optional Move 20,FRUSTRATION,DOUBLE_TEAM,DIG,SLUDGE_BOMB,,
Optional Move 21,SOLAR_BEAM,SANDSTORM,PSYCHIC,ROCK_TOMB,,
Optional Move 22,RETURN,ROCK_TOMB,SHADOW_BALL,AERIAL_ACE,,
Optional Move 23,DOUBLE_TEAM,AERIAL_ACE,DOUBLE_TEAM,TORMENT,,
Optional Move 24,SLUDGE_BOMB,FACADE,REFLECT,FACADE,,
Optional Move 25,FACADE,SECRET_POWER,FACADE,SECRET_POWER,,
Optional Move 26,SECRET_POWER,REST,SECRET_POWER,REST,,
Optional Move 27,REST,ATTRACT,REST,ATTRACT,,
Optional Move 28,ATTRACT,THIEF,SKILL_SWAP,SNATCH,,
Optional Move 29,THIEF,SNATCH,CHARGE_BEAM,FALSE_SWIPE,,
Optional Move 30,ENERGY_BALL,FALSE_SWIPE,ENDURE,FLING,,
Optional Move 31,ENDURE,FLING,RECYCLE,ENDURE,,
Optional Move 32,FLASH,ENDURE,ROCK_POLISH,DRAIN_PUNCH,,
Optional Move 33,CAPTIVATE,SHADOW_CLAW,FLASH,SHADOW_CLAW,,
Optional Move 34,SLEEP_TALK,PAYBACK,GYRO_BALL,PAYBACK,,
Optional Move 35,NATURAL_GIFT,ROCK_POLISH,STEALTH_ROCK,STONE_EDGE,,
Optional Move 36,GRASS_KNOT,STONE_EDGE,PSYCH_UP,SWORDS_DANCE,,
Optional Move 37,SWAGGER,THUNDER_WAVE,ROCK_SLIDE,DARK_PULSE,,
Optional Move 38,SUBSTITUTE,DARK_PULSE,SLEEP_TALK,ROCK_SLIDE,,
Optional Move 39,,X_SCISSOR,NATURAL_GIFT,SLEEP_TALK,,
Optional Move 40,,SLEEP_TALK,DREAM_EATER,GRASS_KNOT,,
Optional Move 41,,POISON_JAB,GRASS_KNOT,SWAGGER,,
Optional Move 42,,GRASS_KNOT,SWAGGER,SUBSTITUTE,,
Optional Move 43,,SWAGGER,SUBSTITUTE,,,
Optional Move 44,,SUBSTITUTE,TRICK_ROOM,,,
Optional Move 45,,FLASH_CANNON,,,,
