Trainer 250,Pokemon 1,Pokemon 2,Pokemon 3,Pokemon 4,Pokemon 5,Pokemon 6
Species,CHATOT,MINIOR,QWILFISH,CHERRIM,NONE,NONE
Level,26,26,26,26,,
Ability,KEEN_EYE,SHIELDS_DOWN,POISON_POINT,FLOWER_GIFT,,
Held Item,NONE,NONE,NONE,NONE,,
Move 1,HYPER_VOICE,ANCIENT_POWER,HYDRO_PUMP,PETAL_DANCE,,
Move 2,CONFIDE,STEALTH_ROCK,FELL_STINGER,MAGICAL_LEAF,,
Move 3,CHATTER,SWIFT,TACKLE,LEAFAGE,,
Move 4,GROWL,TACKLE,POISON_STING,SUNNY_DAY,,
Optional Move 1,TAUNT,DEFENSE_CURL,DESTINY_BOND,FLOWER_SHIELD,,
Optional Move 2,PECK,ROLLOUT,WATER_GUN,MORNING_SUN,,
Optional Move 3,MIRROR_MOVE,CONFUSE_RAY,SPIKES,TACKLE,,
Optional Move 4,SING,SELF_DESTRUCT,HARDEN,GROWTH,,
Optional Move 5,FURY_ATTACK,CALM_MIND,MINIMIZE,LEECH_SEED,,
Optional Move 6,ENCORE,TOXIC,BUBBLE,HELPING_HAND,,
Optional Move 7,NIGHT_SHADE,HIDDEN_POWER,ROLLOUT,TOXIC,,
Optional Move 8,AGILITY,HYPER_BEAM,FLAIL,BULLET_SEED,,
Optional Move 9,NASTY_PLOT,LIGHT_SCREEN,HAZE,HIDDEN_POWER,,
Optional Move 10,SUPERSONIC,PROTECT,BUBBLE_BEAM,HYPER_BEAM,,
Optional Move 11,TOXIC,SAFEGUARD,SUPERSONIC,PROTECT,,
Optional Move 12,HIDDEN_POWER,FRUSTRATION,ASTONISH,GIGA_DRAIN,,
Optional Move 13,SUNNY_DAY,SOLAR_BEAM,SIGNAL_BEAM,SAFEGUARD,,
Optional Move 14,PROTECT,EARTHQUAKE,AQUA_JET,FRUSTRATION,,
Optional Move 15,RAIN_DANCE,RETURN,WATER_PULSE,RETURN,,
Optional Move 16,FRUSTRATION,PSYCHIC,HAIL,DOUBLE_TEAM,,
Optional Move 17,RETURN,DOUBLE_TEAM,HIDDEN_POWER,FACADE,,
Optional Move 18,DOUBLE_TEAM,REFLECT,TAUNT,SECRET_POWER,,
Optional Move 19,AERIAL_ACE,SANDSTORM,ICE_BEAM,REST,,
Optional Move 20,TORMENT,ROCK_TOMB,BLIZZARD,ATTRACT,,
Optional Move 21,FACADE,FACADE,PROTECT,ENERGY_BALL,,
Optional Move 22,SECRET_POWER,SECRET_POWER,RAIN_DANCE,ENDURE,,
Optional Move 23,REST,REST,FRUSTRATION,GIGA_IMPACT,,
Optional Move 24,ATTRACT,ATTRACT,RETURN,FLASH,,
Optional Move 25,THIEF,CHARGE_BEAM,SHADOW_BALL,SWORDS_DANCE,,
Optional Move 26,STEEL_WING,ENDURE,DOUBLE_TEAM,CAPTIVATE,,
Optional Move 27,ENDURE,GIGA_IMPACT,SHOCK_WAVE,SLEEP_TALK,,
Optional Move 28,CAPTIVATE,ROCK_POLISH,SLUDGE_BOMB,NATURAL_GIFT,,
Optional Move 29,SLEEP_TALK,STONE_EDGE,FACADE,GRASS_KNOT,,
Optional Move 30,NATURAL_GIFT,GYRO_BALL,SECRET_POWER,SWAGGER,,
Optional Move 31,SWAGGER,ROCK_SLIDE,REST,SUBSTITUTE,,
Optional Move 32,PLUCK,SLEEP_TALK,ATTRACT,,,
Optional Move 33,U_TURN,SWAGGER,ENDURE,,,
Optional Move 34,SUBSTITUTE,U_TURN,EXPLOSION,,,
Optional Move 35,,SUBSTITUTE,PAYBACK,,,
Optional Move 36,,,GIGA_IMPACT,,,
Optional Move 37,,,THUNDER_WAVE,,,
Optional Move 38,,,GYRO_BALL,,,
Optional Move 39,,,SWORDS_DANCE,,,
Optional Move 40,,,CAPTIVATE,,,
Optional Move 41,,,SLEEP_TALK,,,
Optional Move 42,,,NATURAL_GIFT,,,
Optional Move 43,,,SWAGGER,,,
Optional Move 44,,,SUBSTITUTE,,,
