Trainer 252,Pokemon 1,Pokemon 2,Pokemon 3,Pokemon 4,Pokemon 5,Pokemon 6
Species,VENOMOTH,DUSTOX,BEEDRILL,NONE,NONE,NONE
Level,26,26,26,,,
Ability,SHIELD_DUST,SHIELD_DUST,SWARM,,,
Held Item,NONE,NONE,NONE,,,
Move 1,BUG_BUZZ,SILVER_WIND,ASSURANCE,,,
Move 2,SIGNAL_BEAM,MOONLIGHT,FOCUS_ENERGY,,,
Move 3,SILVER_WIND,VENOSHOCK,VENOSHOCK,,,
Move 4,QUIVER_DANCE,PSYBEAM,TWINEEDLE,,,
Optional Move 1,GUST,GUST,FURY_ATTACK,,,
Optional Move 2,TACKLE,CONFUSION,RAGE,,,
Optional Move 3,DISABLE,POISON_POWDER,PURSUIT,,,
Optional Move 4,FORESIGHT,HIDDEN_POWER,TOXIC,,,
Optional Move 5,SUPERSONIC,SUNNY_DAY,HIDDEN_POWER,,,
Optional Move 6,CONFUSION,HYPER_BEAM,SUNNY_DAY,,,
Optional Move 7,POISON_POWDER,GIGA_DRAIN,HYPER_BEAM,,,
Optional Move 8,PSYBEAM,FRUSTRATION,PROTECT,,,
Optional Move 9,STUN_SPORE,SOLAR_BEAM,GIGA_DRAIN,,,
Optional Move 10,TOXIC,RETURN,FRUSTRATION,,,
Optional Move 11,HIDDEN_POWER,PSYCHIC,SOLAR_BEAM,,,
Optional Move 12,SUNNY_DAY,SHADOW_BALL,RETURN,,,
Optional Move 13,HYPER_BEAM,DOUBLE_TEAM,BRICK_BREAK,,,
Optional Move 14,PROTECT,SLUDGE_BOMB,DOUBLE_TEAM,,,
Optional Move 15,GIGA_DRAIN,AERIAL_ACE,SLUDGE_BOMB,,,
Optional Move 16,FRUSTRATION,FACADE,AERIAL_ACE,,,
Optional Move 17,SOLAR_BEAM,SECRET_POWER,FACADE,,,
Optional Move 18,RETURN,REST,SECRET_POWER,,,
Optional Move 19,DOUBLE_TEAM,ATTRACT,REST,,,
Optional Move 20,SLUDGE_BOMB,THIEF,ATTRACT,,,
Optional Move 21,FACADE,ROOST,THIEF,,,
Optional Move 22,SECRET_POWER,ENERGY_BALL,ROOST,,,
Optional Move 23,REST,ENDURE,FALSE_SWIPE,,,
Optional Move 24,ATTRACT,GIGA_IMPACT,ENDURE,,,
Optional Move 25,THIEF,FLASH,SILVER_WIND,,,
Optional Move 26,SKILL_SWAP,CAPTIVATE,PAYBACK,,,
Optional Move 27,ROOST,SLEEP_TALK,GIGA_IMPACT,,,
Optional Move 28,ENERGY_BALL,NATURAL_GIFT,FLASH,,,
Optional Move 29,ENDURE,SWAGGER,SWORDS_DANCE,,,
Optional Move 30,GIGA_IMPACT,U_TURN,CAPTIVATE,,,
Optional Move 31,FLASH,SUBSTITUTE,X_SCISSOR,,,
Optional Move 32,CAPTIVATE,,SLEEP_TALK,,,
Optional Move 33,SLEEP_TALK,,NATURAL_GIFT,,,
Optional Move 34,NATURAL_GIFT,,SWAGGER,,,
Optional Move 35,DREAM_EATER,,U_TURN,,,
Optional Move 36,SWAGGER,,SUBSTITUTE,,,
Optional Move 37,U_TURN,,,,,
Optional Move 38,SUBSTITUTE,,,,,
