Trainer 253,Pokemon 1,Pokemon 2,Pokemon 3,Pokemon 4,Pokemon 5,Pokemon 6
Species,SKORUPI,SEVIPER,SMEARGLE,SWADLOON,SHELMET,NONE
Level,26,26,26,26,26,
Ability,BATTLE_ARMOR,SHED_SKIN,OWN_TEMPO,LEAF_GUARD,HYDRATION,
Held Item,NONE,NONE,NONE,NONE,NONE,
Move 1,BUG_BITE,NIGHT_SLASH,SKETCH,RAZOR_LEAF,MEGA_DRAIN,
Move 2,KNOCK_OFF,SWAGGER,SKETCH,STRING_SHOT,STRUGGLE_BUG,
Move 3,VENOSHOCK,VENOSHOCK,SKETCH,BUG_BITE,ACID,
Move 4,BITE,BITE,SKETCH,TACKLE,PROTECT,
Optional Move 1,POISON_STING,WRAP,,PROTECT,ABSORB,
Optional Move 2,LEER,LICK,,GRASS_WHISTLE,BIDE,
Optional Move 3,HONE_CLAWS,POISON_TAIL,,TOXIC,CURSE,
Optional Move 4,POISON_FANG,FEINT,,HIDDEN_POWER,YAWN,
Optional Move 5,PURSUIT,SCREECH,,SUNNY_DAY,BATON_PASS,
Optional Move 6,PIN_MISSILE,GLARE,,LIGHT_SCREEN,DOUBLE_EDGE,
Optional Move 7,TOXIC_SPIKES,POISON_FANG,,RAIN_DANCE,ENCORE,
Optional Move 8,FELL_STINGER,VENOM_DRENCH,,GIGA_DRAIN,ENDURE,
Optional Move 9,FEINT_ATTACK,STOCKPILE,,SAFEGUARD,FEINT,
Optional Move 10,SCREECH,SWALLOW,,FRUSTRATION,MIND_READER,
Optional Move 11,SAND_ATTACK,SPIT_UP,,SOLAR_BEAM,MUD_SLAP,
Optional Move 12,SLASH,BODY_SLAM,,RETURN,PURSUIT,
Optional Move 13,CONFUSE_RAY,SCARY_FACE,,DOUBLE_TEAM,SPIKES,
Optional Move 14,WHIRLWIND,ASSURANCE,,FACADE,TOXIC,
Optional Move 15,AGILITY,SWITCHEROO,,SECRET_POWER,HIDDEN_POWER,
Optional Move 16,HIDDEN_POWER,TOXIC,,REST,RAIN_DANCE,
Optional Move 17,SUNNY_DAY,HIDDEN_POWER,,ATTRACT,FRUSTRATION,
Optional Move 18,TAUNT,SUNNY_DAY,,ENERGY_BALL,RETURN,
Optional Move 19,PROTECT,TAUNT,,ENDURE,DOUBLE_TEAM,
Optional Move 20,RAIN_DANCE,HYPER_BEAM,,SILVER_WIND,SLUDGE_BOMB,
Optional Move 21,FRUSTRATION,PROTECT,,PAYBACK,FACADE,
Optional Move 22,IRON_TAIL,RAIN_DANCE,,FLASH,SECRET_POWER,
Optional Move 23,RETURN,GIGA_DRAIN,,SLEEP_TALK,REST,
Optional Move 24,DIG,FRUSTRATION,,DREAM_EATER,ATTRACT,
Optional Move 25,SHADOW_BALL,IRON_TAIL,,GRASS_KNOT,ENERGY_BALL,
Optional Move 26,BRICK_BREAK,EARTHQUAKE,,SWAGGER,SLEEP_TALK,
Optional Move 27,DOUBLE_TEAM,RETURN,,SUBSTITUTE,SWAGGER,
Optional Move 28,SLUDGE_BOMB,DIG,,,SUBSTITUTE,
Optional Move 29,ROCK_TOMB,BRICK_BREAK,,,,
Optional Move 30,AERIAL_ACE,DOUBLE_TEAM,,,,
Optional Move 31,TORMENT,FLAMETHROWER,,,,
Optional Move 32,FACADE,SLUDGE_BOMB,,,,
Optional Move 33,SECRET_POWER,FIRE_BLAST,,,,
Optional Move 34,REST,FACADE,,,,
Optional Move 35,ATTRACT,SECRET_POWER,,,,
Optional Move 36,THIEF,REST,,,,
Optional Move 37,FALSE_SWIPE,ATTRACT,,,,
Optional Move 38,FLING,THIEF,,,,
Optional Move 39,ENDURE,SNATCH,,,,
Optional Move 40,PAYBACK,ENDURE,,,,
Optional Move 41,FLASH,PAYBACK,,,,
Optional Move 42,SWORDS_DANCE,GIGA_IMPACT,,,,
Optional Move 43,CAPTIVATE,CAPTIVATE,,,,
Optional Move 44,DARK_PULSE,DARK_PULSE,,,,
Optional Move 45,SLEEP_TALK,X_SCISSOR,,,,
Optional Move 46,NATURAL_GIFT,SLEEP_TALK,,,,
Optional Move 47,POISON_JAB,NATURAL_GIFT,,,,
Optional Move 48,SWAGGER,SUBSTITUTE,,,,
Optional Move 49,SUBSTITUTE,,,,,
